region,quint,age,ageall,agemig_reg,index
USA,1,0,0,0.17165885232120315,1
USA,1,0,1,0.17165885232120315,1
USA,1,0,2,0.10839915908904209,1
USA,1,0,3,0.055423669306810114,1
USA,1,0,4,0.034855262406951984,1
USA,1,5,5,0.10473414821917792,1
USA,1,5,6,0.05496460840666746,1
USA,1,5,7,0.022798107754756946,1
USA,1,5,8,0.022651804961350917,1
USA,1,5,9,0.05683497844162223,1
USA,1,10,10,0.1128007949632827,1
USA,1,10,11,-0.0003800487116756811,1
USA,1,10,12,0.0008602684021552092,1
USA,1,10,13,0.057224640312006504,1
USA,1,10,14,0.12365780729640763,1
USA,1,15,15,-0.3861888680694924,1
USA,1,15,16,-0.12113123515244599,1
USA,1,15,17,0.04773323713718985,1
USA,1,15,18,0.14000064523477407,1
USA,1,15,19,0.17414098970369135,1
USA,1,20,20,0.12986541538193952,1
USA,1,20,21,0.19029161604196154,1
USA,1,20,22,0.20697544394183326,1
USA,1,20,23,0.19453592707793416,1
USA,1,20,24,0.16515917573288502,1
USA,1,25,25,0.31073937952716557,1
USA,1,25,26,0.2572199521598638,1
USA,1,25,27,0.20683593643525358,1
USA,1,25,28,0.16100739493637978,1
USA,1,25,29,0.1207902262216097,1
USA,1,30,30,0.24386011185161974,1
USA,1,30,31,0.19104834543991228,1
USA,1,30,32,0.146445175551679,1
USA,1,30,33,0.10951491893460863,1
USA,1,30,34,0.07962757973564882,1
USA,1,35,35,0.1652789881329507,1
USA,1,35,36,0.12676912701311646,1
USA,1,35,37,0.09560820889267291,1
USA,1,35,38,0.07068108835510425,1
USA,1,35,39,0.05099410570415065,1
USA,1,40,40,0.10355464481500525,1
USA,1,40,41,0.0801378960383953,1
USA,1,40,42,0.06077285193066276,1
USA,1,40,43,0.044997912823654944,1
USA,1,40,44,0.03238073047530867,1
USA,1,45,45,0.06728043676334598,1
USA,1,45,46,0.05170498261185499,1
USA,1,45,47,0.03890348199543085,1
USA,1,45,48,0.02857264304687685,1
USA,1,45,49,0.02041432398406813,1
USA,1,50,50,0.043262828738115676,1
USA,1,50,51,0.032822020372091046,1
USA,1,50,52,0.02450841910579052,1
USA,1,50,53,0.01793237259594652,1
USA,1,50,54,0.01293360038722391,1
USA,1,55,55,0.024623942051265123,1
USA,1,55,56,0.020126979751867547,1
USA,1,55,57,0.015259673912221314,1
USA,1,55,58,0.01134775323048431,1
USA,1,55,59,0.008809275089220544,1
USA,1,60,60,0.027577248534281652,1
USA,1,60,61,0.014689210564685723,1
USA,1,60,62,0.009591012952948256,1
USA,1,60,63,0.007833946631341725,1
USA,1,60,64,0.0065337935923764755,1
USA,1,65,65,-0.01724186347436063,1
USA,1,65,66,-0.00018416883825319837,1
USA,1,65,67,0.006070319564943382,1
USA,1,65,68,0.006270575779169637,1
USA,1,65,69,0.003979609287646611,1
USA,1,70,70,0.03549140272566624,1
USA,1,70,71,0.019157375232179693,1
USA,1,70,72,0.00923870333341999,1
USA,1,70,73,0.003784172885368828,1
USA,1,70,74,0.0011973359520112308,1
USA,1,75,75,0.0,1
USA,1,75,76,0.0,1
USA,1,75,77,0.0,1
USA,1,75,78,0.0,1
USA,1,75,79,0.0,1
USA,1,80,80,0.0,1
USA,1,80,81,0.0,1
USA,1,80,82,0.0,1
USA,1,80,83,0.0,1
USA,1,80,84,0.0,1
USA,1,85,85,0.0,1
USA,1,85,86,0.0,1
USA,1,85,87,0.0,1
USA,1,85,88,0.0,1
USA,1,85,89,0.0,1
USA,1,90,90,0.0,1
USA,1,90,91,0.0,1
USA,1,90,92,0.0,1
USA,1,90,93,0.0,1
USA,1,90,94,0.0,1
USA,1,95,95,0.0,1
USA,1,95,96,0.0,1
USA,1,95,97,0.0,1
USA,1,95,98,0.0,1
USA,1,95,99,0.0,1
USA,1,100,100,0.0,1
USA,1,100,101,0.0,1
USA,1,100,102,0.0,1
USA,1,100,103,0.0,1
USA,1,100,104,0.0,1
USA,1,105,105,0.0,1
USA,1,105,106,0.0,1
USA,1,105,107,0.0,1
USA,1,105,108,0.0,1
USA,1,105,109,0.0,1
USA,1,110,110,0.0,1
USA,1,110,111,0.0,1
USA,1,110,112,0.0,1
USA,1,110,113,0.0,1
USA,1,110,114,0.0,1
USA,1,115,115,0.0,1
USA,1,115,116,0.0,1
USA,1,115,117,0.0,1
USA,1,115,118,0.0,1
USA,1,115,119,0.0,1
USA,1,120,120,0.0,1
USA,2,0,0,0.14443931102749064,1
USA,2,0,1,0.14443931102749064,1
USA,2,0,2,0.08828808742511653,1
USA,2,0,3,0.045203500761659667,1
USA,2,0,4,0.01907022688382517,1
USA,2,5,5,0.24597649600369137,1
USA,2,5,6,0.15490065054459864,1
USA,2,5,7,0.08964158017627237,1
USA,2,5,8,0.04589648905025145,1
USA,2,5,9,0.01936258131807483,1
USA,2,10,10,0.009281726775797,1
USA,2,10,11,0.005845052430239511,1
USA,2,10,12,0.003382553489721939,1
USA,2,10,13,0.0017318673867376326,1
USA,2,10,14,0.0007306315537799388,1
USA,2,15,15,0.10500672310204015,1
USA,2,15,16,0.06612668276979787,1
USA,2,15,17,0.03826775623252192,1
USA,2,15,18,0.01959309119105122,1
USA,2,15,19,0.008265835346224734,1
USA,2,20,20,0.5675420096166419,1
USA,2,20,21,0.3574025483300136,1
USA,2,20,22,0.20683017843172086,1
USA,2,20,23,0.10589705135704108,1
USA,2,20,24,0.0446753185412517,1
USA,2,25,25,0.6396270134550858,1
