region,quint,age,ageall,agemig_reg,index
USA,1,0,0,0.007107321479093482,1
USA,1,0,1,0.007107321479093482,1
USA,1,0,2,0.006504344543498746,1
USA,1,0,3,0.0061023599197689215,1
USA,1,0,4,0.0057003752960390975,1
USA,1,5,5,0.006224353687290726,1
USA,1,5,6,0.005359387556070175,1
USA,1,5,7,0.004494421424849624,1
USA,1,5,8,0.0036294552936290735,1
USA,1,5,9,0.002764489162408523,1
USA,1,10,10,-0.00355750349969114,1
USA,1,10,11,-0.001693956365472135,1
USA,1,10,12,0.00016959076874687026,1
USA,1,10,13,0.0020331379029658756,1
USA,1,10,14,0.0038966850371848806,1
USA,1,15,15,-0.004491365224431738,1
USA,1,15,16,0.0024979806077050793,1
USA,1,15,17,0.009487326439841896,1
USA,1,15,18,0.016476672271978715,1
USA,1,15,19,0.02346601810411553,1
USA,1,20,20,0.043611564469112275,1
USA,1,20,21,0.04402281003481913,1
USA,1,20,22,0.04443405560052598,1
USA,1,20,23,0.04484530116623284,1
USA,1,20,24,0.04525654673193969,1
USA,1,25,25,0.05208697252875641,1
USA,1,25,26,0.04928862797890833,1
USA,1,25,27,0.04649028342906025,1
USA,1,25,28,0.043691938879212175,1
USA,1,25,29,0.0408935943293641,1
USA,1,30,30,0.0371497212655368,1
USA,1,30,31,0.03482414097267833,1
USA,1,30,32,0.03249856067981986,1
USA,1,30,33,0.030172980386961396,1
USA,1,30,34,0.027847400094102925,1
USA,1,35,35,0.023972878390503473,1
USA,1,35,36,0.022421768803015496,1
USA,1,35,37,0.02087065921552752,1
USA,1,35,38,0.019319549628039542,1
USA,1,35,39,0.017768440040551566,1
USA,1,40,40,0.015029755849170327,1
USA,1,40,41,0.014072433563628983,1
USA,1,40,42,0.013115111278087638,1
USA,1,40,43,0.012157788992546294,1
USA,1,40,44,0.01120046670700495,1
USA,1,45,45,0.00957906046824125,1
USA,1,45,46,0.008953780159311083,1
USA,1,45,47,0.008328499850380918,1
USA,1,45,48,0.007703219541450752,1
USA,1,45,49,0.007077939232520586,1
USA,1,50,50,0.005999334397109709,1
USA,1,50,51,0.005600716351419899,1
USA,1,50,52,0.005202098305730089,1
USA,1,50,53,0.00480348026004028,1
USA,1,50,54,0.0044048622143504695,1
USA,1,55,55,0.0036885309924233646,1
USA,1,55,56,0.003448769534852202,1
USA,1,55,57,0.00320900807728104,1
USA,1,55,58,0.0029692466197098776,1
USA,1,55,59,0.002729485162138715,1
USA,1,60,60,0.0023088230077330215,1
USA,1,60,61,0.002159511898579125,1
USA,1,60,62,0.002010200789425228,1
USA,1,60,63,0.0018608896802713314,1
USA,1,60,64,0.0017115785711174344,1
USA,1,65,65,0.001000225599690585,1
USA,1,65,66,0.0011319354216731644,1
USA,1,65,67,0.001263645243655744,1
USA,1,65,68,0.0013953550656383238,1
USA,1,65,69,0.0015270648876209033,1
USA,1,70,70,0.0026910720949960987,1
USA,1,70,71,0.0023066332242823707,1
USA,1,70,72,0.0019221943535686421,1
USA,1,70,73,0.0015377554828549136,1
USA,1,70,74,0.0011533166121411853,1
USA,1,75,75,0.0,1
USA,1,75,76,0.0,1
USA,1,75,77,0.0,1
USA,1,75,78,0.0,1
USA,1,75,79,0.0,1
USA,1,80,80,0.0,1
USA,1,80,81,0.0,1
USA,1,80,82,0.0,1
USA,1,80,83,0.0,1
USA,1,80,84,0.0,1
USA,1,85,85,0.0,1
USA,1,85,86,0.0,1
USA,1,85,87,0.0,1
USA,1,85,88,0.0,1
USA,1,85,89,0.0,1
USA,1,90,90,0.0,1
USA,1,90,91,0.0,1
USA,1,90,92,0.0,1
USA,1,90,93,0.0,1
USA,1,90,94,0.0,1
USA,1,95,95,0.0,1
USA,1,95,96,0.0,1
USA,1,95,97,0.0,1
USA,1,95,98,0.0,1
USA,1,95,99,0.0,1
USA,1,100,100,0.0,1
USA,1,100,101,0.0,1
USA,1,100,102,0.0,1
USA,1,100,103,0.0,1
USA,1,100,104,0.0,1
USA,1,105,105,0.0,1
USA,1,105,106,0.0,1
USA,1,105,107,0.0,1
USA,1,105,108,0.0,1
USA,1,105,109,0.0,1
USA,1,110,110,0.0,1
USA,1,110,111,0.0,1
USA,1,110,112,0.0,1
USA,1,110,113,0.0,1
USA,1,110,114,0.0,1
USA,1,115,115,0.0,1
USA,1,115,116,0.0,1
USA,1,115,117,0.0,1
USA,1,115,118,0.0,1
USA,1,115,119,0.0,1
USA,1,120,120,0.0,1
USA,2,0,0,0.025147944648507746,1
USA,2,0,1,0.025147944648507746,1
USA,2,0,2,0.019344572806544422,1
USA,2,0,3,0.015475658245235538,1
USA,2,0,4,0.011606743683926654,1
USA,2,5,5,0.018713603907787646,1
USA,2,5,6,0.016040231920960837,1
USA,2,5,7,0.013366859934134032,1
USA,2,5,8,0.010693487947307226,1
USA,2,5,9,0.008020115960480419,1
USA,2,10,10,0.0007061319295068834,1
USA,2,10,11,0.0006052559395773286,1
USA,2,10,12,0.0005043799496477738,1
USA,2,10,13,0.00040350395971821906,1
USA,2,10,14,0.0003026279697886643,1
USA,2,15,15,0.008155589064754299,1
USA,2,15,16,0.006990504912646542,1
USA,2,15,17,0.005825420760538785,1
USA,2,15,18,0.004660336608431028,1
USA,2,15,19,0.003495252456323271,1
USA,2,20,20,0.05625870120724953,1
USA,2,20,21,0.048221743891928175,1
USA,2,20,22,0.04018478657660681,1
USA,2,20,23,0.03214782926128545,1
USA,2,20,24,0.024110871945964087,1
USA,2,25,25,0.06888071717834175,1
USA,2,25,26,0.05904061472429293,1
USA,2,25,27,0.04920051227024411,1
USA,2,25,28,0.039360409816195284,1
USA,2,25,29,0.029520307362146465,1
USA,2,30,30,0.04347775277718607,1
USA,2,30,31,0.03726664523758806,1
USA,2,30,32,0.03105553769799005,1
USA,2,30,33,0.02484443015839204,1
USA,2,30,34,0.01863332261879403,1
USA,2,35,35,0.024625851331341438,1
USA,2,35,36,0.021107872569721232,1
USA,2,35,37,0.017589893808101026,1
USA,2,35,38,0.01407191504648082,1
USA,2,35,39,0.010553936284860616,1
USA,2,40,40,0.013917425549947814,1
USA,2,40,41,0.011929221899955269,1
USA,2,40,42,0.009941018249962724,1
USA,2,40,43,0.007952814599970178,1
USA,2,40,44,0.005964610949977634,1
USA,2,45,45,0.008014895870147962,1
USA,2,45,46,0.00686991074584111,1
USA,2,45,47,0.005724925621534259,1
USA,2,45,48,0.004579940497227407,1
USA,2,45,49,0.003434955372920555,1
USA,2,50,50,0.004504952253496961,1
USA,2,50,51,0.003861387645854538,1
USA,2,50,52,0.0032178230382121148,1
USA,2,50,53,0.0025742584305696917,1
USA,2,50,54,0.001930693822927269,1
USA,2,55,55,0.002475981802802854,1
USA,2,55,56,0.0021222701166881603,1
USA,2,55,57,0.001768558430573467,1
USA,2,55,58,0.0014148467444587737,1
USA,2,55,59,0.0010611350583440802,1
USA,2,60,60,0.0013786140204718393,1
USA,2,60,61,0.0011816691604044337,1
USA,2,60,62,0.000984724300337028,1
USA,2,60,63,0.0007877794402696224,1
USA,2,60,64,0.0005908345802022168,1
USA,2,65,65,0.0007852584528762742,1
USA,2,65,66,0.0006730786738939492,1
USA,2,65,67,0.0005608988949116244,1
USA,2,65,68,0.0004487191159292995,1
USA,2,65,69,0.0003365393369469746,1
USA,2,70,70,0.0010221227249264894,1
USA,2,70,71,0.0008761051927941336,1
USA,2,70,72,0.000730087660661778,1
USA,2,70,73,0.0005840701285294225,1
USA,2,70,74,0.0004380525963970668,1
USA,2,75,75,0.0,1
USA,2,75,76,0.0,1
USA,2,75,77,0.0,1
USA,2,75,78,0.0,1
USA,2,75,79,0.0,1
USA,2,80,80,0.0,1
USA,2,80,81,0.0,1
USA,2,80,82,0.0,1
USA,2,80,83,0.0,1
USA,2,80,84,0.0,1
USA,2,85,85,0.0,1
USA,2,85,86,0.0,1
USA,2,85,87,0.0,1
USA,2,85,88,0.0,1
USA,2,85,89,0.0,1
USA,2,90,90,0.0,1
USA,2,90,91,0.0,1
USA,2,90,92,0.0,1
USA,2,90,93,0.0,1
USA,2,90,94,0.0,1
USA,2,95,95,0.0,1
USA,2,95,96,0.0,1
USA,2,95,97,0.0,1
USA,2,95,98,0.0,1
USA,2,95,99,0.0,1
USA,2,100,100,0.0,1
USA,2,100,101,0.0,1
USA,2,100,102,0.0,1
USA,2,100,103,0.0,1
USA,2,100,104,0.0,1
USA,2,105,105,0.0,1
USA,2,105,106,0.0,1
USA,2,105,107,0.0,1
USA,2,105,108,0.0,1
USA,2,105,109,0.0,1
USA,2,110,110,0.0,1
USA,2,110,111,0.0,1
USA,2,110,112,0.0,1
USA,2,110,113,0.0,1
USA,2,110,114,0.0,1
USA,2,115,115,0.0,1
USA,2,115,116,0.0,1
USA,2,115,117,0.0,1
USA,2,115,118,0.0,1
USA,2,115,119,0.0,1
USA,2,120,120,0.0,1
USA,3,0,0,0.026725716702598958,1
USA,3,0,1,0.026725716702598958,1
USA,3,0,2,0.02055824361738381,1
USA,3,0,3,0.016446594893907047,1
USA,3,0,4,0.012334946170430287,1
USA,3,5,5,0.01988768798065009,1
USA,3,5,6,0.01704658969770008,1
USA,3,5,7,0.014205491414750065,1
USA,3,5,8,0.011364393131800052,1
USA,3,5,9,0.00852329484885004,1
USA,3,10,10,0.0007504343661652038,1
