country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
AFG,q1,0.2,0.16091128735201177,0.07212833871288075,29185.507,37.23728418322597,0.338,0.0721656928488034,460.37480398923515,0.360828464244017,SAS,South Asia
AGO,q1,0.2,0.1468166715212331,0.07373623720564837,23356.246,105.89344662859713,0.4872,0.03859724822564147,874.9684441996117,0.19298624112820736,SSA,Sub-Saharan Africa
ALB,q1,0.2,0.15975950949169118,0.2541785869732681,2948.023,24.568445171853057,0.29215,0.08509540999229974,3545.871105436038,0.42547704996149865,EEU,Central & Eastern Europe
ARE,q1,0.2,0.18284993088193077,0.2551933340434086,8549.988,318.1423059818006,0.414804506,0.05331630015438531,9919.411979019136,0.2665815007719265,MDE,Middle East
ARG,q1,0.2,0.11007048360991122,0.19023297358417543,40895.752,580.4274305865966,0.4357,0.04877310474629236,3461.1477335862924,0.2438655237314618,LAM,South America
ARM,q1,0.2,0.14669146434958555,0.27801936990067444,2877.319,15.152619472187178,0.3132,0.07899938466636303,2080.1440757634755,0.39499692333181513,FSU,Former Soviet Union
AUS,q1,0.2,0.12502333411063374,0.3637931854005972,22154.679,,0.3494,0.06914895545276505,,,ANZ,Australia & New Zealand
AUT,q1,0.2,0.14147246768525537,0.2519778645399653,8409.949,296.8320908711133,0.26106634,0.09460322891578246,16695.270234237014,0.4730161445789122,WEU,Western Europe
AZE,q1,0.2,0.12629244931630818,0.22365403497552003,9032.461,80.69556138880493,0.1664,0.12740816327436133,5691.291255473512,0.6370408163718067,FSU,Former Soviet Union
BDI,q1,0.2,0.12566628015871184,0.08043034908124516,8675.602,3.071832434435739,0.3936,0.05817837400557334,102.99816442308746,0.2908918700278667,SSA,Sub-Saharan Africa
BEL,q1,0.2,0.13253806912510047,0.2532154611291768,10938.739,357.4760039013982,0.27500149,0.0902654415726151,14749.291186019516,0.45132720786307556,WEU,Western Europe
BEN,q1,0.2,0.13520307202165938,0.0760495507232714,9199.259,12.601266759843224,0.4944,0.037287490528794785,255.38449072825907,0.18643745264397393,SSA,Sub-Saharan Africa
BFA,q1,0.2,0.16010021085034645,0.06299442541648424,15605.217,18.55280683067076,0.4576,0.04427067309284891,263.1636734546529,0.22135336546424458,SSA,Sub-Saharan Africa
BGD,q1,0.2,0.1328110286728007,0.09393507670778731,147575.43,221.29653749671897,0.3798,0.06148108497517518,460.9693912647864,0.3074054248758759,SAS,South Asia
BGR,q1,0.2,0.17124875183344757,0.3862327156484285,7425.008,86.64807456732147,0.36457249,0.06525395267060549,3807.4904140272247,0.3262697633530275,EEU,Central & Eastern Europe
BHR,q1,0.2,0.13505549631340338,0.20764874640993125,1240.86,,0.414804506,0.05331630015438531,,,MDE,Middle East
