model,scenario,period,region,type,unit,en_5r,scen,gdp_5r,engdp_ratio_5r,country,rel_ratio_2015,convyear,rel_ratio,engdp_ratio,gdp_mig,en_mig
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,BGD,0.7379632487427699,2200,0.7308811743844663,0.004046776281578533,221.297,0.8955394507844847
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,BRN,0.4954927954965832,2200,0.4818574656451395,0.002667970432699295,18.153,0.048431667264790305
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,KHM,1.2751386451062041,2200,1.282574824703669,0.007101418892519315,27.826,0.19760408210324248
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,CHN,1.1018688761544373,2200,1.1046220890234761,0.006116122054631677,9121.348,55.787277670770536
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,HKG,0.2023859069799922,2200,0.1808287693308028,0.001001220992415373,294.826,0.29518598030985477
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,IND,0.8821147895071896,2200,0.8789287027371137,0.004866492601113486,3653.102,17.77779385411288
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,IDN,1.0081298189302619,2200,1.0083495437662149,0.005583075827189317,929.865,5.191506804049395
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,KOR,0.8742393472985501,2200,0.8708404107390515,0.004821708976410325,1320.884,6.368918239596776
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,MYS,0.9126593507207221,2200,0.910298792632093,0.005040183948198601,375.288,1.8915205535515567
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,MNG,1.4461146280873982,2200,1.4581717801978684,0.008073672139033403,9.977,0.08055102693113626
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,MMR,1.3885547549268946,2200,1.3990562347897837,0.007746358486124655,69.159,0.5357304065418951
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,NPL,2.4697853325481494,2200,2.509509260454856,0.013894765537179273,32.337,0.4493150331757662
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,PAK,1.2802927113836327,2200,1.2878681900696767,0.007130727439741002,418.508,2.984266479351127
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,PHL,0.5862607272683351,2200,0.5750785847620739,0.0031841213844628637,332.055,1.0573034263178163
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,SGP,0.44943954277278764,2200,0.43455953041529544,0.0024060890637928275,264.851,0.6372550946345942
