origin,destination,gdp_origin,gdp_destination
USA,USA,1.25797e13,1.25797e13
USA,CAN,1.25797e13,1.131999961695523e12
USA,WEU,1.25797e13,1.2268178332762484e13
USA,JPK,1.25797e13,4.969584198265205e12
USA,ANZ,1.25797e13,7.714861440675503e11
USA,EEU,1.25797e13,1.5141521005793257e12
USA,FSU,1.25797e13,2.443881212260302e12
USA,MDE,1.25797e13,2.8558475884753945e12
USA,CAM,1.25797e13,1.4899874542094385e12
USA,LAM,1.25797e13,3.1361080835719663e12
USA,SAS,1.25797e13,3.1417007472989507e12
USA,SEA,1.25797e13,2.192265680140255e12
USA,CHI,1.25797e13,5.632482945823663e12
USA,MAF,1.25797e13,8.300491113895024e11
USA,SSA,1.25797e13,1.280784101334247e12
USA,SIS,1.25797e13,1.5703771177665964e11
CAN,USA,1.131999961695523e12,1.25797e13
CAN,CAN,1.131999961695523e12,1.131999961695523e12
CAN,WEU,1.131999961695523e12,1.2268178332762484e13
CAN,JPK,1.131999961695523e12,4.969584198265205e12
CAN,ANZ,1.131999961695523e12,7.714861440675503e11
CAN,EEU,1.131999961695523e12,1.5141521005793257e12
CAN,FSU,1.131999961695523e12,2.443881212260302e12
CAN,MDE,1.131999961695523e12,2.8558475884753945e12
CAN,CAM,1.131999961695523e12,1.4899874542094385e12
CAN,LAM,1.131999961695523e12,3.1361080835719663e12
CAN,SAS,1.131999961695523e12,3.1417007472989507e12
CAN,SEA,1.131999961695523e12,2.192265680140255e12
CAN,CHI,1.131999961695523e12,5.632482945823663e12
CAN,MAF,1.131999961695523e12,8.300491113895024e11
CAN,SSA,1.131999961695523e12,1.280784101334247e12
CAN,SIS,1.131999961695523e12,1.5703771177665964e11
WEU,USA,1.2268178332762484e13,1.25797e13
WEU,CAN,1.2268178332762484e13,1.131999961695523e12
WEU,WEU,1.2268178332762484e13,1.2268178332762484e13
WEU,JPK,1.2268178332762484e13,4.969584198265205e12
WEU,ANZ,1.2268178332762484e13,7.714861440675503e11
WEU,EEU,1.2268178332762484e13,1.5141521005793257e12
WEU,FSU,1.2268178332762484e13,2.443881212260302e12
WEU,MDE,1.2268178332762484e13,2.8558475884753945e12
WEU,CAM,1.2268178332762484e13,1.4899874542094385e12
WEU,LAM,1.2268178332762484e13,3.1361080835719663e12
WEU,SAS,1.2268178332762484e13,3.1417007472989507e12
WEU,SEA,1.2268178332762484e13,2.192265680140255e12
WEU,CHI,1.2268178332762484e13,5.632482945823663e12
WEU,MAF,1.2268178332762484e13,8.300491113895024e11
WEU,SSA,1.2268178332762484e13,1.280784101334247e12
WEU,SIS,1.2268178332762484e13,1.5703771177665964e11
JPK,USA,4.969584198265205e12,1.25797e13
