year,orig,dest,fe_OrigCategorical,fe_DestCategorical,fe_YearCategorical
1990.0,MAR,EGY,33.435939456203,4.251422384859348,-0.4378953292615453
1990.0,TUN,EGY,33.42124831019592,4.251422384859348,-0.4378953292615453
1990.0,IRN,EGY,33.84258197905365,4.251422384859348,-0.4378953292615453
1990.0,PAK,EGY,32.53960447245241,4.251422384859348,-0.4378953292615453
1990.0,LKA,EGY,33.93950181986423,4.251422384859348,-0.4378953292615453
1990.0,CHN,EGY,33.4244482661285,4.251422384859348,-0.4378953292615453
1990.0,IDN,EGY,32.32013860158915,4.251422384859348,-0.4378953292615453
1990.0,THA,EGY,33.96407538326053,4.251422384859348,-0.4378953292615453
1990.0,CRI,EGY,34.203291018684645,4.251422384859348,-0.4378953292615453
1990.0,HND,EGY,32.354725593413214,4.251422384859348,-0.4378953292615453
1990.0,BRA,EGY,33.412494241855704,4.251422384859348,-0.4378953292615453
1990.0,CHL,EGY,34.47921453474187,4.251422384859348,-0.4378953292615453
1990.0,ESP,EGY,36.00688973346891,4.251422384859348,-0.4378953292615453
1990.0,NLD,EGY,36.65283006488896,4.251422384859348,-0.4378953292615453
1990.0,EGY,MAR,32.921122911256326,2.2002103772103396,-0.4378953292615453
1990.0,TUN,MAR,33.42124831019592,2.2002103772103396,-0.4378953292615453
1990.0,IRN,MAR,33.84258197905365,2.2002103772103396,-0.4378953292615453
1990.0,CRI,MAR,34.203291018684645,2.2002103772103396,-0.4378953292615453
1990.0,BRA,MAR,33.412494241855704,2.2002103772103396,-0.4378953292615453
1990.0,CHL,MAR,34.47921453474187,2.2002103772103396,-0.4378953292615453
1990.0,ESP,MAR,36.00688973346891,2.2002103772103396,-0.4378953292615453
1990.0,NLD,MAR,36.65283006488896,2.2002103772103396,-0.4378953292615453
1990.0,EGY,TUN,32.921122911256326,-1.6101031744541086,-0.4378953292615453
1990.0,MAR,TUN,33.435939456203,-1.6101031744541086,-0.4378953292615453
1990.0,IDN,TUN,32.32013860158915,-1.6101031744541086,-0.4378953292615453
1990.0,THA,TUN,33.96407538326053,-1.6101031744541086,-0.4378953292615453
1990.0,CRI,TUN,34.203291018684645,-1.6101031744541086,-0.4378953292615453
1990.0,CHL,TUN,34.47921453474187,-1.6101031744541086,-0.4378953292615453
1990.0,ESP,TUN,36.00688973346891,-1.6101031744541086,-0.4378953292615453
1990.0,NLD,TUN,36.65283006488896,-1.6101031744541086,-0.4378953292615453
1990.0,EGY,IRN,32.921122911256326,3.9748815014306356,-0.4378953292615453
1990.0,MAR,IRN,33.435939456203,3.9748815014306356,-0.4378953292615453
1990.0,PAK,IRN,32.53960447245241,3.9748815014306356,-0.4378953292615453
1990.0,IDN,IRN,32.32013860158915,3.9748815014306356,-0.4378953292615453
1990.0,THA,IRN,33.96407538326053,3.9748815014306356,-0.4378953292615453
1990.0,CRI,IRN,34.203291018684645,3.9748815014306356,-0.4378953292615453
1990.0,CHL,IRN,34.47921453474187,3.9748815014306356,-0.4378953292615453
1990.0,ESP,IRN,36.00688973346891,3.9748815014306356,-0.4378953292615453
1990.0,NLD,IRN,36.65283006488896,3.9748815014306356,-0.4378953292615453
1990.0,EGY,PAK,32.921122911256326,6.490829913094643,-0.4378953292615453
1990.0,IRN,PAK,33.84258197905365,6.490829913094643,-0.4378953292615453
1990.0,LKA,PAK,33.93950181986423,6.490829913094643,-0.4378953292615453
1990.0,CHN,PAK,33.4244482661285,6.490829913094643,-0.4378953292615453
1990.0,IDN,PAK,32.32013860158915,6.490829913094643,-0.4378953292615453
1990.0,THA,PAK,33.96407538326053,6.490829913094643,-0.4378953292615453
1990.0,CRI,PAK,34.203291018684645,6.490829913094643,-0.4378953292615453
1990.0,BRA,PAK,33.412494241855704,6.490829913094643,-0.4378953292615453
1990.0,CHL,PAK,34.47921453474187,6.490829913094643,-0.4378953292615453
1990.0,ESP,PAK,36.00688973346891,6.490829913094643,-0.4378953292615453
1990.0,NLD,PAK,36.65283006488896,6.490829913094643,-0.4378953292615453
1990.0,EGY,LKA,32.921122911256326,0.724905682689382,-0.4378953292615453
1990.0,MAR,LKA,33.435939456203,0.724905682689382,-0.4378953292615453
1990.0,IRN,LKA,33.84258197905365,0.724905682689382,-0.4378953292615453
1990.0,PAK,LKA,32.53960447245241,0.724905682689382,-0.4378953292615453
1990.0,CHN,LKA,33.4244482661285,0.724905682689382,-0.4378953292615453
1990.0,IDN,LKA,32.32013860158915,0.724905682689382,-0.4378953292615453
1990.0,THA,LKA,33.96407538326053,0.724905682689382,-0.4378953292615453
1990.0,BRA,LKA,33.412494241855704,0.724905682689382,-0.4378953292615453
1990.0,CHL,LKA,34.47921453474187,0.724905682689382,-0.4378953292615453
1990.0,ESP,LKA,36.00688973346891,0.724905682689382,-0.4378953292615453
1990.0,NLD,LKA,36.65283006488896,0.724905682689382,-0.4378953292615453
1990.0,EGY,CHN,32.921122911256326,13.314075449765852,-0.4378953292615453
1990.0,MAR,CHN,33.435939456203,13.314075449765852,-0.4378953292615453
1990.0,PAK,CHN,32.53960447245241,13.314075449765852,-0.4378953292615453
1990.0,LKA,CHN,33.93950181986423,13.314075449765852,-0.4378953292615453
1990.0,IDN,CHN,32.32013860158915,13.314075449765852,-0.4378953292615453
1990.0,THA,CHN,33.96407538326053,13.314075449765852,-0.4378953292615453
1990.0,CRI,CHN,34.203291018684645,13.314075449765852,-0.4378953292615453
1990.0,HND,CHN,32.354725593413214,13.314075449765852,-0.4378953292615453
1990.0,BRA,CHN,33.412494241855704,13.314075449765852,-0.4378953292615453
1990.0,CHL,CHN,34.47921453474187,13.314075449765852,-0.4378953292615453
1990.0,PRY,CHN,33.589501391615606,13.314075449765852,-0.4378953292615453
1990.0,ESP,CHN,36.00688973346891,13.314075449765852,-0.4378953292615453
1990.0,NLD,CHN,36.65283006488896,13.314075449765852,-0.4378953292615453
1990.0,EGY,IDN,32.921122911256326,6.961296110196944,-0.4378953292615453
1990.0,PAK,IDN,32.53960447245241,6.961296110196944,-0.4378953292615453
1990.0,LKA,IDN,33.93950181986423,6.961296110196944,-0.4378953292615453
1990.0,CHN,IDN,33.4244482661285,6.961296110196944,-0.4378953292615453
1990.0,THA,IDN,33.96407538326053,6.961296110196944,-0.4378953292615453
1990.0,CRI,IDN,34.203291018684645,6.961296110196944,-0.4378953292615453
1990.0,BRA,IDN,33.412494241855704,6.961296110196944,-0.4378953292615453
1990.0,CHL,IDN,34.47921453474187,6.961296110196944,-0.4378953292615453
1990.0,ESP,IDN,36.00688973346891,6.961296110196944,-0.4378953292615453
1990.0,NLD,IDN,36.65283006488896,6.961296110196944,-0.4378953292615453
1990.0,EGY,THA,32.921122911256326,4.190923471594134,-0.4378953292615453
1990.0,IRN,THA,33.84258197905365,4.190923471594134,-0.4378953292615453
1990.0,PAK,THA,32.53960447245241,4.190923471594134,-0.4378953292615453
1990.0,LKA,THA,33.93950181986423,4.190923471594134,-0.4378953292615453
1990.0,CHN,THA,33.4244482661285,4.190923471594134,-0.4378953292615453
1990.0,IDN,THA,32.32013860158915,4.190923471594134,-0.4378953292615453
1990.0,BRA,THA,33.412494241855704,4.190923471594134,-0.4378953292615453
1990.0,CHL,THA,34.47921453474187,4.190923471594134,-0.4378953292615453
1990.0,ESP,THA,36.00688973346891,4.190923471594134,-0.4378953292615453
1990.0,NLD,THA,36.65283006488896,4.190923471594134,-0.4378953292615453
1990.0,LKA,JAM,33.93950181986423,-5.451251331290051,-0.4378953292615453
1990.0,THA,JAM,33.96407538326053,-5.451251331290051,-0.4378953292615453
1990.0,CRI,JAM,34.203291018684645,-5.451251331290051,-0.4378953292615453
1990.0,HND,JAM,32.354725593413214,-5.451251331290051,-0.4378953292615453
1990.0,BRA,JAM,33.412494241855704,-5.451251331290051,-0.4378953292615453
1990.0,CHL,JAM,34.47921453474187,-5.451251331290051,-0.4378953292615453
1990.0,ESP,JAM,36.00688973346891,-5.451251331290051,-0.4378953292615453
1990.0,NLD,JAM,36.65283006488896,-5.451251331290051,-0.4378953292615453
1990.0,EGY,CRI,32.921122911256326,-3.2123925162452833,-0.4378953292615453
1990.0,MAR,CRI,33.435939456203,-3.2123925162452833,-0.4378953292615453
1990.0,IRN,CRI,33.84258197905365,-3.2123925162452833,-0.4378953292615453
1990.0,PAK,CRI,32.53960447245241,-3.2123925162452833,-0.4378953292615453
1990.0,CHN,CRI,33.4244482661285,-3.2123925162452833,-0.4378953292615453
1990.0,IDN,CRI,32.32013860158915,-3.2123925162452833,-0.4378953292615453
1990.0,THA,CRI,33.96407538326053,-3.2123925162452833,-0.4378953292615453
1990.0,JAM,CRI,33.601700232171154,-3.2123925162452833,-0.4378953292615453
1990.0,HND,CRI,32.354725593413214,-3.2123925162452833,-0.4378953292615453
1990.0,BRA,CRI,33.412494241855704,-3.2123925162452833,-0.4378953292615453
1990.0,CHL,CRI,34.47921453474187,-3.2123925162452833,-0.4378953292615453
1990.0,PRY,CRI,33.589501391615606,-3.2123925162452833,-0.4378953292615453
1990.0,ESP,CRI,36.00688973346891,-3.2123925162452833,-0.4378953292615453
1990.0,NLD,CRI,36.65283006488896,-3.2123925162452833,-0.4378953292615453
1990.0,EGY,HND,32.921122911256326,-1.7094070914301671,-0.4378953292615453
1990.0,CHN,HND,33.4244482661285,-1.7094070914301671,-0.4378953292615453
1990.0,THA,HND,33.96407538326053,-1.7094070914301671,-0.4378953292615453
1990.0,JAM,HND,33.601700232171154,-1.7094070914301671,-0.4378953292615453
1990.0,CRI,HND,34.203291018684645,-1.7094070914301671,-0.4378953292615453
1990.0,BRA,HND,33.412494241855704,-1.7094070914301671,-0.4378953292615453
1990.0,CHL,HND,34.47921453474187,-1.7094070914301671,-0.4378953292615453
1990.0,PRY,HND,33.589501391615606,-1.7094070914301671,-0.4378953292615453
1990.0,ESP,HND,36.00688973346891,-1.7094070914301671,-0.4378953292615453
1990.0,NLD,HND,36.65283006488896,-1.7094070914301671,-0.4378953292615453
1990.0,EGY,BRA,32.921122911256326,8.39546468889209,-0.4378953292615453
1990.0,MAR,BRA,33.435939456203,8.39546468889209,-0.4378953292615453
1990.0,PAK,BRA,32.53960447245241,8.39546468889209,-0.4378953292615453
1990.0,LKA,BRA,33.93950181986423,8.39546468889209,-0.4378953292615453
1990.0,CHN,BRA,33.4244482661285,8.39546468889209,-0.4378953292615453
1990.0,IDN,BRA,32.32013860158915,8.39546468889209,-0.4378953292615453
1990.0,THA,BRA,33.96407538326053,8.39546468889209,-0.4378953292615453
1990.0,JAM,BRA,33.601700232171154,8.39546468889209,-0.4378953292615453
1990.0,CRI,BRA,34.203291018684645,8.39546468889209,-0.4378953292615453
1990.0,HND,BRA,32.354725593413214,8.39546468889209,-0.4378953292615453
1990.0,CHL,BRA,34.47921453474187,8.39546468889209,-0.4378953292615453
1990.0,PRY,BRA,33.589501391615606,8.39546468889209,-0.4378953292615453
1990.0,ESP,BRA,36.00688973346891,8.39546468889209,-0.4378953292615453
1990.0,NLD,BRA,36.65283006488896,8.39546468889209,-0.4378953292615453
1990.0,EGY,CHL,32.921122911256326,1.107732050753695,-0.4378953292615453
1990.0,MAR,CHL,33.435939456203,1.107732050753695,-0.4378953292615453
1990.0,TUN,CHL,33.42124831019592,1.107732050753695,-0.4378953292615453
1990.0,IRN,CHL,33.84258197905365,1.107732050753695,-0.4378953292615453
1990.0,PAK,CHL,32.53960447245241,1.107732050753695,-0.4378953292615453
1990.0,LKA,CHL,33.93950181986423,1.107732050753695,-0.4378953292615453
1990.0,CHN,CHL,33.4244482661285,1.107732050753695,-0.4378953292615453
1990.0,IDN,CHL,32.32013860158915,1.107732050753695,-0.4378953292615453
1990.0,THA,CHL,33.96407538326053,1.107732050753695,-0.4378953292615453
1990.0,JAM,CHL,33.601700232171154,1.107732050753695,-0.4378953292615453
1990.0,CRI,CHL,34.203291018684645,1.107732050753695,-0.4378953292615453
1990.0,HND,CHL,32.354725593413214,1.107732050753695,-0.4378953292615453
1990.0,BRA,CHL,33.412494241855704,1.107732050753695,-0.4378953292615453
1990.0,PRY,CHL,33.589501391615606,1.107732050753695,-0.4378953292615453
1990.0,ESP,CHL,36.00688973346891,1.107732050753695,-0.4378953292615453
1990.0,NLD,CHL,36.65283006488896,1.107732050753695,-0.4378953292615453
1990.0,EGY,PRY,32.921122911256326,-2.646602435912465,-0.4378953292615453
1990.0,MAR,PRY,33.435939456203,-2.646602435912465,-0.4378953292615453
1990.0,CHN,PRY,33.4244482661285,-2.646602435912465,-0.4378953292615453
1990.0,IDN,PRY,32.32013860158915,-2.646602435912465,-0.4378953292615453
1990.0,THA,PRY,33.96407538326053,-2.646602435912465,-0.4378953292615453
1990.0,CRI,PRY,34.203291018684645,-2.646602435912465,-0.4378953292615453
1990.0,HND,PRY,32.354725593413214,-2.646602435912465,-0.4378953292615453
1990.0,BRA,PRY,33.412494241855704,-2.646602435912465,-0.4378953292615453
1990.0,CHL,PRY,34.47921453474187,-2.646602435912465,-0.4378953292615453
1990.0,ESP,PRY,36.00688973346891,-2.646602435912465,-0.4378953292615453
1990.0,NLD,PRY,36.65283006488896,-2.646602435912465,-0.4378953292615453
1990.0,EGY,ESP,32.921122911256326,5.716033564915904,-0.4378953292615453
1990.0,MAR,ESP,33.435939456203,5.716033564915904,-0.4378953292615453
1990.0,TUN,ESP,33.42124831019592,5.716033564915904,-0.4378953292615453
1990.0,IRN,ESP,33.84258197905365,5.716033564915904,-0.4378953292615453
1990.0,PAK,ESP,32.53960447245241,5.716033564915904,-0.4378953292615453
1990.0,LKA,ESP,33.93950181986423,5.716033564915904,-0.4378953292615453
1990.0,CHN,ESP,33.4244482661285,5.716033564915904,-0.4378953292615453
1990.0,IDN,ESP,32.32013860158915,5.716033564915904,-0.4378953292615453
1990.0,THA,ESP,33.96407538326053,5.716033564915904,-0.4378953292615453
1990.0,JAM,ESP,33.601700232171154,5.716033564915904,-0.4378953292615453
1990.0,CRI,ESP,34.203291018684645,5.716033564915904,-0.4378953292615453
1990.0,HND,ESP,32.354725593413214,5.716033564915904,-0.4378953292615453
1990.0,BRA,ESP,33.412494241855704,5.716033564915904,-0.4378953292615453
1990.0,CHL,ESP,34.47921453474187,5.716033564915904,-0.4378953292615453
1990.0,PRY,ESP,33.589501391615606,5.716033564915904,-0.4378953292615453
1990.0,NLD,ESP,36.65283006488896,5.716033564915904,-0.4378953292615453
1990.0,EGY,NLD,32.921122911256326,2.203716583904864,-0.4378953292615453
1990.0,MAR,NLD,33.435939456203,2.203716583904864,-0.4378953292615453
1990.0,TUN,NLD,33.42124831019592,2.203716583904864,-0.4378953292615453
1990.0,IRN,NLD,33.84258197905365,2.203716583904864,-0.4378953292615453
1990.0,PAK,NLD,32.53960447245241,2.203716583904864,-0.4378953292615453
1990.0,LKA,NLD,33.93950181986423,2.203716583904864,-0.4378953292615453
1990.0,CHN,NLD,33.4244482661285,2.203716583904864,-0.4378953292615453
1990.0,IDN,NLD,32.32013860158915,2.203716583904864,-0.4378953292615453
1990.0,THA,NLD,33.96407538326053,2.203716583904864,-0.4378953292615453
1990.0,JAM,NLD,33.601700232171154,2.203716583904864,-0.4378953292615453
1990.0,CRI,NLD,34.203291018684645,2.203716583904864,-0.4378953292615453
1990.0,HND,NLD,32.354725593413214,2.203716583904864,-0.4378953292615453
1990.0,BRA,NLD,33.412494241855704,2.203716583904864,-0.4378953292615453
1990.0,CHL,NLD,34.47921453474187,2.203716583904864,-0.4378953292615453
1990.0,PRY,NLD,33.589501391615606,2.203716583904864,-0.4378953292615453
1990.0,ESP,NLD,36.00688973346891,2.203716583904864,-0.4378953292615453
1995.0,DZA,ETH,33.37315986086983,4.984845232551006,-0.18977872734858892
1995.0,EGY,ETH,32.921122911256326,4.984845232551006,-0.18977872734858892
1995.0,ARG,ETH,35.10232046796648,4.984845232551006,-0.18977872734858892
1995.0,AUS,ETH,37.64942670462087,4.984845232551006,-0.18977872734858892
1995.0,POL,ETH,34.507937523963896,4.984845232551006,-0.18977872734858892
1995.0,DNK,ETH,36.213326772032765,4.984845232551006,-0.18977872734858892
1995.0,FIN,ETH,35.44815926387099,4.984845232551006,-0.18977872734858892
1995.0,IRL,ETH,36.13362771046466,4.984845232551006,-0.18977872734858892
1995.0,NOR,ETH,36.52335245691011,4.984845232551006,-0.18977872734858892
1995.0,SWE,ETH,36.72314722531066,4.984845232551006,-0.18977872734858892
1995.0,GBR,ETH,36.598806917711265,4.984845232551006,-0.18977872734858892
1995.0,GRC,ETH,36.18070792392166,4.984845232551006,-0.18977872734858892
1995.0,ITA,ETH,36.442348099022006,4.984845232551006,-0.18977872734858892
1995.0,ESP,ETH,36.00688973346891,4.984845232551006,-0.18977872734858892
1995.0,AUT,ETH,36.13896383106437,4.984845232551006,-0.18977872734858892
1995.0,BEL,ETH,35.77507511179807,4.984845232551006,-0.18977872734858892
1995.0,DEU,ETH,36.55634182892294,4.984845232551006,-0.18977872734858892
1995.0,MRT,CIV,32.77159043038355,0.5287071209917986,-0.18977872734858892
1995.0,EGY,CIV,32.921122911256326,0.5287071209917986,-0.18977872734858892
1995.0,TUN,CIV,33.42124831019592,0.5287071209917986,-0.18977872734858892
1995.0,AUS,CIV,37.64942670462087,0.5287071209917986,-0.18977872734858892
1995.0,DNK,CIV,36.213326772032765,0.5287071209917986,-0.18977872734858892
1995.0,FIN,CIV,35.44815926387099,0.5287071209917986,-0.18977872734858892
1995.0,IRL,CIV,36.13362771046466,0.5287071209917986,-0.18977872734858892
1995.0,NOR,CIV,36.52335245691011,0.5287071209917986,-0.18977872734858892
1995.0,SWE,CIV,36.72314722531066,0.5287071209917986,-0.18977872734858892
1995.0,GBR,CIV,36.598806917711265,0.5287071209917986,-0.18977872734858892
1995.0,GRC,CIV,36.18070792392166,0.5287071209917986,-0.18977872734858892
1995.0,ITA,CIV,36.442348099022006,0.5287071209917986,-0.18977872734858892
1995.0,ESP,CIV,36.00688973346891,0.5287071209917986,-0.18977872734858892
1995.0,AUT,CIV,36.13896383106437,0.5287071209917986,-0.18977872734858892
1995.0,BEL,CIV,35.77507511179807,0.5287071209917986,-0.18977872734858892
1995.0,DEU,CIV,36.55634182892294,0.5287071209917986,-0.18977872734858892
1995.0,CIV,MRT,33.38795548376702,-5.677318603953734,-0.18977872734858892
1995.0,DZA,MRT,33.37315986086983,-5.677318603953734,-0.18977872734858892
1995.0,EGY,MRT,32.921122911256326,-5.677318603953734,-0.18977872734858892
1995.0,TUN,MRT,33.42124831019592,-5.677318603953734,-0.18977872734858892
1995.0,ARG,MRT,35.10232046796648,-5.677318603953734,-0.18977872734858892
1995.0,BRA,MRT,33.412494241855704,-5.677318603953734,-0.18977872734858892
1995.0,AUS,MRT,37.64942670462087,-5.677318603953734,-0.18977872734858892
1995.0,DNK,MRT,36.213326772032765,-5.677318603953734,-0.18977872734858892
1995.0,NOR,MRT,36.52335245691011,-5.677318603953734,-0.18977872734858892
1995.0,SWE,MRT,36.72314722531066,-5.677318603953734,-0.18977872734858892
1995.0,GBR,MRT,36.598806917711265,-5.677318603953734,-0.18977872734858892
1995.0,ITA,MRT,36.442348099022006,-5.677318603953734,-0.18977872734858892
1995.0,ESP,MRT,36.00688973346891,-5.677318603953734,-0.18977872734858892
1995.0,AUT,MRT,36.13896383106437,-5.677318603953734,-0.18977872734858892
1995.0,BEL,MRT,35.77507511179807,-5.677318603953734,-0.18977872734858892
1995.0,DEU,MRT,36.55634182892294,-5.677318603953734,-0.18977872734858892
1995.0,ETH,DZA,32.22011230170527,1.1286932238018235,-0.18977872734858892
1995.0,MRT,DZA,32.77159043038355,1.1286932238018235,-0.18977872734858892
1995.0,EGY,DZA,32.921122911256326,1.1286932238018235,-0.18977872734858892
1995.0,TUN,DZA,33.42124831019592,1.1286932238018235,-0.18977872734858892
1995.0,BGD,DZA,33.12607299019597,1.1286932238018235,-0.18977872734858892
1995.0,MYS,DZA,33.73207185291603,1.1286932238018235,-0.18977872734858892
1995.0,CRI,DZA,34.203291018684645,1.1286932238018235,-0.18977872734858892
1995.0,ARG,DZA,35.10232046796648,1.1286932238018235,-0.18977872734858892
1995.0,BRA,DZA,33.412494241855704,1.1286932238018235,-0.18977872734858892
1995.0,AUS,DZA,37.64942670462087,1.1286932238018235,-0.18977872734858892
