year,orig,dest,fe_YearCategorical
1990.0,MAR,EGY,-26.123968710638362
1990.0,TUN,EGY,-26.123968710638362
1990.0,IRN,EGY,-26.123968710638362
1990.0,PAK,EGY,-26.123968710638362
1990.0,LKA,EGY,-26.123968710638362
1990.0,CHN,EGY,-26.123968710638362
1990.0,IDN,EGY,-26.123968710638362
1990.0,THA,EGY,-26.123968710638362
1990.0,CRI,EGY,-26.123968710638362
1990.0,HND,EGY,-26.123968710638362
1990.0,BRA,EGY,-26.123968710638362
1990.0,CHL,EGY,-26.123968710638362
1990.0,ESP,EGY,-26.123968710638362
1990.0,NLD,EGY,-26.123968710638362
1990.0,EGY,MAR,-26.123968710638362
1990.0,TUN,MAR,-26.123968710638362
1990.0,IRN,MAR,-26.123968710638362
1990.0,CRI,MAR,-26.123968710638362
1990.0,BRA,MAR,-26.123968710638362
1990.0,CHL,MAR,-26.123968710638362
1990.0,ESP,MAR,-26.123968710638362
1990.0,NLD,MAR,-26.123968710638362
1990.0,EGY,TUN,-26.123968710638362
1990.0,MAR,TUN,-26.123968710638362
1990.0,IDN,TUN,-26.123968710638362
1990.0,THA,TUN,-26.123968710638362
1990.0,CRI,TUN,-26.123968710638362
1990.0,CHL,TUN,-26.123968710638362
1990.0,ESP,TUN,-26.123968710638362
1990.0,NLD,TUN,-26.123968710638362
1990.0,EGY,IRN,-26.123968710638362
1990.0,MAR,IRN,-26.123968710638362
1990.0,PAK,IRN,-26.123968710638362
1990.0,IDN,IRN,-26.123968710638362
1990.0,THA,IRN,-26.123968710638362
1990.0,CRI,IRN,-26.123968710638362
1990.0,CHL,IRN,-26.123968710638362
1990.0,ESP,IRN,-26.123968710638362
1990.0,NLD,IRN,-26.123968710638362
1990.0,EGY,PAK,-26.123968710638362
1990.0,IRN,PAK,-26.123968710638362
1990.0,LKA,PAK,-26.123968710638362
1990.0,CHN,PAK,-26.123968710638362
1990.0,IDN,PAK,-26.123968710638362
1990.0,THA,PAK,-26.123968710638362
1990.0,CRI,PAK,-26.123968710638362
1990.0,BRA,PAK,-26.123968710638362
1990.0,CHL,PAK,-26.123968710638362
1990.0,ESP,PAK,-26.123968710638362
1990.0,NLD,PAK,-26.123968710638362
1990.0,EGY,LKA,-26.123968710638362
1990.0,MAR,LKA,-26.123968710638362
1990.0,IRN,LKA,-26.123968710638362
1990.0,PAK,LKA,-26.123968710638362
1990.0,CHN,LKA,-26.123968710638362
1990.0,IDN,LKA,-26.123968710638362
1990.0,THA,LKA,-26.123968710638362
1990.0,BRA,LKA,-26.123968710638362
1990.0,CHL,LKA,-26.123968710638362
1990.0,ESP,LKA,-26.123968710638362
1990.0,NLD,LKA,-26.123968710638362
1990.0,EGY,CHN,-26.123968710638362
1990.0,MAR,CHN,-26.123968710638362
1990.0,PAK,CHN,-26.123968710638362
1990.0,LKA,CHN,-26.123968710638362
1990.0,IDN,CHN,-26.123968710638362
1990.0,THA,CHN,-26.123968710638362
1990.0,CRI,CHN,-26.123968710638362
1990.0,HND,CHN,-26.123968710638362
1990.0,BRA,CHN,-26.123968710638362
1990.0,CHL,CHN,-26.123968710638362
1990.0,PRY,CHN,-26.123968710638362
1990.0,ESP,CHN,-26.123968710638362
1990.0,NLD,CHN,-26.123968710638362
1990.0,EGY,IDN,-26.123968710638362
1990.0,PAK,IDN,-26.123968710638362
1990.0,LKA,IDN,-26.123968710638362
1990.0,CHN,IDN,-26.123968710638362
1990.0,THA,IDN,-26.123968710638362
1990.0,CRI,IDN,-26.123968710638362
1990.0,BRA,IDN,-26.123968710638362
1990.0,CHL,IDN,-26.123968710638362
1990.0,ESP,IDN,-26.123968710638362
1990.0,NLD,IDN,-26.123968710638362
1990.0,EGY,THA,-26.123968710638362
1990.0,IRN,THA,-26.123968710638362
1990.0,PAK,THA,-26.123968710638362
1990.0,LKA,THA,-26.123968710638362
1990.0,CHN,THA,-26.123968710638362
1990.0,IDN,THA,-26.123968710638362
1990.0,BRA,THA,-26.123968710638362
1990.0,CHL,THA,-26.123968710638362
1990.0,ESP,THA,-26.123968710638362
1990.0,NLD,THA,-26.123968710638362
1990.0,LKA,JAM,-26.123968710638362
1990.0,THA,JAM,-26.123968710638362
1990.0,CRI,JAM,-26.123968710638362
1990.0,HND,JAM,-26.123968710638362
1990.0,BRA,JAM,-26.123968710638362
1990.0,CHL,JAM,-26.123968710638362
1990.0,ESP,JAM,-26.123968710638362
1990.0,NLD,JAM,-26.123968710638362
1990.0,EGY,CRI,-26.123968710638362
1990.0,MAR,CRI,-26.123968710638362
1990.0,IRN,CRI,-26.123968710638362
1990.0,PAK,CRI,-26.123968710638362
1990.0,CHN,CRI,-26.123968710638362
1990.0,IDN,CRI,-26.123968710638362
1990.0,THA,CRI,-26.123968710638362
1990.0,JAM,CRI,-26.123968710638362
1990.0,HND,CRI,-26.123968710638362
1990.0,BRA,CRI,-26.123968710638362
1990.0,CHL,CRI,-26.123968710638362
1990.0,PRY,CRI,-26.123968710638362
1990.0,ESP,CRI,-26.123968710638362
1990.0,NLD,CRI,-26.123968710638362
1990.0,EGY,HND,-26.123968710638362
1990.0,CHN,HND,-26.123968710638362
1990.0,THA,HND,-26.123968710638362
1990.0,JAM,HND,-26.123968710638362
1990.0,CRI,HND,-26.123968710638362
1990.0,BRA,HND,-26.123968710638362
1990.0,CHL,HND,-26.123968710638362
1990.0,PRY,HND,-26.123968710638362
1990.0,ESP,HND,-26.123968710638362
1990.0,NLD,HND,-26.123968710638362
1990.0,EGY,BRA,-26.123968710638362
1990.0,MAR,BRA,-26.123968710638362
1990.0,PAK,BRA,-26.123968710638362
1990.0,LKA,BRA,-26.123968710638362
1990.0,CHN,BRA,-26.123968710638362
1990.0,IDN,BRA,-26.123968710638362
1990.0,THA,BRA,-26.123968710638362
1990.0,JAM,BRA,-26.123968710638362
1990.0,CRI,BRA,-26.123968710638362
1990.0,HND,BRA,-26.123968710638362
1990.0,CHL,BRA,-26.123968710638362
1990.0,PRY,BRA,-26.123968710638362
1990.0,ESP,BRA,-26.123968710638362
1990.0,NLD,BRA,-26.123968710638362
1990.0,EGY,CHL,-26.123968710638362
