year,orig,dest,fe_YearCategorical
2010.0,MWI,ETH,-23.42803720479007
2010.0,MWI,ETH,-23.42803720479007
2010.0,MWI,ETH,-23.42803720479007
2010.0,MWI,ETH,-23.42803720479007
2010.0,MWI,ETH,-23.42803720479007
2010.0,RWA,ETH,-23.42803720479007
2010.0,RWA,ETH,-23.42803720479007
2010.0,RWA,ETH,-23.42803720479007
2010.0,RWA,ETH,-23.42803720479007
2010.0,RWA,ETH,-23.42803720479007
2010.0,ZAF,ETH,-23.42803720479007
2010.0,ZAF,ETH,-23.42803720479007
2010.0,ZAF,ETH,-23.42803720479007
2010.0,ZAF,ETH,-23.42803720479007
2010.0,ZAF,ETH,-23.42803720479007
2010.0,EGY,ETH,-23.42803720479007
2010.0,EGY,ETH,-23.42803720479007
2010.0,EGY,ETH,-23.42803720479007
2010.0,EGY,ETH,-23.42803720479007
2010.0,EGY,ETH,-23.42803720479007
2010.0,CYP,ETH,-23.42803720479007
2010.0,CYP,ETH,-23.42803720479007
2010.0,CYP,ETH,-23.42803720479007
2010.0,CYP,ETH,-23.42803720479007
2010.0,CYP,ETH,-23.42803720479007
2010.0,ISR,ETH,-23.42803720479007
2010.0,ISR,ETH,-23.42803720479007
2010.0,ISR,ETH,-23.42803720479007
2010.0,ISR,ETH,-23.42803720479007
2010.0,ISR,ETH,-23.42803720479007
2010.0,JOR,ETH,-23.42803720479007
2010.0,JOR,ETH,-23.42803720479007
2010.0,JOR,ETH,-23.42803720479007
2010.0,JOR,ETH,-23.42803720479007
2010.0,JOR,ETH,-23.42803720479007
2010.0,TUR,ETH,-23.42803720479007
2010.0,TUR,ETH,-23.42803720479007
2010.0,TUR,ETH,-23.42803720479007
2010.0,TUR,ETH,-23.42803720479007
2010.0,TUR,ETH,-23.42803720479007
2010.0,THA,ETH,-23.42803720479007
2010.0,THA,ETH,-23.42803720479007
2010.0,THA,ETH,-23.42803720479007
2010.0,THA,ETH,-23.42803720479007
2010.0,THA,ETH,-23.42803720479007
2010.0,ARG,ETH,-23.42803720479007
2010.0,ARG,ETH,-23.42803720479007
2010.0,ARG,ETH,-23.42803720479007
2010.0,ARG,ETH,-23.42803720479007
2010.0,ARG,ETH,-23.42803720479007
2010.0,BLR,ETH,-23.42803720479007
2010.0,BLR,ETH,-23.42803720479007
