year,orig,dest,fe_year
2010.0,ZMB,MWI,-29.98927015947694
2010.0,ZMB,MWI,-29.98927015947694
2010.0,ZMB,MWI,-29.98927015947694
2010.0,ZMB,MWI,-29.98927015947694
2010.0,ZMB,MWI,-29.98927015947694
2010.0,MWI,ZMB,-29.98927015947694
2010.0,MWI,ZMB,-29.98927015947694
2010.0,MWI,ZMB,-29.98927015947694
2010.0,MWI,ZMB,-29.98927015947694
2010.0,MWI,ZMB,-29.98927015947694
2010.0,ISR,EGY,-29.98927015947694
2010.0,ISR,EGY,-29.98927015947694
2010.0,ISR,EGY,-29.98927015947694
2010.0,ISR,EGY,-29.98927015947694
2010.0,ISR,EGY,-29.98927015947694
2010.0,TUR,GEO,-29.98927015947694
2010.0,TUR,GEO,-29.98927015947694
2010.0,TUR,GEO,-29.98927015947694
2010.0,TUR,GEO,-29.98927015947694
2010.0,TUR,GEO,-29.98927015947694
2010.0,RUS,GEO,-29.98927015947694
2010.0,RUS,GEO,-29.98927015947694
2010.0,RUS,GEO,-29.98927015947694
2010.0,RUS,GEO,-29.98927015947694
2010.0,RUS,GEO,-29.98927015947694
2010.0,EGY,ISR,-29.98927015947694
2010.0,EGY,ISR,-29.98927015947694
2010.0,EGY,ISR,-29.98927015947694
2010.0,EGY,ISR,-29.98927015947694
2010.0,EGY,ISR,-29.98927015947694
2010.0,JOR,ISR,-29.98927015947694
2010.0,JOR,ISR,-29.98927015947694
2010.0,JOR,ISR,-29.98927015947694
2010.0,JOR,ISR,-29.98927015947694
2010.0,JOR,ISR,-29.98927015947694
2010.0,ISR,JOR,-29.98927015947694
2010.0,ISR,JOR,-29.98927015947694
2010.0,ISR,JOR,-29.98927015947694
2010.0,ISR,JOR,-29.98927015947694
2010.0,ISR,JOR,-29.98927015947694
2010.0,GEO,TUR,-29.98927015947694
2010.0,GEO,TUR,-29.98927015947694
2010.0,GEO,TUR,-29.98927015947694
2010.0,GEO,TUR,-29.98927015947694
2010.0,GEO,TUR,-29.98927015947694
2010.0,BGR,TUR,-29.98927015947694
2010.0,BGR,TUR,-29.98927015947694
2010.0,BGR,TUR,-29.98927015947694
2010.0,BGR,TUR,-29.98927015947694
2010.0,BGR,TUR,-29.98927015947694
2010.0,GRC,TUR,-29.98927015947694
2010.0,GRC,TUR,-29.98927015947694
2010.0,GRC,TUR,-29.98927015947694
2010.0,GRC,TUR,-29.98927015947694
2010.0,GRC,TUR,-29.98927015947694
2010.0,CHN,KGZ,-29.98927015947694
2010.0,CHN,KGZ,-29.98927015947694
2010.0,CHN,KGZ,-29.98927015947694
2010.0,CHN,KGZ,-29.98927015947694
2010.0,CHN,KGZ,-29.98927015947694
2010.0,CHN,NPL,-29.98927015947694
2010.0,CHN,NPL,-29.98927015947694
2010.0,CHN,NPL,-29.98927015947694
2010.0,CHN,NPL,-29.98927015947694
2010.0,CHN,NPL,-29.98927015947694
2010.0,CHN,PAK,-29.98927015947694
2010.0,CHN,PAK,-29.98927015947694
2010.0,CHN,PAK,-29.98927015947694
2010.0,CHN,PAK,-29.98927015947694
2010.0,CHN,PAK,-29.98927015947694
2010.0,KGZ,CHN,-29.98927015947694
2010.0,KGZ,CHN,-29.98927015947694
2010.0,KGZ,CHN,-29.98927015947694
2010.0,KGZ,CHN,-29.98927015947694
2010.0,KGZ,CHN,-29.98927015947694
2010.0,NPL,CHN,-29.98927015947694
2010.0,NPL,CHN,-29.98927015947694
2010.0,NPL,CHN,-29.98927015947694
2010.0,NPL,CHN,-29.98927015947694
2010.0,NPL,CHN,-29.98927015947694
2010.0,PAK,CHN,-29.98927015947694
2010.0,PAK,CHN,-29.98927015947694
2010.0,PAK,CHN,-29.98927015947694
2010.0,PAK,CHN,-29.98927015947694
2010.0,PAK,CHN,-29.98927015947694
2010.0,MNG,CHN,-29.98927015947694
2010.0,MNG,CHN,-29.98927015947694
2010.0,MNG,CHN,-29.98927015947694
2010.0,MNG,CHN,-29.98927015947694
2010.0,MNG,CHN,-29.98927015947694
2010.0,VNM,CHN,-29.98927015947694
2010.0,VNM,CHN,-29.98927015947694
2010.0,VNM,CHN,-29.98927015947694
2010.0,VNM,CHN,-29.98927015947694
2010.0,VNM,CHN,-29.98927015947694
2010.0,RUS,CHN,-29.98927015947694
2010.0,RUS,CHN,-29.98927015947694
2010.0,RUS,CHN,-29.98927015947694
2010.0,RUS,CHN,-29.98927015947694
2010.0,RUS,CHN,-29.98927015947694
2010.0,CHN,MNG,-29.98927015947694
2010.0,CHN,MNG,-29.98927015947694
2010.0,CHN,MNG,-29.98927015947694
2010.0,CHN,MNG,-29.98927015947694
2010.0,CHN,MNG,-29.98927015947694
2010.0,RUS,MNG,-29.98927015947694
2010.0,RUS,MNG,-29.98927015947694
2010.0,RUS,MNG,-29.98927015947694
2010.0,RUS,MNG,-29.98927015947694
2010.0,RUS,MNG,-29.98927015947694
2010.0,CHN,VNM,-29.98927015947694
2010.0,CHN,VNM,-29.98927015947694
2010.0,CHN,VNM,-29.98927015947694
2010.0,CHN,VNM,-29.98927015947694
2010.0,CHN,VNM,-29.98927015947694
2010.0,PAN,CRI,-29.98927015947694
2010.0,PAN,CRI,-29.98927015947694
2010.0,PAN,CRI,-29.98927015947694
2010.0,PAN,CRI,-29.98927015947694
2010.0,PAN,CRI,-29.98927015947694
2010.0,HND,SLV,-29.98927015947694
2010.0,HND,SLV,-29.98927015947694
2010.0,HND,SLV,-29.98927015947694
