year,orig,dest,fe_YearCategorical
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,MWI,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
2010.0,RWA,ETH,-27.97214619099796
