year,orig,dest,fe_YearCategorical
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,MWI,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,RWA,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,ZAF,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,EGY,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,CYP,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,ISR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,JOR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,TUR,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,THA,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,ARG,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
2010.0,BLR,ETH,-22.74065387130058
