time,globalincome,globalypc
1950,,
1951,5359.052162576997,2088.3951669747653
1952,5566.657462979298,2130.5919607955484
1953,5782.640646607723,2173.7022045123754
1954,6007.357035673677,2217.748770495522
1955,6241.177899317487,2262.7552100975918
1956,6484.491213104987,2308.7457765085333
1957,6737.702456828188,2355.7454484350383
1958,7001.235452642853,2403.779954635099
1959,7275.533245688329,2452.875799339709
1960,7561.0590294539825,2503.060288594847
1961,7847.412957025104,2546.5521242649606
1962,8145.2049392812205,2590.8726241453846
1963,8454.922171227356,2636.042128817324
1964,8777.07414170319,2682.081622186391
1965,9112.19373068406,2729.0127542742157
1966,9460.838364357902,2776.857864851547
1967,9823.59123119971,2825.640007945109
1968,10201.062562453135,2875.3829772516924
1969,10593.890980628255,2926.111332494398
1970,11002.744919836054,2977.8504267571752
1971,11398.426087435282,3029.570914942659
1972,11809.468626689863,3082.3237786913737
1973,12236.521843084734,3136.1361636839138
1974,12680.264919622057,3191.036097820746
1975,13141.408400541977,3247.0525219657675
1976,13620.695753498834,3304.2153217849427
1977,14118.905014549235,3362.5553607202264
1978,14636.850520559175,3422.1045141405484
1979,15175.384733903464,3482.8957047131744
1980,15735.400164612318,3544.9629390404016
1981,16472.940632131027,3649.329645154387
1982,17253.68494344883,3758.431190308901
1983,18080.571715953996,3872.5267639471103
1984,18956.778404244735,3991.895004447299
1985,19885.744765697113,4116.835863809447
1986,20871.19905635503,4247.6726828922265
1987,21917.187317175318,4384.754503253946
1988,23028.106162078006,4528.458645022126
1989,24208.739538359063,4679.193584032394
1990,25467.574249793797,4838.109439663125
1991,25923.074806001307,4853.343081513381
1992,26407.13981214664,4872.142496123064
1993,26919.912781467134,4894.341456835175
1994,27461.724782811736,4919.810687855858
1995,28033.096484495905,4948.455773879866
1996,28951.513487434513,5043.664867371703
1997,30085.2935238276,5172.288705089847
1998,31171.234115335767,5288.268238012662
1999,31883.303622061016,5337.418689168101
2000,32827.66886282443,5422.438217416453
2001,34162.25783859196,5569.008529772254
2002,35036.8054310647,5637.9743204687875
2003,35941.38206495603,5710.2491846359035
2004,36872.73759377573,5785.2183492772965
2005,37831.078147761815,5862.892168242639
2006,38817.18649252323,5943.333324301487
2007,39831.52519679827,6026.592385893459
2008,40875.19596973884,6112.786392293587
2009,41949.01160548013,6202.023668554732
2010,43053.98994352785,6294.385496073551
2011,44187.42783755199,6389.471703069227
2012,45336.16884898593,6485.441097787255
2013,46499.958167319965,6582.317904575397
2014,47678.276069999585,6680.092296874805
2015,48870.81601933768,6778.788414708308
2016,50076.99747534224,6878.3959287373345
2017,51296.34856016795,6978.923613006074
2018,52528.51945081187,7080.400092989071
2019,53772.86795407005,7182.818161439503
2020,55029.00035422678,7286.207470519334
2021,56296.22343769101,7390.561086442331
2022,57579.16465419822,7496.464801326261
2023,58877.69680701347,7603.97310403075
2024,60191.369400009324,7713.101572866185
2025,61520.01950111729,7823.906119468998
2026,62863.1531683287,7936.403428308408
2027,64219.45263723414,8050.510643249291
2028,65588.33694568752,8166.243055455069
2029,66969.27256747134,8283.62540508934
2030,68361.80136216908,8402.69499754264
2031,69765.51517777545,8523.498205279737
2032,71189.83671112686,8645.371847543585
2033,72634.78845413208,8768.31250006
2034,74100.44015460534,8892.323203529444
2035,75586.99755463767,9017.423817882263
2036,77094.71442621827,9143.640110570179
2037,78623.73237782835,9270.98467854601
2038,80174.09051617245,9399.458493226999
2039,81745.84725513568,9529.0654221366
2040,83339.24459590121,9659.831178599736
2041,84954.54123604082,9791.783460738003
2042,86582.95936475662,9925.334945226374
2043,88223.97594556097,10060.499296199174
2044,89877.03189859394,10197.288463165041
2045,91541.78956734903,10335.741781847475
2046,93217.86796836034,10475.895556766805
2047,94904.7820429591,10617.776358806848
2048,96601.96191330778,10761.40339043799
2049,98308.75461484629,10906.78882138409
2050,100024.79443497298,11053.978835562219
2051,101749.62181934598,11203.01099912315
2052,103512.31904090862,11354.86034442899
2053,105313.9627815133,11509.6023232246
2054,107155.32381615942,11667.277491017794
2055,109037.80047280453,11827.993432032476
2056,110962.49624539563,11991.823796152634
2057,112930.588937926,12158.848652343251
2058,114943.34097258549,12329.155453556174
2059,117001.65797566509,12502.79170677314
2060,119107.17641572747,12679.88149032117
2061,121261.18825368567,12860.509943320549
2062,123465.07602346002,13044.769939693713
2063,125720.32495956945,13232.76319482586
2064,128028.00306058866,13424.545554111031
2065,130390.03050560951,13620.260438884867
2066,132807.9245244091,13820.006548944342
2067,135283.3117718216,14023.89179455226
2068,137817.94273305062,14232.034580420148
2069,140413.07973548843,14444.500618825827
2070,143070.97975513557,14661.455862656901
2071,145793.42849239786,14883.014908673815
2072,148573.01271051727,15110.935846752825
2073,151410.8319627822,15345.400857021416
2074,154307.3577582277,15586.532861619226
2075,157264.1627901663,15834.570863695668
2076,160282.2051012732,16089.696133493613
2077,163327.5302813566,16348.600285914648
2078,166398.4729995848,16611.241080190488
2079,169493.88988697162,16877.632598510867
2080,172611.98557681416,17147.7277837103
2081,175751.50164954533,17421.536868727773
2082,178916.7322493308,17698.55361484044
2083,182106.20553346886,17978.72063219064
2084,185319.01557270484,18262.039003633185
2085,188553.59596999674,18548.44699443181
2086,191808.96203539977,18837.942502289017
2087,195083.7511070551,19130.48835118016
2088,198376.20702808464,19426.010937406485
2089,201685.17062936132,19724.497210600992
2090,205008.80072640762,20025.86921319984
2091,208345.87041887848,20330.11081465702
2092,211695.8210231594,20636.277523044308
2093,215056.76676883863,20944.24492572237
2094,218427.4541050401,21253.95128765256
2095,221805.93072234566,21565.26778618033
2096,225190.89299824974,21878.129601488126
2097,228580.63819705285,22192.43385991431
2098,231973.0506066507,22508.0383337374
2099,235366.6807541093,22824.86610959853
2100,238759.36205895853,23142.77122208714
