time,globalpopulation
1950,2.5204e9
1951,2.566110211e9
1952,2.6127280893807306e9
1953,2.660272706446896e9
1954,2.708763551396953e9
1955,2.758220540810647e9
1956,2.8086640283588715e9
1957,2.860114814741193e9
1958,2.912594157856541e9
1959,2.966123783212682e9
1960,3.0207258945802565e9
1961,3.0815834799730206e9
1962,3.1438075586475296e9
1963,3.207430594070477e9
1964,3.272485844240735e9
1965,3.3390073814834414e9
1966,3.407030112743521e9
1967,3.476589800391354e9
1968,3.5477230835536785e9
1969,3.620467499983116e9
1970,3.694861508480076e9
1971,3.762389594914309e9
1972,3.831352406366496e9
1973,3.9017827047123175e9
1974,3.9737140323425956e9
1975,4.047180731337897e9
1976,4.1222179631262383e9
1977,4.198861728636374e9
1978,4.277148888959394e9
1979,4.357117186531774e9
1980,4.438805266853309e9
1981,4.513963449151256e9
1982,4.590661387638912e9
1983,4.668933959161381e9
1984,4.748816885996582e9
1985,4.830346757447883e9
1986,4.913561052012108e9
1987,4.998498160138835e9
1988,5.0851974075972805e9
1989,5.173699079467592e9
1990,5.263951666948462e9
1991,5.341282157600513e9
1992,5.420026165728883e9
1993,5.500211421471672e9
1994,5.581866158102121e9
1995,5.665019102012989e9
1996,5.740173910984179e9
1997,5.816630748825338e9
1998,5.894412445131557e9
1999,5.973543669483123e9
2000,6.054042028064884e9
2001,6.134351861010533e9
2002,6.21443153862245e9
2003,6.294188029772945e9
2004,6.373612086462035e9
2005,6.452630725954729e9
2006,6.531214787130479e9
2007,6.609294713548664e9
2008,6.686835322966683e9
2009,6.763761934377715e9
2010,6.840062460487208e9
2011,6.915662184766582e9
2012,6.990452640831789e9
2013,7.064374410570119e9
2014,7.137367861265218e9
2015,7.209373272855072e9
2016,7.280330762311161e9
2017,7.350180544256273e9
2018,7.418863166055404e9
2019,7.486318983090261e9
2020,7.552488805304982e9
2021,7.617313865514763e9
2022,7.680842394405882e9
2023,7.743017499076017e9
2024,7.803782801429159e9
2025,7.863082527029681e9
2026,7.920861601377483e9
2027,7.977065739436664e9
2028,8.03164153948055e9
2029,8.084536575775911e9
2030,8.135699484767854e9
2031,8.185080057218803e9
2032,8.234444737198212e9
2033,8.283781908278823e9
2034,8.333079945316671e9
2035,8.382327267876959e9
2036,8.431512340156049e9
2037,8.480623698987615e9
2038,8.529649933976916e9
2039,8.578579706802631e9
2040,8.627401768731724e9
2041,8.67610497890216e9
2042,8.723429470397776e9
2043,8.76934368246432e9
2044,8.813816753664518e9
2045,8.856818552503181e9
2046,8.89831971531514e9
2047,8.938291675755716e9
2048,8.976706699717543e9
2049,9.013537918887726e9
2050,9.048759358320736e9
2051,9.08234597174901e9
2052,9.116124364461662e9
2053,9.15009570478434e9
2054,9.184261186781096e9
2055,9.218622000373222e9
2056,9.253179343828918e9
2057,9.28793442265293e9
2058,9.32288844970575e9
2059,9.358042645170338e9
2060,9.393398235357687e9
2061,9.428956455701506e9
2062,9.464718549598196e9
2063,9.500685768239798e9
2064,9.536859370362995e9
2065,9.57324062125533e9
2066,9.609830795236038e9
2067,9.646631174405807e9
2068,9.683643048665361e9
2069,9.720867715737093e9
2070,9.758306480295792e9
2071,9.795960656293472e9
2072,9.832151642841099e9
2073,9.86685413913465e9
2074,9.900043783194342e9
2075,9.931697179790956e9
2076,9.961791930154406e9
2077,9.990306657755499e9
2078,1.0017221000905289e10
2079,1.0042515672602467e10
2080,1.0066172483842968e10
2081,1.0088174365662596e10
2082,1.010911604094625e10
2083,1.0128985774850426e10
2084,1.0147772411165922e10
2085,1.0165465390531076e10
2086,1.018205475529469e10
2087,1.0197531162084549e10
2088,1.0211885891925135e10
2089,1.0225110859655523e10
2090,1.0237198622633478e10
2091,1.0248142389301256e10
2092,1.0258430610208696e10
2093,1.0268060153589964e10
2094,1.0277028075807018e10
2095,1.0285331623124367e10
2096,1.0292968233579367e10
2097,1.029993553838783e10
2098,1.0306231363527815e10
2099,1.0311853731099463e10
2100,1.031680086052486e10
