time,regions,loss
1950,USA,
1950,CAN,
1950,WEU,
1950,JPK,
1950,ANZ,
1950,EEU,
1950,FSU,
1950,MDE,
1950,CAM,
1950,LAM,
1950,SAS,
1950,SEA,
1950,CHI,
1950,MAF,
1950,SSA,
1950,SIS,
1951,USA,-6.157920561706724e8
1951,CAN,-1.7123554667464262e8
1951,WEU,-3.9239559523545847e9
1951,JPK,-1.82095528179648e9
1951,ANZ,-2.573381614744823e8
1951,EEU,-3.52674647154778e8
1951,FSU,1.4552487663585396e9
1951,MDE,-7.48178270274933e8
1951,CAM,-1.850422316293422e8
1951,LAM,-9.710903626155731e7
1951,SAS,-1.228043064101869e7
1951,SEA,4.7783322851678747e8
1951,CHI,1.0786510679740158e8
1951,MAF,8.384075531604935e8
1951,SSA,1.030219939317246e9
1951,SIS,5.498083508179548e6
1952,USA,-6.34396105016986e8
1952,CAN,-1.789514587945899e8
1952,WEU,-4.0300794368792543e9
1952,JPK,-1.9527797335488262e9
1952,ANZ,-2.6522191490441638e8
1952,EEU,-3.7241996399768364e8
1952,FSU,1.4653825581070263e9
1952,MDE,-8.024395040748456e8
1952,CAM,-2.0360527135282102e8
1952,LAM,-1.2191342939346975e8
1952,SAS,-1.116811626959055e8
1952,SEA,4.330348886556854e8
1952,CHI,-4.737683220160472e7
1952,MAF,8.377058804451287e8
1952,SSA,1.0860584126199706e9
1952,SIS,-278658.08399563096
1953,USA,-7.124506565822921e8
1953,CAN,-1.9387733589357466e8
1953,WEU,-4.2501799762759304e9
1953,JPK,-2.1085153471592758e9
1953,ANZ,-2.873059979266599e8
1953,EEU,-3.9403907941855e8
1953,FSU,1.4784666158374512e9
1953,MDE,-8.585386863580248e8
1953,CAM,-2.236326443954783e8
1953,LAM,-1.4285861827178997e8
1953,SAS,-1.3751566107624197e8
1953,SEA,4.115024664644477e8
1953,CHI,-1.3478267733498093e8
1953,MAF,8.31295152853164e8
1953,SSA,1.1269421685761619e9
1953,SIS,-3.854480490871268e6
1954,USA,-7.825049058760891e8
1954,CAN,-2.076898171856181e8
1954,WEU,-4.474050120318991e9
1954,JPK,-2.270824519390111e9
1954,ANZ,-3.050579900671182e8
1954,EEU,-4.1669237383786064e8
1954,FSU,1.4904468406855407e9
1954,MDE,-9.184064034524642e8
1954,CAM,-2.4520654173443398e8
1954,LAM,-1.6631131096124646e8
1954,SAS,-1.480534802816989e8
1954,SEA,3.8745573100041485e8
1954,CHI,-2.1670879522182217e8
1954,MAF,8.249819640153062e8
1954,SSA,1.1688897055755873e9
1954,SIS,-7.830769750259918e6
1955,USA,-8.57539696673399e8
1955,CAN,-2.2241058582346934e8
1955,WEU,-4.707351411515079e9
1955,JPK,-2.441917489273597e9
1955,ANZ,-3.248271642271159e8
1955,EEU,-4.4046020405829036e8
1955,FSU,1.5011110745860512e9
1955,MDE,-9.82202472270126e8
1955,CAM,-2.6846243975284576e8
1955,LAM,-1.921043266982499e8
1955,SAS,-1.5905875576652846e8
1955,SEA,3.6145082240616786e8
1955,CHI,-3.031379711668314e8
1955,MAF,8.187040452277399e8
1955,SSA,1.2119950794956465e9
1955,SIS,-1.2253972795445094e7
1956,USA,-9.386673308929284e8
1956,CAN,-2.3812131680608407e8
1956,WEU,-4.951583256661848e9
1956,JPK,-2.622646557962625e9
1956,ANZ,-3.479648754384025e8
1956,EEU,-4.65426756586249e8
1956,FSU,1.5100497846416466e9
1956,MDE,-1.0501066273571867e9
1956,CAM,-2.9354612446854e8
1956,LAM,-2.2033192256210032e8
1956,SAS,-1.706483149165135e8
1956,SEA,3.3360356369279265e8
1956,CHI,-3.9455677265193725e8
1956,MAF,8.123714102729082e8
1956,SSA,1.256223536850415e9
1956,SIS,-1.7227179807411868e7
1957,USA,-1.0258380715957633e9
1957,CAN,-2.5486148542310572e8
1957,WEU,-5.20726678517309e9
1957,JPK,-2.813562931354756e9
1957,ANZ,-3.768376203259309e8
1957,EEU,-4.9166863788378465e8
1957,FSU,1.516926388625611e9
1957,MDE,-1.1223244522452955e9
1957,CAM,-3.206055894695384e8
1957,LAM,-2.511253405174712e8
1957,SAS,-1.829102474227351e8
1957,SEA,3.0391425840289223e8
1957,CHI,-4.914033102279888e8
1957,MAF,8.05931525436147e8
1957,SSA,1.301546025269998e9
1957,SIS,-2.2927826544480667e7
1958,USA,-1.1149337771002917e9
1958,CAN,-2.725465050582392e8
1958,WEU,-5.471295056626866e9
1958,JPK,-3.0141137448755546e9
1958,ANZ,-3.987546673922078e8
1958,EEU,-5.192408155348385e8
1958,FSU,1.522155411237189e9
1958,MDE,-1.1992155653574135e9
1958,CAM,-3.4977873007221556e8
1958,LAM,-2.844521390785053e8
1958,SAS,-1.958666850212521e8
1958,SEA,2.724715885478834e8
1958,CHI,-5.940128566950711e8
1958,MAF,7.995661985415583e8
1958,SSA,1.348314346371304e9
1958,SIS,-2.9675027862986725e7
1959,USA,-1.204868002887224e9
1959,CAN,-2.912412590554827e8
1959,WEU,-5.742926763701762e9
1959,JPK,-3.2246055569951386e9
1959,ANZ,-4.1910722838807017e8
1959,EEU,-5.48227555851555e8
1959,FSU,1.5262670553043957e9
1959,MDE,-1.2812467831744719e9
1959,CAM,-3.8123644986507785e8
1959,LAM,-3.2038019931154597e8
1959,SAS,-2.0952712872443834e8
1959,SEA,2.393373552166298e8
1959,CHI,-7.027592880500975e8
1959,MAF,7.934911667084047e8
1959,SSA,1.3969611520057247e9
1959,SIS,-3.749266944381097e7
1960,USA,-1.2895972188389316e9
1960,CAN,-3.1088598089757234e8
1960,WEU,-6.016884324879843e9
1960,JPK,-3.4439903629971056e9
1960,ANZ,-4.3995961049693584e8
1960,EEU,-5.786891696812719e8
1960,FSU,1.530764091283618e9
1960,MDE,-1.369127736519835e9
1960,CAM,-4.151499792156224e8
1960,LAM,-3.587368314597893e8
1960,SAS,-2.238276929440266e8
1960,SEA,2.0470653307065895e8
1960,CHI,-8.179933044658796e8
1960,MAF,7.881804606725146e8
1960,SSA,1.4484475199552438e9
1960,SIS,-4.335120782919933e7
