time,regions,populationin1
1950,USA,1.578e8
1950,CAN,1.37e7
1950,WEU,3.043e8
1950,JPK,1.04e8
1950,ANZ,1.01e7
1950,EEU,8.77e7
1950,FSU,1.801e8
1950,MDE,5.86e7
1950,CAM,3.5e7
1950,LAM,1.149e8
1950,SAS,4.641e8
1950,SEA,1.832e8
1950,CHI,5.672e8
1950,MAF,4.41e7
1950,SSA,1.758e8
1950,SIS,1.98e7
1951,USA,1.60428948e8
1951,CAN,1.4068256e7
1951,WEU,3.06311423e8
1951,JPK,1.0542168000000001e8
1951,ANZ,1.0322301000000002e7
1951,EEU,8.881379e7
1951,FSU,1.8326435700000003e8
1951,MDE,6.018454399999999e7
1951,CAM,3.603075e7
1951,LAM,1.18076985e8
1951,SAS,4.7411063700000006e8
1951,SEA,1.87087504e8
1951,CHI,5.76921808e8
1951,MAF,4.515310799999999e7
1951,SSA,1.7973792e8
1951,SIS,2.0176199999999996e7
1952,USA,1.6310169427367997e8
1952,CAN,1.444641072128e7
1952,WEU,3.0833614150603e8
1952,JPK,1.068627943656e8
1952,ANZ,1.0549494845010003e7
1952,EEU,8.994172513299999e7
1952,FSU,1.8648431175249004e8
1952,MDE,6.1811934069759995e7
1952,CAM,3.70918555875e7
1952,LAM,1.2134181363524999e8
1952,SAS,4.843372034400901e8
1952,SEA,1.9105750083488e8
1952,CHI,5.8681024778912e8
1952,MAF,4.623136421903999e7
1952,SSA,1.83764049408e8
1952,SIS,2.0559547799999997e7
1953,USA,1.658189685002795e8
1953,CAN,1.4834730241468007e7
1953,WEU,3.103742434013849e8
1953,JPK,1.0832360876457778e8
1953,ANZ,1.0781689226548674e7
1953,EEU,9.108398504218909e7
1953,FSU,1.897608411099813e8
1953,MDE,6.34833287670063e7
1953,CAM,3.818421073455188e7
1953,LAM,1.2469691478226463e8
1953,SAS,4.947843569182929e8
1953,SEA,1.9511174100259614e8
1953,CHI,5.968681754362254e8
1953,MAF,4.733536919659066e7
1953,SSA,1.8788036411473918e8
1953,SIS,2.0950179208199993e7
1954,USA,1.6858151251549414e8
1954,CAN,1.5233487790358668e7
1954,WEU,3.12425817150268e8
1954,JPK,1.0980439249638955e8
1954,ANZ,1.101899420642501e7
1954,EEU,9.224075165222487e7
1954,FSU,1.930949390882837e8
1954,MDE,6.519991797686615e7
1954,CAM,3.930873574068443e7
1954,LAM,1.2814478447599424e8
1954,SAS,5.054568554970205e8
1954,SEA,1.9925201214667124e8
1954,CHI,6.070984959632022e8
1954,MAF,4.846573781300524e7
1954,SSA,1.9208888427090934e8
1954,SIS,2.1348232613155793e7
1955,USA,1.7139008051400226e8
1955,CAN,1.5642963942163508e7
1955,WEU,3.144909518016313e8
1955,JPK,1.113054185418152e8
1955,ANZ,1.1261522268908426e7
1955,EEU,9.341220919820812e7
1955,FSU,1.9648761716806483e8
1955,MDE,6.69629237589606e7
1955,CAM,4.0466378008247584e7
1955,LAM,1.3168798776675548e8
1955,SAS,5.1635955987009126e8
1955,SEA,2.034801398444236e8
1955,CHI,6.175041641840116e8
1955,MAF,4.96230996319798e7
1955,SSA,1.9639167527857772e8
1955,SIS,2.1753849032805752e7
1956,USA,1.7424543925536552e8
1956,CAN,1.6063446812928863e7
1956,WEU,3.165697369930401e8
1956,JPK,1.1282696361328182e8
1956,ANZ,1.15093883740471e7
1956,EEU,9.459854425502536e7
1956,FSU,1.9993990460170776e8
1956,MDE,6.877360121740289e7
1956,CAM,4.165811284059047e7
1956,LAM,1.3532916062850627e8
1956,SAS,5.274974355764892e8
1956,SEA,2.0779798841192228e8
1956,CHI,6.280881855581255e8
1956,MAF,5.0808099251191474e7
1956,SSA,2.0079084880481786e8
1956,SIS,2.216717216442906e7
1957,USA,1.771483682733599e8
1957,CAN,1.649523226326039e7
1957,WEU,3.186622629545641e8
1957,JPK,1.1436930820587538e8
1957,ANZ,1.1762710012159878e7
1957,EEU,9.579994576706417e7
1957,FSU,2.0345284872555977e8
1957,MDE,7.063323939432146e7
1957,CAM,4.288494426374586e7
1957,LAM,1.3907101191988444e8
1957,SAS,5.388755552618742e8
1957,SEA,2.122074617260233e8
1957,CHI,6.388536170585917e8
1957,MAF,5.202139666130992e7
1957,SSA,2.0528856381804577e8
1957,SIS,2.258834843555321e7
1958,USA,1.8009966008879405e8
1958,CAN,1.6938624106496833e7
