time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290364988152539e9
1991,5.376452851473617e9
1992,5.460078161214289e9
1993,5.541701820168875e9
1994,5.622135573241352e9
1995,5.70200205129211e9
1996,5.781401263740443e9
1997,5.860198543479837e9
1998,5.93852621245503e9
1999,6.016500475351507e9
2000,6.0942394340138855e9
2001,6.171824893331698e9
2002,6.249393080324443e9
2003,6.327186971817797e9
2004,6.405493682502808e9
2005,6.484517724980506e9
2006,6.564348706033317e9
2007,6.644952488438852e9
2008,6.726252374336167e9
2009,6.808108763613021e9
2010,6.890386224955254e9
2011,6.973021276702093e9
2012,7.055963373001848e9
2013,7.139057390985914e9
2014,7.222130095595066e9
2015,7.306348876150906e9
2016,7.374343977998903e9
2017,7.44234160525903e9
2018,7.510340954607854e9
2019,7.578341383924279e9
2020,7.646342371018985e9
2021,7.699162572930496e9
2022,7.751987759999943e9
2023,7.804816907812814e9
2024,7.857649208390792e9
2025,7.910484020093297e9
2026,7.951076488861e9
2027,7.991674264427828e9
2028,8.032276347588545e9
2029,8.07288197222729e9
2030,8.113490539513726e9
2031,8.145614973235572e9
2032,8.177743730052789e9
2033,8.209876028010874e9
2034,8.242011240327072e9
2035,8.274148849325087e9
2036,8.299441786920741e9
2037,8.3247377782871685e9
2038,8.3500362997409935e9
2039,8.375336944450829e9
2040,8.400639390484833e9
2041,8.418515139591111e9
2042,8.436392973862808e9
2043,8.454272561569237e9
2044,8.472153641302971e9
2045,8.490036003573969e9
2046,8.498882166456415e9
2047,8.50772976440296e9
2048,8.516578580591427e9
2049,8.525428458846138e9
2050,8.53427926439579e9
2051,8.533310214433554e9
2052,8.532342202999919e9
2053,8.531375099407232e9
2054,8.530408796934634e9
2055,8.529443207225616e9
2056,8.519563152695769e9
2057,8.509683885833817e9
2058,8.499805322336674e9
2059,8.489927392074582e9
2060,8.480050036069493e9
2061,8.462969860575104e9
2062,8.445890288607864e9
2063,8.42881126715722e9
2064,8.411732751240748e9
2065,8.394654702347457e9
2066,8.3719531039762535e9
2067,8.349251968354838e9
2068,8.326551263004706e9
2069,8.303850959850769e9
2070,8.281151034448501e9
2071,8.253508182198179e9
2072,8.225865695688118e9
2073,8.198223555086106e9
2074,8.170581743003636e9
2075,8.142940244108364e9
2076,8.110329476047916e9
2077,8.077719019118834e9
2078,8.045108860522358e9
2079,8.012498988893899e9
2080,7.979889394098165e9
2081,7.942245436117297e9
2082,7.904601755363603e9
2083,7.866958343267816e9
2084,7.829315192124747e9
2085,7.791672294983539e9
2086,7.749442387109577e9
2087,7.707212732567009e9
2088,7.66498332569874e9
2089,7.622754161381044e9
2090,7.580525234956649e9
2091,7.534810040537877e9
2092,7.489095077454025e9
2093,7.443380342183512e9
2094,7.397665831506723e9
2095,7.351951542473318e9
2096,7.303814958086802e9
2097,7.255678578485676e9
2098,7.207542401588088e9
2099,7.159406425497835e9
2100,7.111270648486345e9
