time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151408759687
1962,320.7268660831978
1963,321.66930795990294
1964,322.63573498948904
1965,323.6383507698726
1966,324.67705466970034
1967,325.7535200419778
1968,326.8437285183244
1969,327.96792611285247
1970,329.1479285550288
1971,330.3579692917377
1972,331.62178510938827
1973,332.9624754451319
1974,334.3938111920812
1975,335.8466768451083
1976,337.307517944678
1977,338.863715306519
1978,340.5004512648821
1979,342.2300492876482
1980,344.10089244732046
1981,346.066301082204
1982,348.1540991710736
1983,350.3085035479713
1984,352.63921912906983
1985,355.22046173554
1986,358.02132849265666
1987,361.0417170949049
1988,364.30999311748843
1989,367.87766682550335
1990,371.3987205738828
1991,374.89869711650493
1992,378.2833902136453
1993,381.6244619754143
1994,384.8624496321821
1995,388.18632356133855
1996,391.4807616843919
1997,394.7310759714178
1998,397.9736082894576
1999,401.262241478633
2000,404.4675860893074
2001,407.7865643325019
2002,411.139438935384
2003,414.50079093781073
2004,417.80349711593465
2005,421.02020428096046
2006,424.2766682004479
2007,427.3703160256082
2008,430.2093830741625
2009,433.4117832897651
2010,436.1810343112854
2011,438.90507849697013
2012,441.679593366294
2013,444.41357793919815
2014,447.0570745890069
2015,449.7354743532766
2016,452.49940594744476
2017,455.343177244691
2018,458.262861379828
2019,461.2556647150639
2020,464.3401502547184
2021,467.54641827742336
2022,470.8704025107403
2023,474.3089996397234
2024,477.8597563705561
2025,481.4805978805449
2026,485.2127573475249
2027,489.0537567304247
2028,493.0015958798771
2029,497.0545574641327
2030,501.2032632046596
2031,505.4822557629975
2032,509.88859593146753
2033,514.4199549955863
2034,519.0744021498591
2035,523.8320539977426
2036,528.7116392054219
2037,533.7113580697209
2038,538.8296715217276
2039,544.0652105461508
2040,549.4221331562079
2041,554.9159103745329
2042,560.544186683055
2043,566.3050156553937
2044,572.1967225408569
2045,578.2040730909918
2046,584.3407827405032
2047,590.6052494434166
2048,596.9960356104239
2049,603.5118212115854
2050,610.1745482604416
2051,617.0016572035498
2052,623.9898300813355
2053,631.1363420092217
2054,638.438880358819
2055,645.8656984421547
2056,653.447264333028
2057,661.1812251172416
2058,669.0655263736867
2059,677.0983117685137
2060,685.2049127817957
2061,693.4197449425708
2062,701.7423429949705
2063,710.1720883364106
2064,718.7082609066088
2065,727.324344958484
2066,736.0476744179809
2067,744.8768796988536
2068,753.8107586175487
2069,762.8482349266877
2070,771.9344572982154
2071,781.0965138298379
2072,790.3341687526096
2073,799.6470618384233
2074,809.0347486328724
2075,818.471744745669
2076,827.9848329555033
2077,837.5729311134276
2078,847.2350942420707
2079,856.970481397149
2080,866.6134362366688
2081,876.194553588544
2082,885.7186061448826
2083,895.1890684778647
2084,904.6085600213355
2085,913.9593184710076
2086,923.2649011615006
2087,932.5263434234503
2088,941.7446200782969
2089,950.9206438249986
2090,960.0046296920601
2091,969.020077427741
2092,977.9685535196886
2093,986.8513785042304
2094,995.6696833544278
2095,1004.4063719975725
2096,1013.0822499249057
2097,1021.697746991066
2098,1030.2533561405485
2099,1038.7495735370605
2100,1047.199173398143
