time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576996,2086.5347221856073
1952,5566.6574629792985,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673679,2217.199632370928
1955,6241.1778993174885,2263.4211776673983
1956,6484.49121310499,2310.5000969839375
1957,6737.702456828189,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.0590294539825,2505.8336342396137
1961,7847.412957025106,2552.930979296933
1962,8228.323278139575,2627.09480152888
1963,8683.348250846931,2720.061855191065
1964,9126.26477205393,2803.805707466226
1965,9712.041916026634,2925.159638479885
1966,10229.58978220442,3019.2750478720486
1967,10832.636706883313,3132.1806588160207
1968,11352.187380721016,3215.137739173579
1969,12069.203385561235,3348.422704922314
1970,12809.159063305728,3481.992078252573
1971,13189.221715410868,3513.8706751196924
1972,13749.33502173703,3591.0255927294934
1973,14545.58326168428,3725.481552715848
1974,15482.751613447968,3890.379573557198
1975,15727.397147674725,3878.707568565294
1976,15869.31848603053,3843.073512607374
1977,16671.56558110663,3966.1289460150083
1978,17335.474764854676,4052.428324250865
1979,18046.6685596631,4145.781977570203
1980,18796.45552892425,4243.259729974235
1981,19116.037565134204,4240.592528146082
1982,19534.118480968376,4258.23666500072
1983,19704.822784059066,4220.669739074224
1984,20270.776268654263,4265.563018926966
1985,21196.799758546695,4381.103230023077
1986,22018.97481344896,4469.001573035174
1987,22779.256408367266,4539.334933747179
1988,23660.619215881754,4629.984903085767
1989,24803.56386078601,4768.527723560057
1990,25762.354009522525,4869.674198253654
1991,26550.33556863299,4938.262464260878
1992,27020.68955378238,4948.773326824753
1993,27502.673089381155,4962.856805324314
1994,27860.954831853887,4955.582068729449
1995,28674.647012284295,5028.873376533388
1996,29544.04462180601,5110.187384299083
1997,30527.70805821481,5209.329836044468
1998,31572.34777273699,5316.528982897135
1999,32221.268893201155,5355.483287771314
2000,33236.63616523161,5453.778979514612
2001,34633.705056886785,5611.58235838389
2002,35233.03768029957,5637.833265454414
2003,35954.563409859875,5682.550866275868
2004,36870.658383660186,5756.09913606463
2005,38288.037050244806,5904.530882241315
2006,39561.796884089264,6026.766190396139
2007,41011.35532791936,6171.805319496497
2008,42443.28303842984,6310.093389603692
2009,42933.67112362628,6306.254803689702
2010,41871.93292554842,6076.862601063093
2011,43472.53812326837,6234.390183712808
2012,44487.48323603103,6304.94775586698
2013,45374.20546650678,6355.769418141837
2014,46361.377452737535,6419.349144864326
2015,47679.63675882731,6525.781189285503
2016,49383.63903387919,6688.34831434828
2017,51088.93640814363,6847.723067416867
2018,52795.07296863811,7003.943644491819
2019,54502.03809383167,7157.105083984153
2020,56209.821124677364,7307.298543169969
2021,58421.59140434094,7527.480117439591
2022,60634.42571577631,7743.920867679783
2023,62848.30294978456,7956.716732755372
2024,65063.20697355521,8165.960802522405
2025,67279.12216786707,8371.742929749811
2026,70118.34472247098,8659.14148798046
2027,72958.81036218804,8942.376665859802
2028,75800.49255925216,9221.539082440595
2029,78643.37045303495,9496.717150428552
2030,81487.42343559032,9767.996575628313
2031,84888.27529865061,10108.428461890873
2032,88290.3960863716,10444.535327698568
2033,91693.75553060736,10776.399080289291
2034,95098.32734707731,11104.09965018325
2035,98504.08470348733,11427.714729665133
2036,102224.73494425995,11789.442790628536
2037,105946.52213168413,12147.05710619944
2038,109669.4136369491,12500.626357839279
2039,113393.37803263772,12850.21765693307
2040,117118.3825333338,13195.896337499587
2041,121135.43707347923,13576.639363353936
2042,125153.42504551554,13953.495210136127
2043,129172.30916001601,14326.520799373928
2044,133192.05230285926,14695.771840462672
2045,137212.6155727137,15061.302650716165
2046,141459.01587088208,15456.279122930418
2047,145706.0700572216,15847.722360780788
2048,149953.73268084435,16235.67576316085
2049,154201.95700798128,16620.181766652404
2050,158450.6941198482,17001.28178128113
2051,163026.57878544217,17425.069332863695
2052,167602.78883744386,17845.646888216113
2053,172179.27370361084,18263.04592181174
2054,176755.98098504264,18677.297213868293
2055,181332.85570946708,19088.43079088486
2056,186347.7878658647,19554.499494963835
2057,191362.71186731043,20017.636929460754
2058,196377.56295753174,20477.863973360465
2059,201392.27487269382,20935.201074590306
2060,206406.77864784488,21389.668136366072
2061,211862.00047764153,21898.04057182136
2062,217316.828777781,22403.741203899062
2063,222771.18536490013,22906.782727164868
2064,228224.99055948987,23407.17754436029
2065,233678.16231661328,23904.9376829882
2066,239500.97833049644,24446.720571171893
2067,245322.93956395172,24986.037902980286
2068,251143.95680157762,25522.896840480247
2069,256963.9382341436,26057.30421593529
2070,262782.7895310304,26589.266548205676
2071,268921.9721004882,27158.477695222722
2072,275059.76475220534,27725.377946199736
2073,281196.06533704745,28289.970238980623
2074,287330.76891332323,28852.25720635084
2075,293463.7685126903,29412.24125618829
2076,299976.1625294309,30015.563785050213
2077,306486.6074954551,30616.71264966575
2078,312994.9902494981,31215.68725764098
2079,319501.19626735663,31812.486883508784
2080,326005.1093419347,32407.1106382817
2081,332834.0772641227,33040.89401941207
2082,339660.60202105856,33672.710799525
2083,346484.5606829408,34302.55683718663
2084,353305.8291883685,34930.427900878196
2085,360124.2828182466,35556.3197165561
2086,367264.3151180302,36221.566251159515
2087,374401.23810078495,36885.0505947906
2088,381534.9258719676,37546.76614812065
2089,388665.25173252996,38206.70626127558
2090,395792.08868263674,38864.86428369054
2091,403233.47352673585,39559.90568664094
2092,410671.1262029134,40253.33002074694
2093,418104.9244138226,40945.12968312368
2094,425534.7463456824,41635.29714552257
2095,432960.47038807406,42323.82492666108
2096,440668.88183630304,43043.8079466134
2097,448372.9333085607,43762.24474929388
2098,456072.507774268,44479.12754813597
2099,463767.48641895526,45194.44840051201
2100,471457.75100740604,45908.199448341526
