time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151446535145
1962,320.7268708571291
1963,321.66931554159686
1964,322.63574322849894
1965,323.63835816090244
1966,324.6770619069886
1967,325.7535283062802
1968,326.8437391116386
1969,327.96793844411184
1970,329.14794161062423
1971,330.3579814082372
1972,331.6217985900209
1973,332.9624905849055
1974,334.3938295988064
1975,335.8466951891833
1976,337.30753361652995
1977,338.8637328857526
1978,340.50046933324546
1979,342.23006808059716
1980,344.10092061562193
1981,346.06632784500954
1982,348.15412701101747
1983,350.30853333332243
1984,352.63925260221185
1985,355.22049760749985
1986,358.0213706219219
1987,361.0417741867536
1988,364.3100495069911
1989,367.87773273862507
1990,371.4036908887385
1991,374.91334603404647
1992,378.3119573131859
1993,381.67127261401924
1994,384.93114342421984
1995,388.2815703702697
1996,391.60660236415094
1997,394.8912453296334
1998,398.17206576301766
1999,401.50346395351676
2000,404.7546313504458
2001,408.12483209305856
2002,411.53308501474805
2003,414.9535495614705
2004,418.31858816818
2005,421.59910459357377
2006,424.92412007002565
2007,428.0863523445286
2008,430.9917993455751
2009,434.27010050710703
2010,437.1091660008629
2011,439.90438959406225
2012,442.7533179153723
2013,445.563245668442
2014,448.2823541610898
2015,450.9340143664923
2016,453.4792313406179
2017,456.01175811784026
2018,458.5169977440979
2019,460.9989322922061
2020,463.2802758649514
2021,465.3737063842804
2022,467.28518866930904
2023,469.0208206336067
2024,470.58406281374886
2025,471.9714242505102
2026,473.19241890429066
2027,474.2499219722792
2028,475.1459686009319
2029,475.88266724879435
2030,476.52223138942617
2031,477.06704748475715
2032,477.5162375528823
2033,477.86961310018773
2034,478.12726931038816
2035,478.2892615287786
2036,478.3560868340222
2037,478.3281293906662
2038,478.2057485658063
2039,477.9892875849652
2040,477.77299954042246
2041,477.5514858925614
2042,477.3214577794032
2043,477.0805452152557
2044,476.8269806936918
2045,476.55985864315113
2046,476.27732462955123
2047,475.97838413908534
2048,475.6621253194517
2049,475.3277058731483
2050,475.0033591748324
2051,474.68468693406
2052,474.3698876383452
2053,474.05745755585696
2054,473.74610212507
2055,473.43458166531315
2056,473.12193029481097
2057,472.8071576075818
2058,472.489352222143
2059,472.1676274994505
2060,471.8464786985405
2061,471.52486968435466
2062,471.2017887392929
2063,470.87632169680944
2064,470.54765016576164
2065,470.21454165858546
2066,469.87668789090213
2067,469.5333382473301
2068,469.1838319477127
2069,468.8275037582293
2070,468.4626344579721
2071,468.0894090015113
2072,467.70723855106587
2073,467.31552384368723
2074,466.9136978012367
2075,466.50073611266413
2076,466.0766287904724
2077,465.6408101718347
2078,465.19273419627837
2079,464.7319153730506
2080,464.2624274879007
2081,463.78430448272474
2082,463.296858177702
2083,462.79942691380455
2084,462.29141410617694
2085,461.77135480042347
2086,461.23962049809455
2087,460.69567381326175
2088,460.1389550984054
2089,459.56902360662036
2090,458.9865635749658
2091,458.39195245521677
2092,457.78450548734065
2093,457.16372885730607
2094,456.529032245808
2095,455.87760927365565
2096,455.211358513131
2097,454.52983444560044
2098,453.8324912844123
2099,453.118773197982
2100,452.4566080067622
