time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348195615033e9
1991,5.376405254325487e9
1992,5.4599866358957615e9
1993,5.541554013409509e9
1994,5.621920001937631e9
1995,5.701706228434919e9
1996,5.78101257059115e9
1997,5.859704746987645e9
1998,5.937915837366724e9
1999,6.015763412711547e9
2000,6.093368721045696e9
2001,6.170812474045276e9
2002,6.248231201952317e9
2003,6.325868041266676e9
2004,6.404009922138117e9
2005,6.482861155799151e9
2006,6.562511652619787e9
2007,6.64292756425299e9
2008,6.724031814353459e9
2009,6.805684073963086e9
2010,6.887748225311915e9
2011,6.9701601783133955e9
2012,7.052869359748912e9
2013,7.135722390826876e9
2014,7.218545604041287e9
2015,7.302274845451449e9
2016,7.370069052681931e9
2017,7.437879439071342e9
2018,7.505677286380753e9
2019,7.573464298619429e9
2020,7.641239698889681e9
2021,7.69389644363057e9
2022,7.746546955396578e9
2023,7.799190577504293e9
2024,7.851826763503033e9
2025,7.904455121739809e9
2026,7.9448415187834e9
2027,7.985223580092497e9
2028,8.025600482698331e9
2029,8.065971624980738e9
2030,8.106336490777199e9
2031,8.138197748510671e9
2032,8.170054632611399e9
2033,8.20190640418283e9
2034,8.233752418276163e9
2035,8.265592221147957e9
2036,8.290574944734229e9
2037,8.315552456001171e9
2038,8.340524153433529e9
2039,8.365489544136173e9
2040,8.390448211030932e9
2041,8.407975764279048e9
2042,8.425497207930423e9
2043,8.443012057357716e9
2044,8.460519901198105e9
2045,8.478020359803163e9
2046,8.486481391152061e9
2047,8.494935680141426e9
2048,8.503382822217501e9
2049,8.511822444974333e9
2050,8.520254197695062e9
2051,8.518851621384876e9
2052,8.517441862358463e9
2053,8.516024556507056e9
2054,8.514599359078882e9
2055,8.513165935892461e9
2056,8.5027922868147e9
2057,8.492411249906513e9
2058,8.482022488081003e9
2059,8.4716256698979225e9
2060,8.461220465547373e9
2061,8.443591630187225e9
2062,8.425955480079506e9
2063,8.40831169734056e9
2064,8.390659962507389e9
2065,8.372999954772272e9
2066,8.349708398807034e9
2067,8.326409930008581e9
2068,8.303104252958644e9
2069,8.279791070642006e9
2070,8.2564700799836235e9
2071,8.228213131955479e9
2072,8.199950080531658e9
2073,8.171680667765805e9
2074,8.143404631039749e9
2075,8.115121703502244e9
2076,8.081882474360367e9
2077,8.048638311432909e9
2078,8.015389000975514e9
2079,7.9821343251862335e9
2080,7.948874062671864e9
2081,7.910594567387917e9
2082,7.87231140918761e9
2083,7.834024419254801e9
2084,7.795733425229753e9
2085,7.757438250352062e9
2086,7.714586158012752e9
2087,7.671731652833893e9
2088,7.6288746075589075e9
2089,7.586014890624024e9
2090,7.543152366970458e9
2091,7.496864402487489e9
2092,7.450574874691091e9
2093,7.404283669983829e9
2094,7.357990670251487e9
2095,7.311695751391255e9
2096,7.263063365377827e9
2097,7.214428878585215e9
2098,7.165792116168154e9
2099,7.117152891825701e9
2100,7.068511006004825e9
