time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151446535145
1962,320.7268708571291
1963,321.66931554159686
1964,322.63574322849894
1965,323.63835816090244
1966,324.6770619069886
1967,325.7535283062802
1968,326.8437391116386
1969,327.96793844411184
1970,329.14794161062423
1971,330.3579814082372
1972,331.6217985900209
1973,332.9624905849055
1974,334.3938295988064
1975,335.8466951891833
1976,337.30753361652995
1977,338.8637328857526
1978,340.50046933324546
1979,342.23006808059716
1980,344.10092061562193
1981,346.06632784500954
1982,348.15412701101747
1983,350.30853333332243
1984,352.63925260221185
1985,355.22049760749985
1986,358.0213706219219
1987,361.0417741867536
1988,364.3100495069911
1989,367.87773273862507
1990,371.4041294916848
1991,374.91464609491817
1992,378.31451998934506
1993,381.6754931895292
1994,384.9374248440435
1995,388.29037640153774
1996,391.6183384742385
1997,394.906322563936
1998,398.19093316929406
1999,401.5266101379442
2000,404.78243156896133
2001,408.15789892083217
2002,411.572035157144
2003,414.9989810778099
2004,418.370997627826
2005,421.6590102090231
2006,424.9921069597548
2007,428.16266085035664
2008,431.0766137967111
2009,434.36470842042246
2010,437.21332566430226
2011,440.0182533779141
2012,442.8760234431655
2013,445.6918612479591
2014,448.4126403055086
2015,451.0607192032112
2016,453.59717021140665
2017,456.1141730177252
2018,458.5968642557348
2019,461.0486946052093
2020,463.2933261199633
2021,465.344414380841
2022,467.0983645577888
2023,468.5078221582525
2024,469.56841078761414
2025,470.30034097758335
2026,470.75185660805613
2027,470.96982365539304
2028,470.99875084320934
2029,470.8779121840541
2030,470.67008843683703
2031,470.39519045575406
2032,470.069938888476
2033,469.7073459483413
2034,469.3174310254773
2035,468.9073772500949
2036,468.4832156071751
2037,468.048779221036
2038,467.6063514759
2039,467.156708559772
2040,466.7372687825545
2041,466.34426590449834
2042,465.975416223708
2043,465.6286476980378
2044,465.30198200288896
2045,464.9935516932032
2046,464.70099920170424
2047,464.42201782546545
2048,464.1540173949931
2049,463.89413753126274
2050,463.6557246638315
2051,463.43366607053565
2052,463.2252421542952
2053,463.0278812313638
2054,462.83908134428856
2055,462.6564013829046
2056,462.4777429826318
2057,462.3011617649257
2058,462.1249432122565
2059,461.94754448345964
2060,461.7708565262513
2061,461.59367019803574
2062,461.4148243460267
2063,461.2332689056143
2064,461.04805837128845
2065,460.8579655044898
2066,460.6625096652656
2067,460.46092431838724
2068,460.2525556452778
2069,460.03679036425274
2070,459.8124175295428
2071,459.57955044753356
2072,459.3377247061789
2073,459.0864804429383
2074,458.8253968428939
2075,458.55369412110707
2076,458.2714152259864
2077,457.97816133331787
2078,457.67355124873563
2079,457.35725989113917
2080,457.0319013395794
2081,456.69768695595326
2082,456.35420647633657
2083,456.00105294923003
2084,455.6378549155721
2085,455.2635006983198
2086,454.8784053684071
2087,454.4822170986307
2088,454.0743145865468
2089,453.6534270168493
2090,453.21997716726986
2091,452.7744888110755
2092,452.31650971520685
2093,451.84573565579916
2094,451.36176815673474
2095,450.8622644484689
2096,450.34897239544426
2097,449.8215892023147
2098,449.2797272935538
2099,448.7229834368732
2100,448.20818988933064
