time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348195615033e9
1991,5.376405353413646e9
1992,5.459986935017244e9
1993,5.541554596593851e9
1994,5.621920920978369e9
1995,5.701707522808714e9
1996,5.781014275834231e9
1997,5.859706895698829e9
1998,5.937918458606511e9
1999,6.015766534740949e9
2000,6.093372385405964e9
2001,6.170816693465304e9
2002,6.248235984676756e9
2003,6.325873398370367e9
2004,6.40401585857661e9
2005,6.482867657798374e9
2006,6.562518700046605e9
2007,6.64293513238614e9
2008,6.7240398708041115e9
2009,6.805692583655657e9
2010,6.887757182126908e9
2011,6.970169575821713e9
2012,7.05287917063065e9
2013,7.135732586440546e9
2014,7.218556173150567e9
2015,7.3022857069458275e9
2016,7.37008019410056e9
2017,7.437890829245262e9
2018,7.505688897317022e9
2019,7.573476107399205e9
2020,7.641251685806816e9
2021,7.693908576847185e9
2022,7.746559212887469e9
2023,7.799202927940523e9
2024,7.851839159263329e9
2025,7.904467500374485e9
2026,7.944853808526954e9
2027,7.985235716261533e9
2028,8.025612409105074e9
2029,8.065983296389167e9
2030,8.10634787528226e9
2031,8.138208826078828e9
2032,8.170065393021557e9
2033,8.201916828212089e9
2034,8.2337625147497e9
2035,8.265602029411922e9
2036,8.290584489564532e9
2037,8.315561762864512e9
2038,8.340533251022086e9
2039,8.36549846322733e9
2040,8.390456985415914e9
2041,8.407984438441363e9
2042,8.425505809270501e9
2043,8.443020614926854e9
2044,8.460528445203963e9
2045,8.478028921305827e9
2046,8.486490023797514e9
2047,8.494944409789421e9
2048,8.503391668710482e9
2049,8.511831441761607e9
2050,8.520263381724179e9
2051,8.518861019046048e9
2052,8.51745151078277e9
2053,8.516034496714223e9
2054,8.514609635108363e9
2055,8.513176594379385e9
2056,8.502803273805459e9
2057,8.492422606820822e9
2058,8.482034259460764e9
2059,8.471637903267574e9
2060,8.461233211421633e9
2061,8.443604648718545e9
2062,8.425968806048765e9
2063,8.408325367801142e9
2064,8.390674016811131e9
2065,8.373014434775032e9
2066,8.34972282353611e9
2067,8.326424313755794e9
2068,8.303118611865624e9
2069,8.279805422889315e9
2070,8.256484445872709e9
2071,8.228226894291183e9
2072,8.199963227397858e9
2073,8.171693188601797e9
2074,8.143416516655084e9
2075,8.115132946205391e9
2076,8.08189260592071e9
2077,8.048647302934268e9
2078,8.015396824467274e9
2079,7.98214095381519e9
2080,7.948879470891052e9
2081,7.910598720982429e9
2082,7.872314284753586e9
2083,7.834025995271103e9
2084,7.795733682318484e9
2085,7.757437171488406e9
2086,7.714584038486115e9
2087,7.671728494354174e9
2088,7.628870415755183e9
2089,7.586009675195817e9
2090,7.543146141548266e9
2091,7.496858191628858e9
2092,7.450568762223562e9
2093,7.404277747634162e9
2094,7.357985040142203e9
2095,7.311690526801031e9
2096,7.263061161531972e9
2097,7.214429992221472e9
2098,7.165796867441042e9
2099,7.117161627228741e9
2100,7.068524100349754e9
