time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576997,2086.534722185607
1952,5566.657462979298,2128.372178378634
1953,5782.640646607723,2172.071290741913
1954,6007.357035673677,2217.199632370928
1955,6241.1778993174885,2263.4211776673983
1956,6484.491213104988,2310.5000969839366
1957,6737.702456828188,2358.2987379591154
1958,7001.235452642853,2406.7685504672386
1959,7275.533245688332,2455.9329712198637
1960,7561.0590294539825,2505.833634239613
1961,7847.412957025103,2552.9309792969316
1962,8228.275266898621,2627.0794727580897
1963,8683.286352656569,2720.042465561437
1964,9126.166460233184,2803.775503735454
1965,9711.935587706746,2925.127613565613
1966,10229.511409140305,3019.25191597312
1967,10832.576849819196,3132.163351567231
1968,11352.132187464655,3215.122107479394
1969,12069.152158301495,3348.408492673656
1970,12809.128931867584,3481.9838874393895
1971,13189.19495147732,3513.8635446761177
1972,13749.372263102372,3591.0353193596047
1973,14545.672156582345,3725.5043208851894
1974,15482.836592410384,3890.400926377925
1975,15727.485755861624,3878.7294212114725
1976,15869.388754487089,3843.0905295223974
1977,16671.756880195808,3966.1744556494373
1978,17335.455811494212,4052.4238936173897
1979,18046.481692344907,4145.739049361189
1980,18795.95646327668,4243.147066969143
1981,19115.00041735503,4240.362453209895
1982,19533.023884880902,4257.998054325885
1983,19703.995082454185,4220.492449729631
1984,20270.052384563594,4265.410692584542
1985,21195.92081746505,4380.921564316193
1986,22018.150579872992,4468.834285448958
1987,22778.49077720385,4539.182362643706
1988,23659.75159122996,4629.815123546075
1989,24802.612880650773,4768.344895996855
1990,25782.012238880758,4873.405546396827
1991,26591.676991557215,4945.995557176932
1992,27083.6851726324,4960.393769656697
1993,27588.047369387314,4978.394942241322
1994,27968.334867799254,4974.871627117818
1995,28806.69567993028,5052.292770787383
1996,29701.76622434019,5137.812299705543
1997,30712.256675155753,5241.261595052534
1998,31786.26334588138,5353.098667804408
1999,32465.105115210485,5396.669731491527
2000,33514.82808836015,5500.210070117047
2001,34948.522004147635,5663.51648765955
2002,35578.7378257546,5694.205213943971
2003,36332.6716508697,5743.502829614613
2004,37282.12961389276,5821.679796861117
2005,38737.921549472565,5975.42997022755
2006,40050.52166750408,6102.9192692411425
2007,41540.7710327941,6253.376012705929
2008,43012.434937775244,6396.8144088969775
2009,43529.74218228802,6396.078261171563
2010,42471.79787922123,6166.274008094429
2011,44114.88486019224,6329.097822047645
2012,45165.15932102456,6403.790347207066
2013,46085.61801795943,6458.428437481572
2014,47108.203506395424,6525.987001506729
2015,48466.85608031622,6637.217206000772
2016,50067.555615709716,6793.352931862271
2017,51695.8389564454,6950.335846243017
2018,53297.99434074068,7101.013030385196
2019,54910.15807891966,7250.324376578774
2020,56519.22467965071,7396.592523883852
2021,58313.73894508328,7579.208777616316
2022,60096.81172434049,7757.871672956511
2023,61861.634131829596,7931.789358501998
2024,63604.59048545752,8100.597831155603
2025,65331.712014001016,8265.163078206848
2026,67308.29416525617,8471.936280509133
2027,69282.25286954531,8676.294169312627
2028,71258.26018882895,8878.856585049934
2029,73240.42120300492,9080.160486423909
2030,75230.73561503761,9280.47236842191
2031,77433.90149766489,9514.858273760206
2032,79645.57795976385,9748.463014510615
2033,81865.89775341914,9981.313163635716
2034,84094.74929262066,10213.40512678361
2035,86332.21525497356,10444.758689326427
2036,88658.20319022692,10693.842763490644
2037,90992.76991534198,10942.468675956936
2038,93336.0943146161,11190.66325755073
2039,95688.29910507242,11438.446226839365
2040,98049.49484373805,11685.83556783831
2041,100435.90290968411,11945.30152760003
2042,102828.721075391,12204.457576012019
2043,105228.03526209474,12463.317092660744
2044,107634.07941061463,12721.910789944402
2045,110046.89609928937,12980.246555661684
2046,112401.29989050818,13244.734862077252
2047,114762.21835779517,13509.473876305816
2048,117129.58209082964,13774.455980625937
2049,119503.31851681817,14039.673182932802
2050,121883.23827442453,14305.103841995184
2051,124261.68541067226,14586.65659893167
2052,126645.52298888487,14868.947417000707
2053,129034.82620036195,15151.986843663628
2054,131429.58087752413,15435.774956948273
2055,133829.80153806123,15720.315235263693
2056,136280.14061688815,16027.674023759182
2057,138735.9221984884,16336.438672586699
2058,141197.30295237026,16646.63427156617
2059,143664.46347042144,16958.288902893302
2060,146137.54073794794,17271.42568635295
2061,148637.2897336206,17603.537298929878
2062,151143.05069699782,17937.767572495854
2063,153654.9470760947,18274.146073262316
2064,156173.13263557083,18612.70629470782
2065,158697.82527463802,18953.489738370972
2066,161165.85120129125,19301.942294759992
2067,163640.23269999484,19653.12387936635
2068,166121.11035708216,20007.0759783765
2069,168608.68806581473,20363.848258750968
2070,171103.11680568548,20723.48462061276
2071,173480.3370299112,21083.56381731447
2072,175864.11730766803,21446.940700924733
2073,178254.6166277717,21813.670443902774
2074,180651.9469694308,22183.80328635289
2075,183056.25553317976,22557.394584135236
2076,185400.6417186145,22940.250259826047
2077,187751.73109632605,23327.11544834436
2078,190109.60436275788,23718.051453497726
2079,192474.40831683527,24113.128950742393
2080,194846.30804540846,24512.422168804897
2081,197106.93426447737,24916.813098840845
2082,199374.1095768237,25325.98061032211
2083,201647.91347355058,25740.00600083916
2084,203928.43905431763,26158.97397108987
2085,206215.79761598964,26582.973305850468
2086,208385.61597843116,27011.897639247596
2087,210561.73605291796,27446.443742208656
2088,212744.18029370005,27886.710156535504
2089,214932.53395330225,28332.74007327592
2090,217126.60583180186,28784.60735653755
2091,219193.42677247152,29238.022233775915
2092,221266.2856510452,29697.88709763139
2093,223345.188809486,30164.324470912794
2094,225430.22964094894,30637.471839034424
2095,227521.4466050726,31117.462709097064
2096,229303.94900904965,31571.224634655282
2097,231091.1183771281,32031.758427157667
2098,232882.8835290025,32499.19305056849
2099,234679.24938956913,32973.67176669779
2100,236480.15632005755,33455.3327532125
