time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348149145256e9
1991,5.376405258102517e9
1992,5.459986787100879e9
1993,5.541554396401865e9
1994,5.621920667597521e9
1995,5.701707208533733e9
1996,5.781013887452186e9
1997,5.85970643722154e9
1998,5.93791793522957e9
1999,6.015765951792723e9
2000,6.093371750092742e9
2001,6.170816007847807e9
2002,6.248235243443128e9
2003,6.3258726108728285e9
2004,6.404015028389788e9
2005,6.482866792890064e9
2006,6.562517805923086e9
2007,6.642934214750135e9
2008,6.724038933908773e9
2009,6.805691634210107e9
2010,6.887756232786635e9
2011,6.97016864626297e9
2012,7.052878265705231e9
2013,7.135731705790584e9
2014,7.218555326069704e9
2015,7.302284890371231e9
2016,7.378717517297471e9
2017,7.455164055175536e9
2018,7.531595940839722e9
2019,7.608014972975843e9
2020,7.684420424032951e9
2021,7.754515516361507e9
2022,7.82459935492145e9
2023,7.894671595062195e9
2024,7.964731996078159e9
2025,8.034780340006567e9
2026,8.0969331432067795e9
2027,8.159075773728307e9
2028,8.221207904627736e9
2029,8.2833292908361845e9
2030,8.345439739028045e9
2031,8.400158736718771e9
2032,8.454868344011775e9
2033,8.509568231831174e9
2034,8.564258179294704e9
2035,8.618937940511087e9
2036,8.666466793683493e9
2037,8.713987231188833e9
2038,8.761498874918112e9
2039,8.809001373394508e9
2040,8.856494480149637e9
2041,8.89676244712484e9
2042,8.937022714913673e9
2043,8.977274897154043e9
2044,9.017518660924585e9
2045,9.057753700602493e9
2046,9.090141226595194e9
2047,9.122521640477715e9
2048,9.154894540171381e9
2049,9.18725958247495e9
2050,9.219616441038214e9
2051,9.243624500694124e9
2052,9.26762595849701e9
2053,9.29162042594478e9
2054,9.315607541067793e9
2055,9.339586973273851e9
2056,9.35547311162713e9
2057,9.371353114434189e9
2058,9.38722658546314e9
2059,9.403093168740515e9
2060,9.41895251931665e9
2061,9.42755675806725e9
2062,9.436155372467918e9
2063,9.444747984339983e9
2064,9.453334236790007e9
2065,9.461913792753937e9
2066,9.46413532426135e9
2067,9.466351777049698e9
2068,9.468562797099087e9
2069,9.470768041955694e9
2070,9.472967178886341e9
2071,9.469488070819193e9
2072,9.466004487993824e9
2073,9.462516102443808e9
2074,9.45902259665506e9
2075,9.455523658828684e9
2076,9.446759330990973e9
2077,9.437991184183323e9
2078,9.429218925635178e9
2079,9.420442266437645e9
2080,9.41166092089142e9
2081,9.39811132186422e9
2082,9.384558681312237e9
2083,9.371002740494482e9
2084,9.357443244318628e9
2085,9.34387993852205e9
2086,9.326200957418375e9
2087,9.30851990765897e9
2088,9.290836570460678e9
2089,9.273150728055065e9
2090,9.255462163272326e9
2091,9.23431488125869e9
2092,9.213166849519258e9
2093,9.192017890529861e9
2094,9.17086782731846e9
2095,9.14971648208758e9
2096,9.125329248026588e9
2097,9.100943000815405e9
2098,9.076557614345951e9
2099,9.052172961857185e9
2100,9.027788914764547e9
