time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81514541125165
1962,320.7268708230524
1963,321.66931542857463
1964,322.63574330214817
1965,323.6383590945474
1966,324.6770631851156
1967,325.75353099917083
1968,326.8437419628018
1969,327.9679426725794
1970,329.1479447395398
1971,330.3579854540714
1972,331.6218025102953
1973,332.9624946219344
1974,334.3938328923425
1975,335.8466978381621
1976,337.3075362058456
1977,338.863734712974
1978,340.5004715398959
1979,342.23007289402835
1980,344.1009282497748
1981,346.06633647329807
1982,348.15413473604275
1983,350.308541327085
1984,352.639265434503
1985,355.2205106419366
1986,358.02138212261997
1987,361.04178077943993
1988,364.31004995228466
1989,367.87773644776377
1990,371.40412596317157
1991,374.9146438217958
1992,378.3145211136262
1993,381.6754860961291
1994,384.9374137650543
1995,388.29035997523647
1996,391.61831664972937
1997,394.90629900687185
1998,398.19090477012213
1999,401.5265802625167
2000,404.78240122012676
2001,408.1578648230514
2002,411.57199919004387
2003,414.99894540520773
2004,418.37095993031613
2005,421.6589643879754
2006,424.9920576315407
2007,428.16260733603497
2008,431.07655284901693
2009,434.3646275309564
2010,437.213249471879
2011,440.01818579879335
2012,442.87350229949914
2013,445.68195028832866
2014,448.388404643219
2015,451.05332553737867
2016,453.62586517652085
2017,456.1967070802619
2018,458.74802547989634
2019,461.28217111598894
2020,463.81298461609293
2021,466.3289658107944
2022,468.83286635163165
2023,471.3289008887984
2024,473.81914227239446
2025,476.31065542573054
2026,478.79887147243716
2027,481.28615696161256
2028,483.7739950845059
2029,486.2636422582741
2030,488.76135124675153
2031,491.2645926963281
2032,493.77442031107245
2033,496.29156360053486
2034,498.81687892813494
2035,501.3514812386987
2036,503.8950911190842
2037,506.44839340263627
2038,509.0119313386403
2039,511.58598426648746
2040,514.1647900102774
2041,516.7473002086517
2042,519.3326351707519
2043,521.9202358047511
2044,524.5095758891897
2045,527.1026968511042
2046,529.6961067673521
2047,532.2895795787103
2048,534.8825336639135
2049,537.474722419993
2050,540.0260114798091
2051,542.5370986345472
2052,545.0091319423221
2053,547.4430729215675
2054,549.8393561014167
2055,552.1958703357988
2056,554.5162778298418
2057,556.8011000361751
2058,559.0507222556253
2059,561.2656525789707
2060,563.4195950471022
2061,565.5167410417982
2062,567.5584857945738
2063,569.5459922146092
2064,571.480193477561
2065,573.362146783861
2066,575.1927534113019
2067,576.9537193576506
2068,578.6493296370002
2069,580.2831868062951
2070,581.8465224470978
2071,583.342251258187
2072,584.7725321958858
2073,586.1392350458917
2074,587.4443648333045
2075,588.6897233008862
2076,589.8773038079453
2077,591.0089305145766
2078,592.086288950986
2079,593.1109666956529
2080,594.073143818645
2081,594.9751740840345
2082,595.8186094876604
2083,596.6049412697647
2084,597.3355814052414
2085,598.0120299038493
2086,598.635635913498
2087,599.2077454678227
2088,599.729639614587
2089,600.2025114414022
2090,600.6562221503353
2091,601.089673316768
2092,601.5016027159002
2093,601.8912633707079
2094,602.2581572824269
2095,602.6020437915366
2096,602.9226515229899
2097,603.2199376774026
2098,603.4937856206454
2099,603.7441370149711
2100,604.0023792043544
