time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348149145256e9
1991,5.376405258108321e9
1992,5.45998678756429e9
1993,5.541554397725996e9
1994,5.621920670037322e9
1995,5.701707212322953e9
1996,5.781013892808749e9
1997,5.8597064442048435e9
1998,5.937917943814687e9
1999,6.015765962295751e9
2000,6.093371762778117e9
2001,6.170816022971556e9
2002,6.248235261256601e9
2003,6.325872631644692e9
2004,6.404015052013916e9
2005,6.482866819197316e9
2006,6.562517834744566e9
2007,6.642934246035952e9
2008,6.72403896759475e9
2009,6.805691670193629e9
2010,6.88775627117612e9
2011,6.970168687016148e9
2012,7.0528783088142185e9
2013,7.135731751330303e9
2014,7.218555374204852e9
2015,7.30228494108032e9
2016,7.378719347213518e9
2017,7.455169241805094e9
2018,7.53160612318589e9
2019,7.608031841817987e9
2020,7.684445726466797e9
2021,7.754550898231944e9
2022,7.82464668787503e9
2023,7.894732830424753e9
2024,7.964809170670956e9
2025,8.03487557914976e9
2026,8.0970477879844675e9
2027,8.159212043517349e9
2028,8.221368084291598e9
2029,8.283515743363687e9
2030,8.345654909469503e9
2031,8.400404154816108e9
2032,8.455146555391695e9
2033,8.509881874184682e9
2034,8.564609985329246e9
2035,8.619330742741556e9
2036,8.666902431051647e9
2037,8.714468705063993e9
2038,8.762029302463205e9
2039,8.809583985193014e9
2040,8.857132627504562e9
2041,8.897457331993122e9
2042,8.93777784490954e9
2043,8.978093911754255e9
2044,9.018405335035387e9
2045,9.05871194861131e9
2046,9.091169562290903e9
2047,9.123624026984993e9
2048,9.156075090846693e9
2049,9.188522566213243e9
2050,9.220966287733736e9
2051,9.245055786993317e9
2052,9.269143035642693e9
2053,9.29322781699721e9
2054,9.317309946484524e9
2055,9.34138927711807e9
2056,9.35736563856105e9
2057,9.373340558311014e9
2058,9.389313834342932e9
2059,9.405285311870968e9
2060,9.421254854460896e9
2061,9.42995421248514e9
2062,9.43865289047372e9
2063,9.447350723256998e9
2064,9.456047574318373e9
2065,9.464743335317465e9
2066,9.467061356207886e9
2067,9.46937939527246e9
2068,9.471697324640812e9
2069,9.47401503556705e9
2070,9.47633243712567e9
2071,9.472947555323006e9
2072,9.469563336279081e9
2073,9.466179682282927e9
2074,9.462796512892782e9
2075,9.459413760719742e9
2076,9.450738458231218e9
2077,9.442064401127522e9
2078,9.433391521872253e9
2079,9.424719762558062e9
2080,9.41604907474244e9
2081,9.402577822529922e9
2082,9.389108320020924e9
2083,9.375640520352976e9
2084,9.362174385785133e9
2085,9.348709884501245e9
2086,9.331090936313093e9
2087,9.313474169655256e9
2088,9.295859553944847e9
2089,9.27824706420826e9
2090,9.260636681234655e9
2091,9.239518598598705e9
2092,9.218403099781116e9
2093,9.197290166476908e9
2094,9.17617978511061e9
2095,9.155071946297003e9
2096,9.130669225333267e9
2097,9.106269461267874e9
2098,9.08187264724279e9
2099,9.057478779062717e9
2100,9.033087855028595e9
