time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81514541125165
1962,320.7268708230524
1963,321.66931542857463
1964,322.63574330214817
1965,323.6383590945474
1966,324.6770631851156
1967,325.75353099917083
1968,326.8437419628018
1969,327.9679426725794
1970,329.1479447395398
1971,330.3579854540714
1972,331.6218025102953
1973,332.9624946219344
1974,334.3938328923425
1975,335.8466978381621
1976,337.3075362058456
1977,338.863734712974
1978,340.5004715398959
1979,342.23007289402835
1980,344.1009282497748
1981,346.06633647329807
1982,348.15413473604275
1983,350.308541327085
1984,352.639265434503
1985,355.2205106419366
1986,358.02138212261997
1987,361.04178077943993
1988,364.31004995228466
1989,367.87773644776377
1990,371.40524497538246
1991,374.9180495883656
1992,378.3212379811611
1993,381.6866757306082
1994,384.9541303622273
1995,388.31408213952875
1996,391.6502746980345
1997,394.94764992096265
1998,398.2427499092585
1999,401.5904972671436
2000,404.8592218445081
2001,408.2493213993021
2002,411.6795007506936
2003,415.1241878691809
2004,418.51532754465086
2005,421.8231352274815
2006,425.17803020852256
2007,428.37022788395694
2008,431.3061064965676
2009,434.61825399394183
2010,437.4905353216596
2011,440.31644246508995
2012,443.1950922897607
2013,446.02765648693367
2014,448.75771705863946
2015,451.4464989594795
2016,454.0438416462509
2017,456.63989715788534
2018,459.2169172688793
2019,461.77703782588395
2020,464.3339843500681
2021,466.87580775319043
2022,469.4052863594306
2023,471.9265277117462
2024,474.4416071021415
2025,476.95770680536515
2026,479.47000872216125
2027,481.98081433596906
2028,484.4915767665214
2029,487.00349451675356
2030,489.522772363982
2031,492.0465796853289
2032,494.5759298187097
2033,497.111495111986
2034,499.6540808831916
2035,502.20489611593433
2036,504.763440206703
2037,507.3303471706463
2038,509.9061060379638
2039,512.4909387538926
2040,515.0789690505273
2041,517.6689611126611
2042,520.2599739414652
2043,522.8513746387114
2044,525.4425647273838
2045,528.0356652302127
2046,530.6269410167215
2047,533.2161118440893
2048,535.8025429257407
2049,538.3859302062078
2050,540.9263488131282
2051,543.42423619578
2052,545.8807268086524
2053,548.296765435724
2054,550.6727727832802
2055,553.006926681209
2056,555.3025599651126
2057,557.5601964589732
2058,559.7802282174847
2059,561.9631657078637
2060,564.0830586597733
2061,566.1438881040089
2062,568.1471018032321
2063,570.0939056744833
2064,571.9852781309628
2065,573.8224865547497
2066,575.6062932155419
2067,577.3187104643619
2068,578.9640726373849
2069,580.5460278543788
2070,582.0574247704711
2071,583.5010756039436
2072,584.8791773714831
2073,586.1936212171894
2074,587.4465088168034
2075,588.6398358382397
2076,589.7756057337588
2077,590.855745930433
2078,591.8820288915161
2079,592.8561236347612
2080,593.7692762187055
2081,594.6237190013699
2082,595.4210567821855
2083,596.1628246459486
2084,596.8504594728072
2085,597.4856485111932
2086,598.0697596378865
2087,598.6042549546721
2088,599.0904973828023
2089,599.5297553332441
2090,599.9516514306538
2091,600.3550440624172
2092,600.7387246979504
2093,601.1019893446851
2094,601.4443809660897
2095,601.7657672333079
2096,602.0658425277571
2097,602.344622385497
2098,602.60209064179
2099,602.8381816069217
2100,603.0825265475764
