time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348149145256e9
1991,5.376405486457934e9
1992,5.459987454139887e9
1993,5.541555607453483e9
1994,5.6219223611292e9
1995,5.701709217786903e9
1996,5.781015998944735e9
1997,5.859708442653347e9
1998,5.937919625034791e9
1999,6.015767060692033e9
2000,6.093371958762296e9
2001,6.170814908498556e9
2002,6.248232470174563e9
2003,6.325867767628425e9
2004,6.404007746193654e9
2005,6.482856625642273e9
2006,6.562504379751101e9
2007,6.642917139626939e9
2008,6.724017798325278e9
2009,6.805666042021858e9
2010,6.887725728186362e9
2011,6.970132401751498e9
2012,7.052835697010491e9
2013,7.135681764641765e9
2014,7.218497480707853e9
2015,7.302217372708755e9
2016,7.378640051457002e9
2017,7.455079286661918e9
2018,7.531503161528486e9
2019,7.607913714573707e9
2020,7.684310118233048e9
2021,7.7543955367948e9
2022,7.824469249760606e9
2023,7.894530879921641e9
2024,7.964580168329332e9
2025,8.034616869891003e9
2026,8.096757427392565e9
2027,8.158887399001741e9
2028,8.221006429534959e9
2029,8.283114247207266e9
2030,8.345210641495287e9
2031,8.399915045346673e9
2032,8.454609686500094e9
2033,8.509294199999351e9
2034,8.5639683466820345e9
2035,8.618631849836145e9
2036,8.666144002846624e9
2037,8.713647463676012e9
2038,8.76114182187967e9
2039,8.808626738694487e9
2040,8.85610193619576e9
2041,8.896351793924917e9
2042,8.936593754352087e9
2043,8.976827446946459e9
2044,9.01705251048796e9
2045,9.05726861452548e9
2046,9.089637389959408e9
2047,9.121999032505045e9
2048,9.154353105400177e9
2049,9.186699248634459e9
2050,9.219037113838694e9
2051,9.243026679308252e9
2052,9.267009754234274e9
2053,9.290985927215302e9
2054,9.314954813667059e9
2055,9.338916068725426e9
2056,9.35478470777182e9
2057,9.370647463804344e9
2058,9.386503917809008e9
2059,9.40235370967141e9
2060,9.418196485351023e9
2061,9.42678482150587e9
2062,9.435367901516066e9
2063,9.443945337402168e9
2064,9.452516765868261e9
2065,9.461081855374899e9
2066,9.463289425286343e9
2067,9.465492367324684e9
2068,9.46769032633789e9
2069,9.469882959705427e9
2070,9.47206993781037e9
2071,9.468578994841854e9
2072,9.465084072760843e9
2073,9.461584837052174e9
2074,9.458080964093714e9
2075,9.454572159931204e9
2076,9.445798225823809e9
2077,9.437020999530926e9
2078,9.42824020174639e9
2079,9.419455553410336e9
2080,9.410666780135847e9
2081,9.397109833591658e9
2082,9.383550394981113e9
2083,9.369988205982956e9
2084,9.35642301805234e9
2085,9.342854573068027e9
2086,9.325169988553392e9
2087,9.307483846500692e9
2088,9.289795945788534e9
2089,9.272106080551792e9
2090,9.254414045791964e9
2091,9.233261815249317e9
2092,9.212109288646427e9
2093,9.190956287957615e9
2094,9.169802637681255e9
2095,9.14864815651735e9
2096,9.124255481864422e9
2097,9.099864092969772e9
2098,9.075473885867695e9
2099,9.051084747716576e9
2100,9.026696556710075e9
