time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81514541125165
1962,320.7268708230524
1963,321.66931542857463
1964,322.63574330214817
1965,323.6383590945474
1966,324.6770631851156
1967,325.75353099917083
1968,326.8437419628018
1969,327.9679426725794
1970,329.1479447395398
1971,330.3579854540714
1972,331.6218025102953
1973,332.9624946219344
1974,334.3938328923425
1975,335.8466978381621
1976,337.3075362058456
1977,338.863734712974
1978,340.5004715398959
1979,342.23007289402835
1980,344.1009282497748
1981,346.06633647329807
1982,348.15413473604275
1983,350.308541327085
1984,352.639265434503
1985,355.2205106419366
1986,358.02138212261997
1987,361.04178077943993
1988,364.31004995228466
1989,367.87773644776377
1990,371.4041191348176
1991,374.9146262966811
1992,378.31448579827344
1993,381.67542224480616
1994,384.93729960475054
1995,388.2901676547535
1996,391.61800650286693
1997,394.9058309008243
1998,398.19022387862356
1999,401.52565664921116
2000,404.78119926745075
2001,408.15633208769196
2002,411.5700907711646
2003,414.9966485884279
2004,418.3682521581644
2005,421.65581966816984
2006,424.98847289893456
2007,428.15858434035357
2008,431.0721402922302
2009,434.35976717649265
2010,437.2080297536898
2011,440.01273653309914
2012,442.86786958738475
2013,445.676164561872
2014,448.38253140580673
2015,451.04742651234454
2016,453.6206801119571
2017,456.19300630941365
2018,458.7465501090413
2019,461.28367765414
2020,463.8182368452973
2021,466.3387390251684
2022,468.8479524887904
2023,471.3501308468572
2024,473.8473656185826
2025,476.3467833464757
2026,478.8438191133175
2027,481.3408850639673
2028,483.83948706546494
2029,486.34092142758675
2030,488.8514916134845
2031,491.3686689962599
2032,493.893536037182
2033,496.42685546276846
2034,498.96951250415475
2035,501.52267553064314
2036,504.08606856375525
2037,506.6604084538472
2038,509.2462683452929
2039,511.84396014391217
2040,514.4477433853266
2041,517.0565639493122
2042,519.6695695576772
2043,522.2862226287078
2044,524.9060192625747
2045,527.5310692416282
2046,530.1578490391181
2047,532.786158686924
2048,535.4154385292865
2049,538.0454638079653
2050,540.6356693900773
2051,543.186736504463
2052,545.699814505122
2053,548.1758529681346
2054,550.6152744524721
2055,553.015937988179
2056,555.3814935603879
2057,557.7124445240842
2058,560.0091592838914
2059,562.2721234026666
2060,564.4745995950866
2061,566.6207497294894
2062,568.7119275702886
2063,570.7492485913702
2064,572.7335976619648
2065,574.6660412949448
2066,576.5473649417045
2067,578.3588418900332
2068,580.1047318493275
2069,581.7886046674364
2070,583.4016715910769
2071,584.9467470990031
2072,586.4259410199776
2073,587.841069101946
2074,589.1940792625151
2075,590.4867440854304
2076,591.7209710549848
2077,592.8985433882322
2078,594.0210955728795
2079,595.0901640002434
2080,596.095407148216
2081,597.0390804073302
2082,597.9226507344166
2083,598.7475240467819
2084,599.5150299907318
2085,600.226616135878
2086,600.883512872928
2087,601.486994096551
2088,602.0382554619744
2089,602.5384109528158
2090,603.0185863845666
2091,603.4775249793133
2092,603.91383040753
2093,604.3266440184394
2094,604.7153774850472
2095,605.0797727577117
2096,605.4193971521927
2097,605.7341096876589
2098,606.0237633168056
2099,606.2881734851302
2100,606.5601741612873
