time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290364710259466e9
1991,5.376435078708394e9
1992,5.460028067198694e9
1993,5.541606246199017e9
1994,5.621981971021716e9
1995,5.701778464757862e9
1996,5.781095232515095e9
1997,5.8597929585276375e9
1998,5.938001658515016e9
1999,6.015840490073801e9
2000,6.093434750562593e9
2001,6.170860342227454e9
2002,6.248251147334168e9
2003,6.325850365634134e9
2004,6.403941987942028e9
2005,6.482730177674203e9
2006,6.562300629965676e9
2007,6.6426193684267e9
2008,6.723608388700876e9
2009,6.805126154744502e9
2010,6.887039828375466e9
2011,6.969291214166186e9
2012,7.051821145295275e9
2013,7.1344796664392e9
2014,7.217089298915187e9
2015,7.300569339389039e9
2016,7.376748688681862e9
2017,7.452892795161687e9
2018,7.529001176479145e9
2019,7.605073334198983e9
2020,7.681108762391271e9
2021,7.7508081976446e9
2022,7.8204699207880745e9
2023,7.890093326705596e9
2024,7.95967779765053e9
2025,8.029222704948869e9
2026,8.090842311979057e9
2027,8.152421549936273e9
2028,8.213959776401875e9
2029,8.275456330815185e9
2030,8.336910545050515e9
2031,8.390940370136766e9
2032,8.444926983835173e9
2033,8.498869626758597e9
2034,8.552767530577503e9
2035,8.606619916626776e9
2036,8.6532881378445e9
2037,8.699910225073854e9
2038,8.746485359892303e9
2039,8.793012693931181e9
2040,8.839491405008537e9
2041,8.878713987587309e9
2042,8.917887944072977e9
2043,8.9570124543339e9
2044,8.996086711314764e9
2045,9.035109893130894e9
2046,9.066259597029957e9
2047,9.097358945791285e9
2048,9.128407134797695e9
2049,9.159403354963509e9
2050,9.190346793976822e9
2051,9.21292264386049e9
2052,9.235447288598476e9
2053,9.2579200130234e9
2054,9.28034009952357e9
2055,9.302706828480087e9
2056,9.316969731605003e9
2057,9.331181616299587e9
2058,9.345341818053038e9
2059,9.35944967276838e9
2060,9.373504516140015e9
2061,9.380303609830177e9
2062,9.387052875500097e9
2063,9.393751743885946e9
2064,9.400399648295109e9
2065,9.406996024459938e9
2066,9.407245708274052e9
2067,9.407447822599125e9
2068,9.40760189321155e9
2069,9.40770744716823e9
2070,9.407764012575968e9
2071,9.402167391661842e9
2072,9.396526442341412e9
2073,9.390840806950188e9
2074,9.385110131635992e9
2075,9.37933406568078e9
2076,9.368332778327114e9
2077,9.357291365160057e9
2078,9.346209586478657e9
2079,9.335087207266489e9
2080,9.323923996779606e9
2081,9.308047606415163e9
2082,9.29213613334751e9
2083,9.276189414189186e9
2084,9.260207285160305e9
2085,9.244189583382908e9
2086,9.22412433228136e9
2087,9.204029609776821e9
2088,9.18390536061411e9
2089,9.163751531858114e9
2090,9.143568071410118e9
2091,9.120002533796232e9
2092,9.096413809203716e9
2093,9.072801983694218e9
2094,9.04916713924534e9
2095,9.025509353584368e9
2096,8.998704994096865e9
2097,8.971884640448708e9
2098,8.945048465330833e9
2099,8.9181966386378e9
2100,8.891329326889278e9
