time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576997,2086.5347221856077
1952,5566.657462979298,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673677,2217.199632370928
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.500096983938
1957,6737.702456828189,2358.298737959116
1958,7001.2354526428535,2406.768550467239
1959,7275.533245688331,2455.9329712198637
1960,7561.059029453982,2505.8336342396133
1961,7847.412957025106,2552.930979296932
1962,8228.177858845815,2627.0483728388826
1963,8683.18680534571,2720.0112823317395
1964,9126.033746520747,2803.7347309249253
1965,9711.788056373183,2925.0831787592074
1966,10229.365596441225,3019.2088791893025
1967,10832.429801972376,3132.120833717311
1968,11351.920369101485,3215.062116819406
1969,12068.90873333628,3348.3409580026064
1970,12808.86554879802,3481.9122904081373
1971,13188.97918416804,3513.806059978605
1972,13749.21129749937,3590.9932786646173
1973,14545.55954691358,3725.4754787799206
1974,15482.723149061652,3890.372421258314
1975,15727.407572811097,3878.710139623618
1976,15869.305468233895,3843.070360087026
1977,16671.8540411,3966.1975700157886
1978,17335.390577108596,4052.4086440972255
1979,18046.242595671672,4145.684122731626
1980,18795.332176223037,4243.006135498816
1981,19113.69900055924,4240.07375434532
1982,19531.609405816034,4257.6897124561565
1983,19702.861606000355,4220.249665015398
1984,20269.018476567733,4265.193128163044
1985,21194.577702113434,4380.6439598158795
1986,22016.854537989784,4468.571238996346
1987,22777.34285526767,4538.953610569773
1988,23658.60661316742,4629.591070612565
1989,24801.47207076178,4768.125573337678
1990,25780.57003742895,4873.1330508479805
1991,26590.499125439033,4945.776710906898
1992,27082.426953201553,4960.163677046449
1993,27586.97086761976,4978.201145709642
1994,27967.359978358465,4974.698785066222
1995,28805.4536845416,5052.075632375921
1996,29700.528140406688,5137.598981396826
1997,30711.09845370343,5241.064940994362
1998,31785.101164238,5352.904105999547
1999,32464.121085537477,5396.507454204957
2000,33513.89995674516,5500.059187570553
2001,34947.4699716061,5663.347599815743
2002,35577.76962709941,5694.051997047484
2003,36331.960143415825,5743.392220372013
2004,37281.09827916518,5821.520742422212
2005,38736.90811191139,5975.27577019551
2006,40049.57144666454,6102.776715807417
2007,41539.77093791783,6253.227824107186
2008,43011.53622602779,6396.683228983922
2009,43529.06340092023,6395.981050170725
2010,42471.76693093705,6166.27197858583
2011,44115.01978828234,6329.119687388969
2012,45165.548531290224,6403.848030058966
2013,46086.35393096878,6458.534042275522
2014,47109.64557116856,6526.189214369864
2015,48467.24668412531,6637.2731241570855
2016,49934.41567179368,6759.590981445911
2017,51430.697244127674,6883.013863313664
2018,52900.68448402341,7000.198412979639
2019,54380.29771620481,7116.052038157802
2020,55856.812675519395,7228.973072634182
2021,57196.62850466785,7320.229888920294
2022,58536.70322710058,7409.530819097778
2023,59880.24605329713,7497.341979385988
2024,61225.18965036933,7583.455947462377
2025,62573.14683695579,7668.125025893262
2026,63762.83478587891,7733.48580243256
2027,64954.964655731834,7797.822905215739
2028,66148.91876080519,7861.094355945812
2029,67345.16124274157,7923.387079683812
2030,68543.36183908899,7984.692059883472
2031,69540.39842590317,8025.220814539441
2032,70539.01711527121,8065.196043281887
2033,71539.2588598508,8104.6379227322295
2034,72541.07086457459,8143.555322362028
2035,73544.40064561628,8181.956875679596
2036,74441.81047387117,8211.390493983849
2037,75340.51311830568,8240.483950872072
2038,76240.38701676413,8269.232862350089
2039,77141.37393692782,8297.63979312704
2040,78043.50197468633,8325.716394062627
2041,78838.01546472857,8343.95153602647
2042,79633.31431609286,8361.996902882052
2043,80429.42723799977,8379.860075893925
2044,81226.24627513341,8397.534318719363
2045,82023.7812110409,8415.025139744672
2046,82685.57437084476,8419.788822398536
2047,83347.64559143066,8424.522916335392
2048,84009.94960405555,8429.223654731895
2049,84672.4289543207,8433.886181487173
2050,85335.01372509406,8438.50453940419
2051,85936.64613981453,8438.719296205052
2052,86538.0845028686,8438.923060848758
2053,87139.2611179166,8439.10965164291
2054,87740.19688365808,8439.281510305753
2055,88340.77407379622,8439.427810036814
2056,88944.8007552496,8442.325616556163
2057,89548.22256027663,8445.138112539658
2058,90150.93937451285,8447.857721772205
2059,90752.91782835193,8450.483238690342
2060,91354.13063474132,8453.014015543757
2061,91971.02270891418,8459.330415426362
2062,92586.79891487389,8465.476902603843
2063,93201.32441536157,8471.444413384823
