time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81515194677564
1962,320.72687742739697
1963,321.66932408062524
1964,322.6357522136212
1965,323.6383681148565
1966,324.6770731768905
1967,325.75354517304976
1968,326.8437589899828
1969,327.9679616514391
1970,329.14796235614034
1971,330.35800220958015
1972,331.62182052291865
1973,332.9625141957816
1974,334.3938552010917
1975,335.8467199660469
1976,337.30755530512334
1977,338.86375430323466
1978,340.5004925473051
1979,342.2300985288073
1980,344.10096888420253
1981,346.0663770859616
1982,348.1541754886231
1983,350.3085842079043
1984,352.63931837096203
1985,355.2205671922186
1986,358.02144508399863
1987,361.0418543032291
1988,364.31011763589277
1989,367.87781727392445
1990,371.40419721263237
1991,374.91470998301935
1992,378.3145951538516
1993,381.675560950113
1994,384.93749523389107
1995,388.29044805936667
1996,391.61840144322684
1997,394.90639151422175
1998,398.1909849788368
1999,401.52667701495733
2000,404.78251248665424
2001,408.15797281124077
2002,411.5720984814577
2003,414.99905389584484
2004,418.3710692524684
2005,421.65907805167944
2006,424.9921643153552
2007,428.16270737680253
2008,431.0766327846288
2009,434.36468870825666
2010,437.21330814341474
2011,440.0182162904417
2012,442.8776212765057
2013,445.6982815444835
2014,448.4283251512751
2015,451.2832295946061
2016,454.1858348229004
2017,457.23232494503856
2018,460.40115454807756
2019,463.69455368462786
2020,467.09909419516185
2021,470.5915834039882
2022,474.17002089880583
2023,477.8356515427708
2024,481.58704102318524
2025,485.4384304814856
2026,489.3723924770142
2027,493.38959202594083
2028,497.4887662365655
2029,501.67012246787135
2030,505.89222803624654
2031,510.1429915699116
2032,514.4247143490778
2033,518.7383241830876
2034,523.0851370313616
2035,527.474335243623
2036,531.897707009843
2037,536.3559741162702
2038,540.849891978292
2039,545.3792938379523
2040,549.9257324169271
2041,554.4798727539232
2042,559.0433157225832
2043,563.617483711493
2044,568.2027148654212
2045,572.8136555979675
2046,577.4361187054111
2047,582.071192208689
2048,586.7194843736777
2049,591.3816930102845
2050,596.0947580467206
2051,600.8478592858112
2052,605.6406869696931
2053,610.4726481672076
2054,615.343525666623
2055,620.2534604596736
2056,625.2010074145672
2057,630.1862403541033
2058,635.2090725533758
2059,640.2692344927491
2060,645.3664980155849
2061,650.4986528467986
2062,655.6658125013985
2063,660.8679355281814
2064,666.1049446252886
2065,671.384686381047
2066,676.6980342596651
2067,682.0442669707458
2068,687.4233828153808
2069,692.8353622565743
2070,698.2944781107414
2071,703.7898364145568
2072,709.3204661242411
2073,714.8862202088426
2074,720.4867044689695
2075,726.125006874698
2076,731.7973113662698
2077,737.5033528746137
2078,743.2419011932634
2079,749.0127611618084
2080,754.7968933323796
2081,760.5883381466977
2082,766.3876766978133
2083,772.1944930367779
2084,778.0089395122504
2085,783.8330943349486
2086,789.6645993062281
2087,795.503387909522
2088,801.3489415762391
2089,807.2001130421427
2090,813.0459353478713
2091,818.8866117272854
2092,824.7224344948828
2093,830.5531881714292
2094,836.376996456233
2095,842.1926233817342
2096,847.9964881074918
2097,853.7879011269243
2098,859.5653813141162
2099,865.3281390374785
2100,871.073746545632
