time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81515194677564
1962,320.72687742739697
1963,321.66932408062524
1964,322.6357522136212
1965,323.6383681148565
1966,324.6770731768905
1967,325.75354517304976
1968,326.8437589899828
1969,327.9679616514391
1970,329.14796235614034
1971,330.35800220958015
1972,331.62182052291865
1973,332.9625141957816
1974,334.3938552010917
1975,335.8467199660469
1976,337.30755530512334
1977,338.86375430323466
1978,340.5004925473051
1979,342.2300985288073
1980,344.10096888420253
1981,346.0663770859616
1982,348.1541754886231
1983,350.3085842079043
1984,352.63931837096203
1985,355.2205671922186
1986,358.02144508399863
1987,361.0418543032291
1988,364.31011763589277
1989,367.87781727392445
1990,371.404197128294
1991,374.9147094664576
1992,378.31459268483025
1993,381.67555384249505
1994,384.93748131213283
1995,388.29042603954326
1996,391.6183716599424
1997,394.9063558562364
1998,398.19094296864927
1999,401.52662845772284
2000,404.782457426723
2001,408.15791000118156
2002,411.5720267995721
2003,414.99897218833826
2004,418.370976821309
2005,421.65897440126935
2006,424.99204845270316
2007,428.1625780040507
2008,431.0764902592012
2009,434.3645321505826
2010,437.21313675866963
2011,440.01802944411344
2012,442.8774165640697
2013,445.6980582436166
2014,448.4280831963509
2015,451.2829677263916
2016,454.1854673315582
2017,457.2318721633116
2018,460.4005980126871
2019,463.6938940230099
2020,467.0983219780963
2021,470.5906969980437
2022,474.1690130731254
2023,477.83452014587243
2024,481.5857803182926
2025,485.4370378700432
2026,489.3708637201106
2027,493.38792498321055
2028,497.4869569446193
2029,501.6681687548331
2030,505.89012863398824
2031,510.1407467220487
2032,514.4223245539224
2033,518.735789400635
2034,523.0824579055686
2035,527.471512984503
2036,531.8947434510827
2037,536.3528712313831
2038,540.846652587148
2039,545.3759200293333
2040,549.9222272369411
2041,554.4762398575226
2042,559.0395586898211
2043,563.6136071320279
2044,568.1987225847558
2045,572.8095518775633
2046,577.4319082281287
2047,582.0668805487453
2048,586.7150769824278
2049,591.3771963018336
2050,596.0901780214969
2051,600.8432026685931
2052,605.6359617585135
2053,610.4678621804762
2054,615.3386877199432
2055,620.2485786884495
2056,625.1960905463848
2057,630.1812981113504
2058,635.2041155862051
2059,640.2642732888892
2060,645.3615444404093
2061,650.4937177187048
2062,655.660907667246
2063,660.863073722982
2064,666.1001394046502
2065,671.3799511104627
2066,676.6933826227548
2067,682.0397122825649
2068,687.418939135189
2069,692.8310443084487
2070,698.2902993847486
2071,703.7858100375591
2072,709.3166049116659
2073,714.8825371908953
2074,720.4832126673906
2075,726.12171926071
2076,731.7942393831613
2077,737.5005074296233
2078,743.2392923428478
2079,749.0103980155623
2080,754.7947808273223
2081,760.5864788235824
2082,766.3860703506707
2083,772.1931375873297
2084,778.00783002187
2085,783.8322247829472
2086,789.6639619604001
2087,795.5029709122826
2088,801.3487320012038
2089,807.2000943987504
2090,813.0460901433989
2091,818.8869160812957
2092,824.7228646146706
2093,830.5537173807867
2094,836.377600162303
2095,842.1932079139359
2096,847.9969511185826
2097,853.7881159650309
2098,859.5651697308264
2099,865.3272888671966
2100,871.0719895573494
