time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81515194677564
1962,320.72687742739697
1963,321.66932408062524
1964,322.6357522136212
1965,323.6383681148565
1966,324.6770731768905
1967,325.75354517304976
1968,326.8437589899828
1969,327.9679616514391
1970,329.14796235614034
1971,330.35800220958015
1972,331.62182052291865
1973,332.9625141957816
1974,334.3938552010917
1975,335.8467199660469
1976,337.30755530512334
1977,338.86375430323466
1978,340.5004925473051
1979,342.2300985288073
1980,344.10096888420253
1981,346.0663770859616
1982,348.1541754886231
1983,350.3085842079043
1984,352.63931837096203
1985,355.2205671922186
1986,358.02144508399863
1987,361.0418543032291
1988,364.31011763589277
1989,367.87781727392445
1990,371.40375861156883
1991,374.9134099266579
1992,378.31203248688615
1993,381.67134040892677
1994,384.93121386318467
1995,388.28164210936836
1996,391.6066654699431
1997,394.8913144750859
1998,398.1721179036821
1999,401.50353126660326
2000,404.75471284660597
2001,408.12490680602195
2002,411.5331495046937
2003,414.9536239060593
2004,418.3186617810907
2005,421.5991750262754
2006,424.924180773624
2007,428.08640313382
2008,430.99182367933474
2009,434.27008758095644
2010,437.1091567063467
2011,439.90435889200535
2012,442.75326856763496
2013,445.56316855230796
2014,448.2822810753174
2015,451.1255213487061
2016,454.01545804500597
2017,457.04856135083634
2018,460.20315958411084
2019,463.48153699445135
2020,466.87025609049664
2021,470.3462430906732
2022,473.9074485352735
2023,477.55515327013046
2024,481.2878877552822
2025,485.1198208902682
2026,489.03360821806797
2027,493.0299314982586
2028,497.10751118953567
2029,501.26656800674255
2030,505.4657906751967
2031,509.69322440709306
2032,513.9511662047918
2033,518.2405496407961
2034,522.5626965926394
2035,526.9267338754227
2036,531.3245305613357
2037,535.7568219905139
2038,540.2243777218545
2039,544.7270450068555
2040,549.2464880789206
2041,553.7734623919382
2042,558.3095863696311
2043,562.8563031672417
2044,567.4139717766362
2045,571.9971705456102
2046,576.5918410997094
2047,581.1991013338165
2048,585.81959223429
2049,590.4540467692843
2050,595.1393296429967
2051,599.8647385347709
2052,604.6300053354236
2053,609.434581845931
2054,614.2782981278986
2055,619.1613086818736
2056,624.0822566677285
2057,629.0412731730149
2058,634.0383320989921
2059,639.0732294857542
2060,644.1458229521279
2061,649.2540069469268
2062,654.3979777524781
2063,659.5777818803357
2064,664.7934362978667
2065,670.0528406364509
2066,675.3470252778748
2067,680.6753778103265
2068,686.0380195569006
2069,691.4350622791435
2070,696.8809291898821
2071,702.364924891521
2072,707.8862331528354
2073,713.4448807921434
2074,719.0406581261498
2075,724.6768275696176
2076,730.3498119878525
2077,736.0595723926082
2078,741.8051123622976
2079,747.5864971086282
2080,753.3848771550028
2081,759.1945881623327
2082,765.016506769
2083,770.8505219226962
2084,776.6971206211408
2085,782.5587178238869
2086,788.433345492947
2087,794.3213405577147
2088,800.2226009691631
2089,806.1364047220746
2090,812.0522309924313
2091,817.9707818223445
2092,823.8928615378054
2093,829.8187856955415
2094,835.7471512632685
2095,841.6774205064636
2096,847.606613833203
2097,853.5346964391972
2098,859.460899271005
2099,865.3851629061478
2100,871.3058013961183
