time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348071440989e9
1991,5.376404999528575e9
1992,5.459986248400808e9
1993,5.541553494748444e9
1994,5.621919356508119e9
1995,5.701705441522183e9
1996,5.781011607322738e9
1997,5.859703608778816e9
1998,5.937914532114125e9
1999,6.015761944066245e9
2000,6.093367104430661e9
2001,6.170810702920543e9
2002,6.248229258329364e9
2003,6.325865944116648e9
2004,6.404007685914105e9
2005,6.48285879862212e9
2006,6.56250918670907e9
2007,6.642924996242439e9
2008,6.724029148014085e9
2009,6.805681319493855e9
2010,6.887745403586518e9
2011,6.970157344206253e9
2012,7.052866534160046e9
2013,7.135719584998854e9
2014,7.2185428379884405e9
2015,7.302272121953994e9
2016,7.3871837034181385e9
2017,7.472107409508596e9
2018,7.557014844035444e9
2019,7.641907851275225e9
2020,7.72678580282434e9
2021,7.813489658661626e9
2022,7.900178185505072e9
2023,7.986851277036818e9
2024,8.073508769573071e9
2025,8.160150569311482e9
2026,8.245019732676815e9
2027,8.329872893840547e9
2028,8.414709958507891e9
2029,8.499530880416974e9
2030,8.584335565167584e9
2031,8.665221490898695e9
2032,8.746090990919968e9
2033,8.82694396250067e9
2034,8.90778035426042e9
2035,8.988600055989923e9
2036,9.065669843941763e9
2037,9.142723473517866e9
2038,9.219760820158989e9
2039,9.296781766550482e9
2040,9.373786236627565e9
2041,9.448522287307497e9
2042,9.523242576556086e9
2043,9.59794703296219e9
2044,9.672635533392094e9
2045,9.74730800054004e9
2046,9.820395291741907e9
2047,9.893467856658037e9
2048,9.966525581889969e9
2049,1.0039568337923956e10
2050,1.0112596005716341e10
2051,1.0183636140888262e10
2052,1.025466322731019e10
2053,1.0325677096121494e10
2054,1.0396677660311398e10
2055,1.0467664783072502e10
2056,1.0535623445594423e10
2057,1.0603571193622272e10
2058,1.0671507827912962e10
2059,1.0739433193972473e10
2060,1.0807347180602661e10
2061,1.0872207385527744e10
2062,1.093705876587209e10
2063,1.1001901108947973e10
2064,1.1066734227301405e10
2065,1.1131557981474821e10
2066,1.1194329695278343e10
2067,1.1257094332056683e10
2068,1.1319851687033422e10
2069,1.138260155397599e10
2070,1.1445343740523596e10
2071,1.1507148975345228e10
2072,1.1568948586981298e10
2073,1.163074236160946e10
2074,1.1692530085844551e10
2075,1.175431156380717e10
2076,1.1815776697994171e10
2077,1.1877237487657072e10
2078,1.193869370913091e10
2079,1.2000145176795181e10
2080,1.206159169963788e10
2081,1.2122752107869234e10
2082,1.2183909410456545e10
2083,1.2245063397550142e10
2084,1.2306213892238771e10
2085,1.2367360713181036e10
2086,1.2427786493690308e10
2087,1.2488210367921333e10
2088,1.2548632154690409e10
2089,1.2609051675881968e10
2090,1.2669468787425526e10
2091,1.2728545634423227e10
2092,1.2787621662018318e10
2093,1.284669670867066e10
2094,1.2905770613738695e10
2095,1.296484322789693e10
2096,1.302201948487412e10
2097,1.3079195774067749e10
2098,1.313637192986228e10
2099,1.3193547825927963e10
2100,1.3250723319621416e10
