time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81515194677564
1962,320.72687742739697
1963,321.66932408062524
1964,322.6357522136212
1965,323.6383681148565
1966,324.6770731768905
1967,325.75354517304976
1968,326.8437589899828
1969,327.9679616514391
1970,329.14796235614034
1971,330.35800220958015
1972,331.62182052291865
1973,332.9625141957816
1974,334.3938552010917
1975,335.8467199660469
1976,337.30755530512334
1977,338.86375430323466
1978,340.5004925473051
1979,342.2300985288073
1980,344.10096888420253
1981,346.0663770859616
1982,348.1541754886231
1983,350.3085842079043
1984,352.63931837096203
1985,355.2205671922186
1986,358.02144508399863
1987,361.0418543032291
1988,364.31011763589277
1989,367.87781727392445
1990,371.40419727944317
1991,374.91471040263315
1992,378.31459749136735
1993,381.67556814794506
1994,384.9375096281488
1995,388.29047100862084
1996,391.6184325582291
1997,394.90642873497944
1998,398.1910288000013
1999,401.52672759974854
2000,404.78256976674857
2001,408.1580381165534
2002,411.57217303548464
2003,414.9991387854122
2004,418.37116505335365
2005,421.6591851585411
2006,424.9922838213711
2007,428.16284078918324
2008,431.0767797355679
2009,434.3648505832
2010,437.2134864654226
2011,440.0184117602041
2012,442.877836518914
2013,445.69851747298327
2014,448.4285820441511
2015,451.28350920737
2016,454.18622580878747
2017,457.2328085093518
2018,460.4017465309931
2019,463.69525529853195
2020,467.0999130153233
2021,470.59252313870854
2022,474.1710878734495
2023,477.8368502189734
2024,481.5883772575466
2025,485.4399096914369
2026,489.3740203238602
2027,493.39137422450546
2028,497.49070986575134
2029,501.67223459768724
2030,505.89451494574723
2031,510.14545936044897
2032,514.427369646055
2033,518.7411758263339
2034,523.0881945068405
2035,527.4776094791117
2036,531.9012100237725
2037,536.3597201802115
2038,540.8538971034604
2039,545.3835778306502
2040,549.9303169329288
2041,554.4847821997874
2042,559.0485787698625
2043,563.6231327315713
2044,568.2087883309757
2045,572.8201983683256
2046,577.4431812343533
2047,582.0788317497083
2048,586.7277669756135
2049,591.3906934716842
2050,596.1045667610335
2051,600.8585781756065
2052,605.6524313094636
2053,610.485549848725
2054,615.3577339486969
2055,620.2691459563973
2056,625.2183628980682
2057,630.2054829842966
2058,635.2304467911367
2059,640.2930163073986
2060,645.3929967056844
2061,650.5282167670752
2062,655.698831204253
2063,660.9048442954673
2064,666.1462292588104
2065,671.4308953629774
2066,676.7497722346357
2067,682.1022072347719
2068,687.4882727352938
2069,692.9080305375151
2070,698.3758620801417
2071,703.8809614005819
2072,709.4224663106747
2073,715.0003480485694
2074,720.6143414958773
2075,726.2676823641925
2076,731.9567023264874
2077,737.6813029226852
2078,743.4404340258557
2079,749.2340962384687
2080,755.0434013106327
2081,760.8625855519297
2082,766.6924646383585
2083,772.532872594908
2084,778.3842314366524
2085,784.2489198001024
2086,790.124877974899
2087,796.0123729409784
2088,801.9112396359266
2089,807.8207103491776
2090,813.7301317352034
2091,819.6401311728156
2092,825.5514417872396
2093,831.4643158359881
2094,837.3773626533336
2095,843.2899679029154
2096,849.1990566039512
2097,855.1045339946179
2098,861.0055646229051
2099,866.902005912207
2100,872.7920932753378
