time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348071440989e9
1991,5.376405098677684e9
1992,5.459986548132408e9
1993,5.541554079511338e9
1994,5.621920278337956e9
1995,5.701706740095506e9
1996,5.781013319262385e9
1997,5.859705765827303e9
1998,5.937917163279906e9
1999,6.015765077925418e9
2000,6.093370782773325e9
2001,6.170814938709095e9
2002,6.248234060054731e9
2003,6.325871323098884e9
2004,6.404013646888932e9
2005,6.482865327547292e9
2006,6.562516263206119e9
2007,6.642932595497745e9
2008,6.7240372375332155e9
2009,6.805689864040983e9
2010,6.887754397094096e9
2011,6.970166780093698e9
2012,7.05287638371747e9
2013,7.135729816570558e9
2014,7.218553436127821e9
2015,7.302282998770768e9
2016,7.387194849413006e9
2017,7.472118795294591e9
2018,7.557026440882843e9
2019,7.641919626407635e9
2020,7.726797725472974e9
2021,7.813501678989413e9
2022,7.900190266188708e9
2023,7.986863377652851e9
2024,8.073520847430009e9
2025,8.160162578083217e9
2026,8.245031602264671e9
2027,8.329884572247219e9
2028,8.414721390602551e9
2029,8.499542007362878e9
2030,8.584346324267358e9
2031,8.665231791715086e9
2032,8.746100760282934e9
2033,8.826953121748117e9
2034,8.907788818493856e9
2035,8.988607734329737e9
2036,9.06567660774517e9
2037,9.142729219937727e9
2038,9.219765438911314e9
2039,9.296785140121902e9
2040,9.373788240686922e9
2041,9.448522759933958e9
2042,9.52324138124247e9
2043,9.597944026624897e9
2044,9.672630564180452e9
2045,9.74730090834151e9
2046,9.820385908851437e9
2047,9.893456013848661e9
2048,9.966511101703718e9
2049,1.0039551033091116e10
2050,1.0112575679457304e10
2051,1.0183612642801369e10
2052,1.0254636358406893e10
2053,1.0325646647389347e10
2054,1.0396643413300097e10
2055,1.0467626508925722e10
2056,1.053558102564361e10
2057,1.0603524407103333e10
2058,1.067145644357526e10
2059,1.073937697077803e10
2060,1.0807285869134281e10
2061,1.0872140897405195e10
2062,1.093698686605568e10
2063,1.1001823552926697e10
2064,1.1066650761262894e10
2065,1.1131468343824903e10
2066,1.1194233825026505e10
2067,1.1256991987365788e10
2068,1.1319742618258121e10
2069,1.1382485502611713e10
2070,1.1445220439093618e10
2071,1.150701841856505e10
2072,1.156881053253211e10
2073,1.1630596559619053e10
2074,1.169237627786716e10
2075,1.175414948279557e10
2076,1.1815606442374186e10
2077,1.1877058818761261e10
2078,1.1938506379445578e10
2079,1.1999948932047878e10
2080,1.2061386276895922e10
2081,1.2122537733523125e10
2082,1.2183685851046057e10
2083,1.2244830410844713e10
2084,1.2305971229365932e10
2085,1.236710811684847e10
2086,1.2427524302921804e10
2087,1.2487938357157467e10
2088,1.2548350091903746e10
2089,1.2608759321021458e10
2090,1.2669165895962723e10
2091,1.2728232610239382e10
2092,1.2787298294981691e10
2093,1.2846362783643028e10
2094,1.2905425908910702e10
2095,1.296448751498867e10
2096,1.3021653151104599e10
2097,1.3078818624020176e10
2098,1.3135983761748905e10
2099,1.3193148435810682e10
2100,1.3250312497942835e10
