time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576997,2086.5347221856077
1952,5566.657462979298,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673677,2217.199632370928
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.500096983938
1957,6737.702456828189,2358.298737959116
1958,7001.2354526428535,2406.768550467239
1959,7275.533245688331,2455.9329712198637
1960,7561.059029453982,2505.8336342396133
1961,7847.412957025106,2552.930979296932
1962,8228.177858845815,2627.0483728388826
1963,8683.18680534571,2720.0112823317395
1964,9126.033746520747,2803.7347309249253
1965,9711.788056373183,2925.0831787592074
1966,10229.365596441225,3019.2088791893025
1967,10832.429801972376,3132.120833717311
1968,11351.920369101485,3215.062116819406
1969,12068.90873333628,3348.3409580026064
1970,12808.86554879802,3481.9122904081373
1971,13188.97918416804,3513.806059978605
1972,13749.21129749937,3590.9932786646173
1973,14545.55954691358,3725.4754787799206
1974,15482.723149061652,3890.372421258314
1975,15727.407572811097,3878.710139623618
1976,15869.305468233895,3843.070360087026
1977,16671.8540411,3966.1975700157886
1978,17335.390577108596,4052.4086440972255
1979,18046.242595671672,4145.684122731626
1980,18795.332176223037,4243.006135498816
1981,19113.69900055924,4240.07375434532
1982,19531.609405816034,4257.6897124561565
1983,19702.861606000355,4220.249665015398
1984,20269.018476567733,4265.193128163044
1985,21194.577702113434,4380.6439598158795
1986,22016.854537989784,4468.571238996346
1987,22777.34285526767,4538.953610569773
1988,23658.60661316742,4629.591070612565
1989,24801.47207076178,4768.125573337678
1990,25780.57362113726,4873.133728252994
1991,26590.50408080261,4945.777632595161
1992,27082.428129082728,4960.163892798428
1993,27586.953137261295,4978.197947290918
1994,27967.33022616045,4974.693494905775
1995,28805.412867072046,5052.068476699402
1996,29700.479638023106,5137.590595908073
1997,30711.044310423258,5241.055706891009
1998,31785.032075166706,5352.892477953145
1999,32464.040234097807,5396.494023031295
2000,33513.80576765206,5500.043740578437
2001,34947.35448220743,5663.3288973026
2002,35577.63205463139,5694.029994336082
2003,36331.81840445733,5743.3698316868295
2004,37280.95225090845,5821.497959685572
2005,38736.75272121473,5975.251822978056
2006,40049.39390447827,6102.749686094149
2007,41539.548395851954,6253.1943498458995
2008,43011.27387144983,6396.644239793583
2009,43528.733028164774,6395.932535884143
2010,42471.34096317248,6166.210163682431
2011,44114.550120315296,6329.052335702248
2012,45165.03235468537,6403.774875290952
2013,46085.79612403671,6458.455903925383
2014,47109.04350327981,6526.105842046469
2015,48466.594426464384,6637.183835481925
2016,49933.71224215703,6759.4957947985895
2017,51429.78342302731,6882.891604317503
2018,52899.639989358424,7000.060240439861
2019,54379.18541061039,7115.906533058859
2020,55855.62242333378,7228.819086587475
2021,57195.36373900999,7320.068085164102
2022,58535.35840535334,7409.360669925443
2023,59878.828022371796,7497.16452557156
2024,61223.70088422552,7583.271654735917
2025,62571.59300800444,7667.934737123559
2026,63761.23873716067,7733.292369576169
2027,64953.331347698826,7797.626989746291
2028,66147.25746543708,7860.897111851166
2029,67343.48136860633,7923.189642550867
2030,68541.67519735228,7984.4958117249835
2031,69538.7579431965,8025.031747338236
2032,70537.43913929492,8065.01589501642
2033,71537.76273417797,8104.468723131059
2034,72539.68011494636,8143.399515194476
2035,73543.14123106036,8181.817109585189
2036,74440.73083813267,8211.271772057587
2037,75339.64623586391,8240.389526004195
2038,76239.77031438102,8269.166388989506
2039,77141.05048906076,8297.605442501404
2040,78043.52002265234,8325.718785847823
2041,78838.4251629026,8343.995381178407
2042,79634.17784660231,8362.088080631638
2043,80430.81395898394,8380.005076161353
2044,81228.23646483236,8397.740610045781
2045,82026.46467529265,8415.300996444845
2046,82689.04399435931,8420.142677923894
2047,83352.01491686155,8424.965093151386
2048,84015.34867964203,8429.76590418008
2049,84679.00445988661,8434.541654666215
2050,85342.9297884192,8439.28782766383
2051,85946.07385776777,8439.645506271578
2052,86549.22801051271,8440.010113147822
2053,87152.350165089,8440.377577238183
2054,87755.48772854662,8440.752479267217
2055,88358.55250815848,8441.126362338573
2056,88965.37331801654,8444.278287449493
2057,89571.94261208078,8447.37495776483
2058,90178.20059190298,8450.412000621836
2059,90784.15797182813,8453.391683689137
2060,91389.83427960236,8456.31699800713
2061,92011.72205996579,8463.072950569727
2062,92633.08600847627,8469.70789007678
