time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348096729917e9
1991,5.3764051481923895e9
1992,5.45998661982692e9
1993,5.54155417161226e9
1994,5.6219203868188e9
1995,5.701706857140902e9
1996,5.781013438661374e9
1997,5.8597058842423315e9
1998,5.937917276223211e9
1999,6.015765185031011e9
2000,6.093370879467214e9
2001,6.170815022513133e9
2002,6.248234133998643e9
2003,6.325871387850439e9
2004,6.404013706029552e9
2005,6.482865381670856e9
2006,6.5625163157888975e9
2007,6.642932648659509e9
2008,6.724037292846832e9
2009,6.805689923298638e9
2010,6.887754463334331e9
2011,6.970166849565813e9
2012,7.05287645260152e9
2013,7.135729882166818e9
2014,7.218553498900269e9
2015,7.30228305243033e9
2016,7.376405319767099e9
2017,7.450540340124142e9
2018,7.5246596510923e9
2019,7.598765071119023e9
2020,7.67285587957274e9
2021,7.740443608749111e9
2022,7.808016823879908e9
2023,7.875575339057867e9
2024,7.943118983567893e9
2025,8.010647586792456e9
2026,8.071584445688433e9
2027,8.132505975107531e9
2028,8.193412002233162e9
2029,8.254302358108957e9
2030,8.3151769047626705e9
2031,8.369547124770224e9
2032,8.42390092668418e9
2033,8.478238104945108e9
2034,8.532558525737481e9
2035,8.586861969887805e9
2036,8.634686637508032e9
2037,8.682494578259796e9
2038,8.730285538456623e9
2039,8.778059279975977e9
2040,8.825815616718948e9
2041,8.867301032806337e9
2042,8.908769328864346e9
2043,8.950220311733915e9
2044,8.991653731099384e9
2045,9.033069330945553e9
2046,9.067859361230959e9
2047,9.102632047832588e9
2048,9.137387110178797e9
2049,9.172124317481897e9
2050,9.206843389877138e9
2051,9.23472578843518e9
2052,9.26259082023751e9
2053,9.290438260093367e9
2054,9.318267823274405e9
2055,9.346079253459642e9
2056,9.367077987468609e9
2057,9.388059867873068e9
2058,9.409024567831821e9
2059,9.429971839702312e9
2060,9.450901365426882e9
2061,9.465498758049158e9
2062,9.480080187614662e9
2063,9.494645298207275e9
2064,9.509193747748024e9
2065,9.523725258812191e9
2066,9.532576503610638e9
2067,9.541412775583838e9
2068,9.550233720838911e9
2069,9.559038968958492e9
2070,9.56782815938582e9
2071,9.571558611023907e9
2072,9.57527495131693e9
2073,9.57897678230389e9
2074,9.58266374802792e9
2075,9.5863354764668e9
2076,9.585578290202354e9
2077,9.584807352987211e9
2078,9.58402229448416e9
2079,9.583222735053572e9
2080,9.58240830241741e9
2081,9.57776929435731e9
2082,9.573116600665478e9
2083,9.568449811403795e9
2084,9.563768570022413e9
2085,9.559072506386251e9
2086,9.551262445824993e9
2087,9.543438604341904e9
2088,9.535600576948544e9
2089,9.527747975932966e9
2090,9.519880423423504e9
2091,9.509393742715858e9
2092,9.498893541393562e9
2093,9.488379413880943e9
2094,9.47785097139438e9
2095,9.467307840877514e9
2096,9.454209340858097e9
2097,9.441098013233423e9
2098,9.427973489539669e9
2099,9.414835421807695e9
2100,9.401683467343853e9
