time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348096729917e9
1991,5.376405148190755e9
1992,5.459986619397959e9
1993,5.54155417037472e9
1994,5.621920384535009e9
1995,5.701706853589594e9
1996,5.781013433633995e9
1997,5.859705877706296e9
1998,5.9379172682184305e9
1999,6.015765175233742e9
2000,6.093370867622404e9
2001,6.170815008374192e9
2002,6.248234117325651e9
2003,6.325871368393712e9
2004,6.404013684000611e9
2005,6.48286535735009e9
2006,6.56251628944323e9
2007,6.642932620399874e9
2008,6.72403726280512e9
2009,6.805689891656173e9
2010,6.887754430068101e9
2011,6.970166814892528e9
2012,7.052876416699525e9
2013,7.135729845210508e9
2014,7.2185534609737015e9
2015,7.302283013959569e9
2016,7.376405278792388e9
2017,7.450540297007618e9
2018,7.5246596039697075e9
2019,7.598765018473827e9
2020,7.672855818938209e9
2021,7.740443539182572e9
2022,7.80801674307493e9
2023,7.875575244734592e9
2024,7.943118873258908e9
2025,8.010647458041436e9
2026,8.071584301231841e9
2027,8.13250581297301e9
2028,8.193411820253081e9
2029,8.2543021540499735e9
2030,8.315176676132017e9
2031,8.369546876170171e9
2032,8.423900656119666e9
2033,8.478237810338474e9
2034,8.532558204986845e9
2035,8.586861620719491e9
2036,8.634686265254272e9
2037,8.682494180923895e9
2038,8.730285113627245e9
2039,8.778058825148817e9
2040,8.825815129436714e9
2041,8.867300522832039e9
2042,8.90876879438394e9
2043,8.950219750875845e9
2044,8.991653141901722e9
2045,9.0330687114977e9
2046,9.06785873539648e9
2047,9.10263141591494e9
2048,9.137386472656796e9
2049,9.172123675028296e9
2050,9.206842743339859e9
2051,9.234725177308226e9
2052,9.262590248416393e9
2053,9.290437731970016e9
2054,9.318267343714134e9
2055,9.346078827886927e9
2056,9.367077662549713e9
2057,9.388059652653852e9
2058,9.409024472105064e9
2059,9.429971874054762e9
2060,9.450901541369213e9
2061,9.465499117345438e9
2062,9.48008074395758e9
2063,9.494646066393648e9
2064,9.509194743822367e9
2065,9.523726500245018e9
2066,9.532578018954037e9
2067,9.541414585405357e9
2068,9.55023584732661e9
2069,9.559041435991611e9
2070,9.56783099238601e9
2071,9.571561847024286e9
2072,9.575278618966314e9
2073,9.578980912016096e9
2074,9.582668372448225e9
2075,9.58634063054363e9
2076,9.585584024645311e9
2077,9.584813707763008e9
2078,9.584029311818243e9
2079,9.58323045945684e9
2080,9.582416781390497e9
2081,9.5777785754517e9
2082,9.573126736871595e9
2083,9.56846085905461e9
2084,9.563780588382238e9
2085,9.559085558460178e9
2086,9.551276515645035e9
2087,9.543453756696573e9
2088,9.53561688030169e9
2089,9.527765502331545e9
2090,9.519899249118933e9
2091,9.50941381322382e9
2092,9.498914934935883e9
2093,9.488402213398779e9
2094,9.477875264705112e9
2095,9.467333721243372e9
2096,9.454236708518904e9
2097,9.44112696222532e9
2098,9.428004119477137e9
2099,9.41486783895857e9
2100,9.401717784199598e9
