time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151473334571
1962,320.7268722140307
1963,321.669316604383
1964,322.6357473863329
1965,323.63836376119394
1966,324.6770682378299
1967,325.7535390299399
1968,326.8437495983376
1969,327.9679496481801
1970,329.14794957543825
1971,330.35798967630427
1972,331.6218050940893
1973,332.9624966174551
1974,334.39383288486016
1975,335.84669968800046
1976,337.30753348435144
1977,338.8637288871276
1978,340.5004675642725
1979,342.23006819014995
1980,344.10092298813515
1981,346.06633581713686
1982,348.1541406771121
1983,350.30855186366034
1984,352.6392814768411
1985,355.220527557599
1986,358.02139784609375
1987,361.04179824219204
1988,364.3100679802705
1989,367.87775265585384
1990,371.40369495942485
1991,374.9133417308164
1992,378.31195570628273
1993,381.6712687651707
1994,384.9311464804047
1995,388.28157040167395
1996,391.606604783537
1997,394.8912502553064
1998,398.17206513125376
1999,401.5034674879184
2000,404.75463596497855
2001,408.1248335442959
2002,411.5330834764795
2003,414.95355123784435
2004,418.31858933655184
2005,421.599103304423
2006,424.9241153887233
2007,428.0863443536015
2008,430.9917798534563
2009,434.2700684826847
2010,437.1091397930741
2011,439.9043604594233
2012,442.75328561110877
2013,445.563206017687
2014,448.2823095815498
2015,450.96006982822837
2016,453.54640603337515
2017,456.135893683057
2018,458.71289489542977
2019,461.2818875705638
2020,463.91181588647004
2021,466.59770048532323
2022,469.3355107020938
2023,472.12464777601537
2024,474.9629640555789
2025,477.84752955557565
2026,480.77853569003764
2027,483.75590285897437
2028,486.7789212297543
2029,489.84702775466616
2030,492.91576529683897
2031,495.98635806982304
2032,499.0604010553482
2033,502.1389234740295
2034,505.22288060017826
2035,508.31928203988144
2036,511.4212431862742
2037,514.5295464530966
2038,517.6447663034047
2039,520.7672017794091
2040,523.8866655581883
2041,526.9949239942056
2042,530.0929643936105
2043,533.1818129640238
2044,536.2622713676004
2045,539.344180115806
2046,542.4177464032289
2047,545.4837863554204
2048,548.5425475382701
2049,551.5945686059166
2050,554.6304614011754
2051,557.6443307754289
2052,560.6370923935642
2053,563.6095743101323
2054,566.5620267134843
2055,569.4956555794886
2056,572.410227368137
2057,575.3061643453556
2058,578.1837268615004
2059,581.0432440012816
2060,583.8763645219132
2061,586.6815620699364
2062,589.4596117912212
2063,592.2110477853323
2064,594.9361414818958
2065,597.640204793962
2066,600.3180408746443
2067,602.9697556878115
2068,605.5956421549008
2069,608.1958598514951
2070,610.7525131606309
2071,613.2611603237857
2072,615.7229712163236
2073,618.1384474522695
2074,620.5082094135807
2075,622.8380692756072
2076,625.1225203577679
2077,627.3620945455316
2078,629.5570769872346
2079,631.7076381919348
2080,633.8003293154848
2081,635.8343109071334
2082,637.8105157121299
2083,639.729559343329
2084,641.5917611253157
2085,643.399516003379
2086,645.1507544220301
2087,646.8456950079257
2088,648.4845014629691
2089,650.0673175418123
2090,651.595353949159
2091,653.0675080388952
2092,654.4837091938745
2093,655.8439602372357
2094,657.1481683771933
2095,658.3979667417216
2096,659.5913063482594
2097,660.7282302736917
2098,661.8085710098811
2099,662.8320469467618
2100,663.8315642282956
