time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.290348096729917e9
1991,5.376405148190084e9
1992,5.459986618951245e9
1993,5.541554169087283e9
1994,5.621920382162818e9
1995,5.701706849913607e9
1996,5.781013428454918e9
1997,5.859705870985743e9
1998,5.937917260005405e9
1999,6.015765165242873e9
2000,6.093370855631381e9
2001,6.1708149941734295e9
2002,6.248234100715578e9
2003,6.325871349166708e9
2004,6.404013662328476e9
2005,6.482865333480471e9
2006,6.562516263621445e9
2007,6.642932592762949e9
2008,6.724037233514515e9
2009,6.805689860920182e9
2010,6.887754397924556e9
2011,6.970166781607632e9
2012,7.05287638248043e9
2013,7.1357298102787485e9
2014,7.218553425470385e9
2015,7.302282978396952e9
2016,7.376405241406358e9
2017,7.450540258708828e9
2018,7.524659563130843e9
2019,7.59876497384741e9
2020,7.672855768165422e9
2021,7.740443481522412e9
2022,7.808016676362349e9
2023,7.875575166938792e9
2024,7.943118782135671e9
2025,8.010647351425611e9
2026,8.071584181775987e9
2027,8.132505678994955e9
2028,8.193411669902627e9
2029,8.254301985471137e9
2030,8.315176487254673e9
2031,8.369546671530624e9
2032,8.423900434216069e9
2033,8.478237569697105e9
2034,8.532557944188254e9
2035,8.58686133829112e9
2036,8.634685966985878e9
2037,8.682493865816517e9
2038,8.730284780512148e9
2039,8.778058472948662e9
2040,8.8258147571797e9
2041,8.867300141335152e9
2042,8.908768404096712e9
2043,8.950219352310884e9
2044,8.991652735860949e9
2045,9.033068299260866e9
2046,9.0678583422867e9
2047,9.102631046089987e9
2048,9.13738613097916e9
2049,9.172123367160954e9
2050,9.206842475809048e9
2051,9.234724992728292e9
2052,9.262590157362343e9
2053,9.29043774634801e9
2054,9.318267476857065e9
2055,9.346079094695736e9
2056,9.367078118123615e9
2057,9.388060316971657e9
2058,9.4090253669481e9
2059,9.42997302334902e9
2060,9.450902971370373e9
2061,9.46550088914707e9
2062,9.480082888326267e9
2063,9.494648616164455e9
2064,9.509197734680418e9
2065,9.523729970852854e9
2066,9.532582030680801e9
2067,9.541419182323927e9
2068,9.550241076811743e9
2069,9.559047348912577e9
2070,9.56783764326644e9
2071,9.571569318882244e9
2072,9.575286971053654e9
2073,9.5789902061792e9
2074,9.58267867414592e9
2075,9.58635200896467e9
2076,9.585596584909298e9
2077,9.584827524359266e9
2078,9.584044462864336e9
2079,9.583247025041122e9
2080,9.58243484487831e9
2081,9.577798248498636e9
2082,9.573148105385248e9
2083,9.568484011949825e9
2084,9.563805616095776e9
2085,9.559112552028978e9
2086,9.551305543952026e9
2087,9.54348490002489e9
2088,9.535650218764952e9
2089,9.527801114559372e9
2090,9.51993721394157e9
2091,9.509454214859705e9
2092,9.498957840400126e9
2093,9.488447686544968e9
2094,9.477923364986803e9
2095,9.467384500116241e9
2096,9.454290330222422e9
2097,9.441183458577702e9
2098,9.428063507928782e9
2099,9.414930125416039e9
2100,9.401782958478811e9
