time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151408759687
1962,320.7268660831978
1963,321.66930795990294
1964,322.63573498948904
1965,323.6383507698726
1966,324.67705466970034
1967,325.7535200419778
1968,326.8437285183244
1969,327.96792611285247
1970,329.1479285550288
1971,330.3579692917377
1972,331.62178510938827
1973,332.9624754451319
1974,334.3938111920812
1975,335.8466768451083
1976,337.307517944678
1977,338.863715306519
1978,340.5004512648821
1979,342.2300492876482
1980,344.10089244732046
1981,346.066301082204
1982,348.1540991710736
1983,350.3085035479713
1984,352.63921912906983
1985,355.22046173554
1986,358.02132849265666
1987,361.0417170949049
1988,364.30999311748843
1989,367.87766682550335
1990,371.4040670969454
1991,374.91459294105334
1992,378.3144630109919
1993,381.67543401097646
1994,384.93736729543724
1995,388.2903191815947
1996,391.6182881579121
1997,394.9062690802077
1998,398.1908907711989
1999,401.5265597661438
2000,404.7823713674647
2001,408.1578439331514
2002,411.5719924236229
2003,414.99893329076446
2004,418.3709500802498
2005,421.6589573947946
2006,424.9920631491448
2007,428.16262678911846
2008,431.07659965984976
2009,434.36470569680307
2010,437.2133382413409
2011,440.0182938165715
2012,442.87773397581367
2013,445.6984426432347
2014,448.42849979874546
2015,451.19447220087005
2016,453.95844774610754
2017,456.8129631017318
2018,459.73896826448646
2019,462.73881462642146
2020,465.82474798834613
2021,469.0163636715417
2022,472.30930540658085
2023,475.7025213998506
2024,479.1932255401307
2025,482.7508799970869
2026,486.4046385681677
2027,490.1537801433942
2028,493.9966785218022
2029,497.9324726489033
2030,501.94794425741145
2031,506.06918071751903
2032,510.29419353129936
2033,514.6218124823006
2034,519.051072166811
2035,523.5712192627004
2036,528.1921209025078
2037,532.9131251541133
2038,537.7334497663156
2039,542.6520071383725
2040,547.6678104324476
2041,552.7880466531138
2042,558.0119433491037
2043,563.3386258522474
2044,568.7675872576998
2045,574.2933695952264
2046,579.9207916936311
2047,585.6490909724888
2048,591.4777302675867
2049,597.406371508131
2050,603.4431962505906
2051,609.5974194523998
2052,615.8677414132998
2053,622.2526230554291
2054,628.7512929641344
2055,635.345136095193
2056,642.0531384101996
2057,648.8747025693468
2058,655.8088838644012
2059,662.8551850581669
2060,669.9492988509746
2061,677.1064965655354
2062,684.3281763975826
2063,691.6152582485635
2064,698.9681654204246
2065,706.3684051711297
2066,713.8369234826479
2067,721.3735933230324
2068,728.9779037162765
2069,736.6499737570285
2070,744.3450373242811
2071,752.0794982728596
2072,759.8543802091857
2073,767.670391372227
2074,775.5279590236406
2075,783.4119113740843
2076,791.3391368223781
2077,799.3097083937173
2078,807.3237122790921
2079,815.3811568590256
2080,823.3634190253279
2081,831.28971882714
2082,839.1634570351523
2083,846.9875218314976
2084,854.7639159129997
2085,862.4829120387413
2086,870.1585185014485
2087,877.7916567409948
2088,885.3831764432953
2089,892.9334881674451
2090,900.4307522318226
2091,907.8883170868486
2092,915.3067593098839
2093,922.6862903709745
2094,930.0273308317429
2095,937.3192074238187
2096,944.5744985115834
2097,951.7930945505551
2098,958.9754911960838
2099,966.122227613225
2100,973.2455777587235
