time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576996,2086.5347221856073
1952,5566.6574629792985,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673679,2217.199632370928
1955,6241.1778993174885,2263.4211776673983
1956,6484.49121310499,2310.5000969839375
1957,6737.702456828189,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.0590294539825,2505.8336342396137
1961,7847.412957025106,2552.930979296933
1962,8228.323278139575,2627.09480152888
1963,8683.348250846931,2720.061855191065
1964,9126.26477205393,2803.805707466226
1965,9712.041916026634,2925.159638479885
1966,10229.58978220442,3019.2750478720486
1967,10832.636706883313,3132.1806588160207
1968,11352.187380721016,3215.137739173579
1969,12069.203385561235,3348.422704922314
1970,12809.159063305728,3481.992078252573
1971,13189.221715410868,3513.8706751196924
1972,13749.33502173703,3591.0255927294934
1973,14545.58326168428,3725.481552715848
1974,15482.751613447968,3890.379573557198
1975,15727.397147674725,3878.707568565294
1976,15869.31848603053,3843.073512607374
1977,16671.56558110663,3966.1289460150083
1978,17335.474764854676,4052.428324250865
1979,18046.6685596631,4145.781977570203
1980,18796.45552892425,4243.259729974235
1981,19116.037565134204,4240.592528146082
1982,19534.118480968376,4258.23666500072
1983,19704.822784059066,4220.669739074224
1984,20270.776268654263,4265.563018926966
1985,21196.799758546695,4381.103230023077
1986,22018.97481344896,4469.001573035174
1987,22779.256408367266,4539.334933747179
1988,23660.619215881754,4629.984903085767
1989,24803.56386078601,4768.527723560057
1990,25779.882133456107,4873.002882391048
1991,26585.908997323408,4944.922764940451
1992,27073.983057366884,4958.617021301953
1993,27574.173052146925,4975.891687150611
1994,27950.03560034006,4971.617345680914
1995,28783.58259605461,5048.240076375741
1996,29673.211422945016,5132.874255535251
1997,30677.628837576452,5235.353863911144
1998,31745.319133362213,5346.205460862673
1999,32418.026675636334,5388.846484767187
2000,33460.99151419904,5491.377888179808
2001,34886.412500506136,5653.455078661132
2002,35509.09955810875,5683.064040366032
2003,36254.33780926082,5731.12432213115
2004,37194.23999475659,5807.96074583851
2005,38638.62846525043,5960.119402326253
2006,39939.13962014986,6085.953011801184
2007,41415.63619380948,6234.545470655933
2008,42871.71381485585,6375.893597488873
2009,43376.35110229604,6373.547181214914
2010,42309.19733728569,6142.674406421384
2011,43938.639556019065,6303.82023901843
2012,44971.419340757166,6376.329151087743
2013,45875.537144637994,6428.996495987528
2014,46879.992568362824,6494.381583801129
2015,48217.979459353264,6603.144570251495
2016,49892.65061694206,6761.182401844139
2017,51594.28610910189,6919.557084659722
2018,53268.55761827924,7071.072484608751
2019,54952.127426257975,7220.753388807761
2020,56632.056805301305,7366.973141657909
2021,58726.96681109313,7571.851715498551
2022,60822.01659696841,7773.156838224272
2023,62920.693005806,7971.424709713332
2024,65021.05864726973,8166.491663858452
2025,67124.753770095,8358.644988167878
2026,69762.72606918338,8621.785990083248
2027,72404.00880419725,8881.40580276757
2028,75048.34992967047,9137.553449336343
2029,77696.23073999521,9390.364910908564
2030,80347.55599555418,9639.902933942265
2031,83485.37206531866,9950.748053790248
2032,86626.95665156281,10257.995454100479
2033,89772.68645283325,10561.760728813962
2034,92922.6737679153,10862.125265461058
2035,96077.18302278894,11159.18603110812
2036,99481.80412776292,11487.408948163047
2037,102891.25680779033,11812.394300498654
2038,106305.84566032229,12134.233971756565
2039,109725.77636001515,12453.00641228922
2040,113151.30415247449,12768.793819243716
2041,116806.91764458493,13113.17886418066
2042,120468.49705635766,13454.694245223078
2043,124136.30965197536,13793.414898441397
2044,127810.70499211403,14129.42329125568
2045,131491.88290080611,14462.783744117754
2046,135343.09928197804,14819.868079258054
2047,139201.6355859379,15174.580701000046
2048,143067.7803623113,15526.985539360554
2049,146941.86032498145,15877.149515364774
2050,150824.2161722539,16225.139885363777
2051,154975.3036080047,16609.912495823322
2052,159135.46412346346,16992.818669755383
2053,163305.14432959232,17373.92747834769
2054,167484.6886816249,17753.296158748395
2055,171674.47883611385,18130.985058170187
2056,176225.91842829355,18556.042972639207
2057,180788.7432276572,18979.76666442854
2058,185363.38640002796,19402.214086751694
2059,189950.32530861176,19823.447140624517
2060,194550.0052483613,20243.52368667785
2061,199402.7907503378,20698.68674479513
2062,204269.16809239358,21153.078725899737
2063,209149.60603839986,21606.75396048584
2064,214044.6097040896,22059.770033399804
2065,218954.7427399595,22512.19002557953
2066,224243.10675182688,23010.36379988039
2067,229548.4747421325,23508.30911858437
2068,234871.43539181896,24006.087408169056
2069,240212.60555595538,24503.762502778696
2070,245572.5868615264,25001.39621271164
2071,251198.9272717484,25531.683584412604
2072,256845.7644256043,26062.276547266974
2073,262513.79461147625,26593.243295793993
2074,268203.6842116402,27124.64855722321
2075,273916.1372242248,27656.56043762114
2076,279963.67525786173,28228.282903860898
2077,286035.5707505195,28800.859304378788
2078,292132.50148740056,29374.352293749544
2079,298255.18950959714,29948.828606796465
2080,304404.37707731256,30524.356619609374
2081,310850.7170468341,31137.141497252236
2082,317325.1800361276,31751.370515197275
2083,323828.4587301947,32367.104636532167
2084,330361.23818955687,32984.40374282249
2085,336924.2405273084,33603.33110251398
2086,343789.19635998417,34260.56566456913
2087,350686.1305204695,34919.85609673685
2088,357615.77006804105,35581.2641864496
2089,364578.7992929283,36244.847180883655
2090,371575.9637416794,36910.66813817064
2091,378879.7945768289,37613.536692879075
2092,386220.14099574235,38319.07616064166
2093,393597.7962055449,39027.35307608246
2094,401013.55921975005,39738.43429519644
2095,408468.19271223154,40452.38282771427
2096,416211.26797354576,41199.247565662714
2097,423997.47519765375,41949.53411885303
2098,431828.34392968507,42703.381717074306
2099,439705.7766151478,43460.96619831606
2100,447631.88008477964,44222.48327818464
