time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576996,2086.5347221856073
1952,5566.6574629792985,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673679,2217.199632370928
1955,6241.1778993174885,2263.4211776673983
1956,6484.49121310499,2310.5000969839375
1957,6737.702456828189,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.0590294539825,2505.8336342396137
1961,7847.412957025106,2552.930979296933
1962,8228.323278139575,2627.09480152888
1963,8683.348250846931,2720.061855191065
1964,9126.26477205393,2803.805707466226
1965,9712.041916026634,2925.159638479885
1966,10229.58978220442,3019.2750478720486
1967,10832.636706883313,3132.1806588160207
1968,11352.187380721016,3215.137739173579
1969,12069.203385561235,3348.422704922314
1970,12809.159063305728,3481.992078252573
1971,13189.221715410868,3513.8706751196924
1972,13749.33502173703,3591.0255927294934
1973,14545.58326168428,3725.481552715848
1974,15482.751613447968,3890.379573557198
1975,15727.397147674725,3878.707568565294
1976,15869.31848603053,3843.073512607374
1977,16671.56558110663,3966.1289460150083
1978,17335.474764854676,4052.428324250865
1979,18046.6685596631,4145.781977570203
1980,18796.45552892425,4243.259729974235
1981,19116.037565134204,4240.592528146082
1982,19534.118480968376,4258.23666500072
1983,19704.822784059066,4220.669739074224
1984,20270.776268654263,4265.563018926966
1985,21196.799758546695,4381.103230023077
1986,22018.97481344896,4469.001573035174
1987,22779.256408367266,4539.334933747179
1988,23660.619215881754,4629.984903085767
1989,24803.56386078601,4768.527723560057
1990,25783.177831620524,4873.625846707625
1991,26592.836696340964,4946.211211162746
1992,27084.795759740296,4960.597102505524
1993,27589.170804600486,4978.597578629118
1994,27969.507194787097,4975.080043858183
1995,28808.1020370096,5052.539295575357
1996,29703.27675886241,5138.073440208749
1997,30713.805897430833,5241.5258074575895
1998,31788.009239503892,5353.392500223739
1999,32466.877600691347,5396.964162207681
2000,33516.75825734848,5500.526608542165
2001,34950.76306314313,5663.879409179289
2002,35581.14220439011,5694.589753458213
2003,36335.01239279528,5743.872565551885
2004,37284.75594146698,5822.089590309209
2005,38740.8469563962,5975.880883590279
2006,40053.69824730478,6103.4029551920285
2007,41544.379541879745,6253.918833232209
2008,43016.267451658285,6397.383963884916
2009,43533.835623761144,6396.6792992938745
2010,42475.89035612766,6166.867738435844
2011,44119.13332316172,6329.7068844899495
2012,45169.68772535997,6404.4319448623255
2013,46090.563610392725,6459.121045132413
2014,47113.46114481938,6526.714893073887
2015,48472.564419276685,6637.998484049543
2016,50171.54372219026,6798.966237484575
2017,51898.176100261706,6960.302618779823
2018,53598.91025971128,7114.913833727849
2019,55309.700951282495,7267.727622957292
2020,57017.749830002525,7417.134499424587
2021,59147.68802081143,7626.084825386556
2022,61278.87366783265,7831.531861996525
2023,63414.69736317447,8033.997799954609
2024,65553.26484543108,8233.322953753262
2025,67696.15368052584,8429.785279695092
2026,70381.4064913102,8698.234028201108
2027,73071.19580986373,8963.23277692784
2028,75765.24949899889,9224.826539661075
2029,78464.02744138421,9483.147245087317
2030,81167.42097144545,9738.25466566881
2031,84363.12872749454,10055.355382401236
2032,87563.86575301515,10368.926339132595
2033,90769.98110402096,10679.078535920304
2034,93981.5724371301,10985.89047323523
2035,97198.87484046064,11289.454576629996
2036,100667.05075701968,11624.258521557033
2037,104141.20386844722,11955.880429220026
2038,107621.61959891063,12284.409064552652
2039,111108.46659124212,12609.917805735204
2040,114601.97388424222,12932.485115394473
2041,118324.78752058129,13283.568550404923
2042,122054.53901194755,13631.822186249046
2043,125791.47442065612,13977.318024614382
2044,129535.9083783527,14320.134142484636
2045,133288.01637740826,14660.331725605169
2046,137206.61695741853,15023.912968199244
2047,141133.2846902529,15385.146443130461
2048,145068.2764936526,15744.092366228922
2049,149011.88683821057,16100.81394523535
2050,152964.42304199308,16455.37466767107
2051,157181.84003504092,16846.404895017484
2052,161408.84722198296,17235.578039463097
2053,165645.85975630776,17622.959760502235
2054,169893.1902084886,18008.60388969568
2055,174151.18472287655,18392.567036739896
2056,178768.96470512942,18823.83129463001
2057,183398.41722034142,19253.754893204306
2058,188039.9363808572,19682.391793159164
2059,192693.95983635494,20109.799883282463
2060,197360.89266084545,20536.03300843205
2061,202278.17760817506,20997.193427050708
2062,207209.11323528606,21457.560563785824
2063,212154.12247333027,21917.18420962831
2064,217113.66443767096,22376.117437899837
2065,222088.25612239828,22834.418795287074
2066,227438.5884301911,23338.31990745869
2067,232805.71897842165,23841.949314516492
2068,238190.18922802666,24345.363906505365
2069,243592.56692561484,24848.622825895563
2070,249013.4042091348,25351.78319183826
2071,254696.61703149654,25887.274818774145
2072,260399.79109292632,26423.000744594843
2073,266123.57120958855,26959.02433215901
2074,271868.5727014756,27495.40555309105
2075,277635.44824804587,28032.20776585347
2076,283735.6202294796,28608.727005603156
2077,289859.33321467804,29186.004864425166
2078,296007.21112187585,29764.09898731795
2079,302179.9238335927,30343.07130127888
2080,308378.160330389,30922.985291152298
2081,314870.3414727549,31539.936285960375
2082,321389.6078907573,32158.2181719215
2083,327936.5974180696,32777.8867878665
2084,334511.93908140744,33398.996797867614
2085,341116.30251910194,34021.60663386702
2086,348019.7592596811,34682.3422327377
2087,354953.85071185074,35344.993100046435
2088,361919.2564780327,36009.616601985
2089,368916.61715526565,36676.26595677802
2090,375946.63876124175,37345.00062398404
2091,383280.20997819444,38050.55164949311
2092,390648.7201961174,38758.61198631672
2093,398052.9178840778,39469.24398036373
2094,405493.5645734846,40182.511032684415
2095,412971.4071704491,40898.47486229212
2096,420734.38765693596,41647.080879040484
2097,428538.9198240857,42398.94878989954
2098,436386.59288309613,43154.22397703655
2099,444279.370996979,43913.088627757
2100,452219.41829377826,44675.744364149556
